ASHR,0.207
EWA,0.106
EWC,0.164
EWJ,0.079
EWG,0.066
EWH,0.153
EWU,0.106
EWY,0.095
EWZ,0.156
INDA,-0.027
EWL,0.094
ACWX,0.095
