Ticker,Segment,Weight
IVV,US Large Cap,22.99%
SCHF,Developed Market,8.32%
VWO,Emerging Market,4.80%
VB,US Small Cap,6.31%
AGG,US Aggregate Bond,13.50%
EMB,Emerging Market Bond,5.25%
HYG,High Yield Bond,6.75%
FLOT,Floating Rate Bond,15.90%
VTIP,Inflation Protected Bond,3.60%
GLD,Gold,2.20%
OLMAR-REG,Region Rotation,5.10%
ASHR,China Stock Market,5.28%
