,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
AQUMON-BOCHKAM,0.144998298,0.17653404,0.071597812,2.465634543,-0.035917467
Benchmark,0.140912535,0.171495131,0.051207439,3.349027716,-0.026556403
