,y
2008-12-31,-5.547986766147086
2009-03-31,-1.2792578347753567
2009-06-30,-0.8091758169509708
2009-09-30,1.0539073130418801
2009-12-31,2.787161096077768
2010-03-31,4.291773404450717
2010-06-30,2.8312253480235166
2010-09-30,3.068369876617152
2010-12-31,4.586667167295889
2011-03-31,5.475048743786098
2011-06-30,3.4763188397634117
2011-09-30,2.0064021207244016
2011-12-31,2.7902192251226374
2012-03-31,3.1730373601928705
2012-06-30,1.2154704858454637
2012-09-30,2.0582933900827642
2012-12-31,1.3355787560875196
2013-03-31,1.742634697507264
2013-06-30,1.8765254298904177
2013-09-30,2.6909224091912507
2013-12-31,3.09680410408572
2014-03-31,2.253295731090695
2014-06-30,3.191561028133936
2014-09-30,3.3819267278292897
2014-12-31,3.2674471060636257
2015-03-31,0.9103286732544237
2015-06-30,2.529016482635431
2015-09-30,1.2545713151219615
2015-12-31,0.6848924274318313
2016-03-31,0.9568134107238551
2016-06-30,1.5728461534380793
2016-09-30,1.0371183412054985
2016-12-31,2.0811926272210273
2017-03-31,2.823939533597687
2017-06-30,2.5308797738853626
2017-09-30,3.0403991843467053
2017-12-31,4.066110948903193
2018-03-31,2.61313803513805
2018-06-30,3.6706391943217707
2018-09-30,3.109610075448649
2018-12-31,2.7690914457651115
