date,NON_NON_38.4,NON_NON_57.6,NON_NON_76.8,bm_38.4,bm_57.6,bm_76.8
2015-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2015-01-02,1.0,1.0,1.0,0.9982472906878516,0.9979439130125802,0.9976405353373088
2015-01-03,1.0,1.0,1.0,0.9982472906878516,0.9979439130125802,0.9976405353373088
2015-01-04,1.0,1.0,1.0,0.9982472906878516,0.9979439130125802,0.9976405353373088
2015-01-05,0.9948060151033551,0.9906313006819416,0.9864452941422425,0.9923913697180792,0.9885715248920518,0.9847538191793136
2015-01-06,0.9933871430916386,0.986981856153953,0.9805592436580494,0.9923613627568536,0.9859774119211072,0.9796154053637636
2015-01-07,0.9986051630872963,0.9943032082670379,0.9899896171579733,0.9903575463123792,0.9858336730311568,0.981307861819189
2015-01-08,1.0036813759987793,1.0025367209491096,1.001388969740299,0.9949991444560108,0.994282729917868,0.9935292147735488
2015-01-09,1.0022248489986092,0.9996165235250871,0.9970011428336982,0.9961002299318716,0.9937002284321262,0.9912656358742168
2015-01-10,1.0022248489986092,0.9996165235250871,0.9970011428336982,0.9961002299318716,0.9937002284321262,0.9912656358742168
2015-01-11,1.0022248489986092,0.9996165235250871,0.9970011428336982,0.9961002299318716,0.9937002284321262,0.9912656358742168
2015-01-12,1.0005480002574894,0.9965928355879607,0.9926269726567593,0.9958488199738382,0.9923425584821082,0.9888071383650622
2015-01-13,1.001825065185031,0.9981572270651157,0.9944794678685168,0.9964277894677191,0.9931023820169615,0.9897464958057155
2015-01-14,1.001604743444081,0.9967492747356763,0.9918806725475993,0.997700552011945,0.9920905100823793,0.9864653622029187
2015-01-15,1.0033144401538512,0.9974199574407541,0.9915095308356165,0.9957379543114808,0.990366462217212,0.9849773138796425
2015-01-16,1.006045628571661,1.0029883888473854,0.9999228796442633,0.9951439846291088,0.9916758833789169,0.9881694564202277
2015-01-17,1.006045628571661,1.0029883888473854,0.9999228796442633,0.9951439846291088,0.9916758833789169,0.9881694564202277
2015-01-18,1.006045628571661,1.0029883888473854,0.9999228796442633,0.9951439846291088,0.9916758833789169,0.9881694564202277
2015-01-19,1.006045628571661,1.0029883888473854,0.9999228796442633,0.9987199720345726,0.9950966214637407,0.9914358172124411
2015-01-20,1.0055681312712756,1.0029346379607345,1.0002940213562461,0.9976294674800744,0.994920365684097,0.992167153457518
2015-01-21,1.0078594773771532,1.007148867924578,1.0064363363558557,0.9990756682234324,0.9978099027043766,0.9964919528759815
2015-01-22,1.0131624213893227,1.01452958668859,1.0159004500114144,0.9980393655093254,0.9995458131823352,1.0009928108285544
2015-01-23,1.012723380247357,1.0123370318644545,1.0119496384539883,0.9972529336191336,0.9987996841914086,1.0002871517084018
2015-01-24,1.012723380247357,1.0123370318644545,1.0119496384539883,0.9972529336191336,0.9987996841914086,1.0002871517084018
2015-01-25,1.012723380247357,1.0123370318644545,1.0119496384539883,0.9972529336191336,0.9987996841914086,1.0002871517084018
2015-01-26,1.0140493165428912,1.0152227324507754,1.016399322312586,0.9970284936705762,0.9992467200775804,1.0014076778059007
2015-01-27,1.011992713237371,1.0121926264973327,1.0123930804994743,0.9998966971586235,1.0004095802442932,1.0008576263975524
2015-01-28,1.0091790043129505,1.0061444483710404,1.003101684307284,0.9971225519587082,0.995925141041026,0.994661542397321
2015-01-29,1.0114126661811977,1.0102535833177004,1.0090913652694984,0.9958343673375155,0.9953009664724954,0.9946997823645809
2015-01-30,1.0087143257320383,1.0036847436177294,0.9986415570671803,0.9944220053637575,0.9916389234385519,0.9887908730349231
2015-01-31,1.0087143257320383,1.0036847436177294,0.9986415570671803,0.9944220053637575,0.9916389234385519,0.9887908730349231
2015-02-01,1.0087143257320383,1.0036847436177294,0.9986415570671803,0.9944220053637575,0.9916389234385519,0.9887908730349231
2015-02-02,1.0128435557424207,1.0104493328153548,1.0080486337929755,0.9985386785809426,0.997090949195738,0.995570245762261
2015-02-03,1.0167380429524455,1.0177714871804788,1.018807726755279,1.0016451362026095,1.0026785610633133,1.0036312028991856
2015-02-04,1.0147879952525485,1.014568897038529,1.014349206189253,1.0009177499536595,1.002257912299113,1.0035179345704082
2015-02-05,1.017423844444275,1.019692078563201,1.0219664479923265,1.0033636084844433,1.0058233807960808,1.0082056240785557
2015-02-06,1.0101307942338538,1.011763421656165,1.0134004651462842,0.9970407307948798,1.000109474354557,1.0031041355105939
2015-02-07,1.0101307942338538,1.011763421656165,1.0134004651462842,0.9970407307948798,1.000109474354557,1.0031041355105939
2015-02-08,1.0101307942338538,1.011763421656165,1.0134004651462842,0.9970407307948798,1.000109474354557,1.0031041355105939
2015-02-09,1.008504419200661,1.0094625628066882,1.0104232980800334,0.9957822301724196,0.9981390247444635,1.00041758999411
2015-02-10,1.0098832327140228,1.0124822394836168,1.0150882762650628,0.9949624631931978,0.9989869438476421,1.0029408824720256
2015-02-11,1.0091429516644317,1.0112924997089396,1.013447862031581,0.9924324295607062,0.9963753463258898,1.0002473357953419
2015-02-12,1.0148777262888624,1.0196495592051045,1.0244342993758997,0.9991051779114445,1.0042970923169223,1.0094271038899125
2015-02-13,1.015965715104171,1.0223836341559474,1.0288189129343446,1.0018075013298207,1.0082476755576144,1.014638388435199
2015-02-14,1.015965715104171,1.0223836341559474,1.0288189129343446,1.0018075013298207,1.0082476755576144,1.014638388435199
2015-02-15,1.015965715104171,1.0223836341559474,1.0288189129343446,1.0018075013298207,1.0082476755576144,1.014638388435199
2015-02-16,1.015965715104171,1.0223836341559474,1.0288189129343446,1.001441829009624,1.008006148997059,1.0145226292681682
