Date_aligned,YYYY_aligned,MM_aligned,mid_aligned,CPI XYOY,CPI YOY,USTBTOT,USURTOT,CHPMINDX,CONCCONF,CONSSENT,EMPRGBCI,INJCJC,NAPMPMI,NAPMPRIC,NHSPATOT,NHSPSTOT,SAARTOTL,USHBMIDX,CPI CHNG,CPUPXCHG,DGNOCHNG,DGNOXTCH,DOEASCRD,NFP TCH,OUTFGAF,PCE CRCH,PITLCHNG,RSTAMOM,RSTAXMOM
2003-02-28,2003.0,2.0,24038.0,-0.006481244419650474,0.33537516048966437,-1.0242282540325642,-1.7314939694290745,0.8632525737362595,-0.15616736744247708,-0.8603398135569411,0.39477499241602365,-0.44345593150557594,-0.3129159827621367,0.0036402690632959343,1.5948320593003706,1.0361555031845653,-1.4906573015851805,-0.12771352030492564,0.26968083124930314,-0.6829396115546761,0.03667662184011988,0.5168625839575035,0.041291473559297555,0.5819004813976666,0.37584930569949143,1.1799550501285643,0.11647628237636863,0.8150898199746607,-0.4048325339029929
2003-03-31,2003.0,3.0,24039.0,-1.4842049720999668,0.6893822743398649,0.8381982130821763,0.38078498082879897,-0.25651962166042536,-1.700989971190176,-0.5223744927337974,-0.2610088769129436,1.377253178768256,-1.2846985662801722,0.9958789171816318,-0.7835916053808606,0.1353874278704821,-0.6482006708813498,-0.2704522275681884,1.1373495926601038,-0.6829396115546761,0.8850794935427911,1.283108054282205,0.08672976492116559,-1.646992743228263,-0.13332348610074507,-0.9225103119186964,-0.08735721178227568,-0.9925423559236527,1.400357392999535
2003-04-30,2003.0,4.0,24040.0,-0.006481244419650474,-0.018631953360536888,0.24325642497607966,-0.1472847567356682,-1.250420872539646,-0.22063611626795826,-0.49510378848372855,-1.0639115763531304,-0.5045952202993496,-1.727299214511354,0.4524159120331131,0.14209564876059055,-1.4829850069077066,0.6576731591574072,-1.4404073208257187,0.26968083124930314,-1.6738715969477362,-0.3464730621546349,-1.2345556339275294,0.13216805628303363,-0.6585700272078951,-0.7225908743639401,-0.7122637757139703,-0.08735721178227568,-1.5950864145564236,-1.7934401699818603
2003-05-31,2003.0,5.0,24041.0,-1.4842049720999668,-1.4346604087613404,-0.7914249456432221,0.9088547183932708,-0.22517979465840707,2.620580737674235,1.9099298798054378,-3.096231745322074,0.564623131615426,-0.36688122959523534,-0.7942671476769435,-0.8485347129641637,1.2343072153860535,0.226858770608229,0.010699771586722091,-1.4656566915722982,-1.6738715969477362,0.5292976441190903,0.8999853191198544,-0.1404616918881746,-0.3620432124017847,-0.7683592151999165,0.128722369104934,0.11647628237636863,1.589789323931081,1.1226358657837614
2003-06-30,2003.0,6.0,24042.0,0.7323806194205085,-0.19563551028563753,0.42432566483445605,0.38078498082879897,0.9137830846231606,0.29528929514220353,1.254986666899074,-0.09998154671432832,0.09196409546267,1.7474097372079804,-1.5359769935844159,0.3230448816280891,-1.0030359468101449,-0.3242117206438864,0.7027662310449627,-0.5979879301614975,1.2989243592314437,-0.6748870770072818,-0.7419692601473639,-1.2915650730554982,-0.20883769141862774,-0.5395175110200349,-0.9225103119186964,-0.6988576942582083,-0.3039205746290571,-1.6545794063739738
2003-07-31,2003.0,7.0,24043.0,-0.7453431082598094,-0.018631953360536888,0.0880542193831843,1.4369244559577425,-0.0009848781739642126,-0.0440144006080875,-0.44723684753251985,0.5934311092506296,0.20712619428645618,0.1427941160307732,0.6714511513820186,0.87692792704414,0.805336984220255,0.2283410847383618,0.9746494829749871,-0.019542089220963697,-1.6738715969477362,-0.10016255101514969,0.024276210177337956,0.13216805628303363,-0.27308516795995164,-0.0360657618242954,-0.5020172395092443,-0.08735721178227568,-0.13176512930540818,-0.2659717702951061
2003-08-31,2003.0,8.0,24044.0,-0.006481244419650474,-0.018631953360536888,0.6312619389583153,-1.2034242318646071,0.592962975077669,-0.7471621788432267,0.24490278416680078,0.011753166955614312,-1.4582940236236188,0.7858447448736076,-0.5557464241756889,0.3659253345486695,0.5395406191383859,0.6954327287451098,0.30092119006921003,-0.019542089220963697,0.30799237383838396,0.5566654786901443,0.6810580418842251,0.9803494950379036,-0.34227475808137736,0.20993907016907734,-0.08152416709979214,-0.08735721178227568,0.21254576134188957,0.5671928113522143
2003-09-30,2003.0,9.0,24045.0,-1.4842049720999668,0.15837160356456373,-0.17061612327164066,-0.67535449430014,0.4813021527860284,0.5335695047060596,-0.2988127369768426,-0.12660725183972157,0.9750938835342423,1.1032020173119286,-0.0777294322917844,-0.24459875725844907,0.5060011993875508,1.2545822870187429,0.9947317686289087,0.26968083124930314,-0.6829396115546761,0.2556192984085512,0.845253499810947,-1.1703962960905168,-0.5844383235063675,0.9994429495896687,0.9697085139238383,-0.2911907059409199,0.9872452652983096,0.7060535749601011
2003-10-31,2003.0,10.0,24046.0,-0.7453431082598094,0.15837160356456295,0.3208575277725246,-0.1472847567356682,-1.37454466807125,-0.5044847736130892,-0.3043477587548834,0.35582536688582883,-1.2468227966144243,-0.38624522992946253,0.35905698347275367,1.089080777826116,-0.3073537191610678,-1.5718280048172428,-0.36944941036921364,0.26968083124930314,-0.6829396115546761,-0.26436955844147314,-0.2493828863671984,1.7376543510690374,0.15687871350890836,0.5703647542523907,0.9697085139238383,-0.2911907059409199,0.298623484003714,0.5671928113522143
2003-11-30,2003.0,11.0,24047.0,0.7323806194205085,-0.549642624135838,-0.5068875687229124,-0.6753544943001353,0.688140371097954,0.4858231060404355,0.39034271368624385,0.3528986228124353,-0.5821260955582331,1.212864917096589,0.26675985395108104,-0.13482791105576547,0.4948328072701075,-0.8606538613573185,0.5399270641136125,-0.5979879301614975,0.30799237383838396,0.20088362926644338,0.5715944032664106,-0.1404616918881746,0.4978845505359353,1.336984463254994,-1.3430033843281484,-0.08735721178227568,-0.38999829729088153,0.011749756920667345
