DATE,PAYEMS,NAPM,CPIAUCSL,DGORDER,RSAFS,HSN1F,HOUST,UNRATE,INDPRO,PPIFIS,NPPTTL,GACDISA066MSFRBNY,I42IMSM144SCEN,TTLCONS,GACDFSA066MSFRBPHI,IR,NMFCI,NAPMPRI,PERMIT,TCU,PCEPILFE,CPILFESL,BUSINV,JTSJOL,PCEC96,PCEPI,NAPMEI,IQ,AMDMVS,AMTMUO,AMDMTI,DSPIC96,BOPTEXP,BOPTIMP,GDPC1,ULCNFB,A261RX1Q020SBEA
1985-01-31,,50.3,,,,,,,,,,,,,5.5,,,47.6,,,,,,,,,44.4,,,,,,,,,,
1985-02-28,131.0,49.9,0.005676442762535316,,,0.05736434108527133,-0.04617182933956754,-0.09999999999999964,0.003428939896472638,,,,,,10.9,,,44.8,2.0,0.06919999999999504,0.005183495749533362,0.0056022408963585235,,,,0.004666908937895675,45.2,,,,,-0.009272185167950697,,,,,
1985-03-31,339.0,47.8,0.00470366886171214,,,-0.016129032258064502,0.10294117647058831,0.0,0.0016136390667522704,,,,,,31.0,,,46.2,65.0,-0.07499999999998863,0.003506600660065917,0.003714020427112219,,,,0.003902754773735362,44.2,,,,,-0.004627294076715693,,,,,
1985-04-30,196.0,48.2,0.0018726591760300781,,,-0.07600596125186287,0.011666666666666714,0.09999999999999964,-0.0027276014121850878,,,,,,10.0,,,44.1,-63.0,-0.4176000000000073,0.0011959263757823635,0.0027752081406107187,,,,0.001441250094819102,43.2,,,,,0.016567923242279736,,,,,
1985-05-31,274.0,47.1,0.0018691588785046953,,,0.09354838709677415,-0.07742998352553543,-0.09999999999999964,0.0014128485692908033,,,,,,8.0,,,48.7,45.0,-0.08259999999999934,0.003452845331193277,0.0036900369003689537,,,,0.0023860021208907956,40.4,,,,,0.024378083793216154,,,,,
1985-06-30,147.0,47.8,0.002798507462686617,,,0.06489675516224191,-0.0023809523809523725,0.20000000000000018,0.0007329348628541954,,,,,,-2.4,,,42.4,7.0,-0.12980000000000302,0.0032921657614761735,0.0027573529411764053,,,,0.0027203687610988236,44.5,,,,,-0.02099521691700934,,,0.00880455333273611,0.006379339568855613,0.007121025834326167
1985-07-31,189.0,47.9,0.0018604651162790198,,,0.06094182825484773,0.004773269689737569,0.0,-0.006502914518683123,,,,,,11.5,,,45.6,-19.0,-0.6918000000000006,0.0029291262675885665,0.002749770852429112,,,,0.002449225667884969,45.2,,,,,0.002125689992114488,,,,,
1985-08-31,192.0,47.7,0.0018570102135562205,,,-0.052219321148825104,0.03503562945368177,-0.3000000000000007,0.004142911711891628,,,,,,6.9,,,44.0,111.0,0.1600999999999999,0.00489842695798437,0.003656307129798808,,,,0.0033077732671777937,41.1,,,,,-0.0007355708371822312,,,,,
1985-09-30,205.0,49.9,0.001853568118628246,,,-0.06611570247933884,-0.038439472174411904,0.0,0.004316022433362043,,,,,,2.3,,,44.3,108.0,0.1863000000000028,0.0020785814141710546,0.0018214936247722413,,,,0.0016858983965233332,41.8,,,,,0.004262603783274699,,,0.015271243267568346,0.0020670331184637902,0.012123591439925363
1985-10-31,188.0,50.9,0.0037002775208141436,,,-0.03392330383480824,0.09427207637231505,0.0,-0.00413286771460375,,,,,,6.2,,,46.4,-173.0,-0.4660999999999973,0.001597004240321498,0.00454545454545463,,,,0.0016643602498411791,45.2,,,,,0.004960452747852173,,,,,
1985-11-30,210.0,52.0,0.004608294930875667,,,0.11908396946564892,-0.07415485278080702,-0.09999999999999964,0.0033786665908348557,,,,,,19.7,,,45.7,-51.0,0.13809999999999434,0.002455831683894294,0.005429864253393646,,,,0.0029124582267607835,44.5,,,,,0.0014926638961920702,,,,,
1985-12-31,166.0,50.7,0.004587155963302836,,,-0.016371077762619368,0.14369846878680792,0.0,0.010466761963974669,,,,,,13.5,,,48.7,102.0,0.7077000000000027,0.0027240484112764918,0.0027002700270029045,,,,0.0033693851337517344,42.6,,,,,0.005961756685805231,,,0.007432920281009725,0.014851939003147852,0.00559756694212199
1986-01-31,123.0,51.2,0.0036529680365298134,,,0.01664355062413314,0.015447991761071034,-0.2999999999999998,0.004638378285517941,,,,,,22.4,,,48.4,53.0,0.26500000000000057,0.005396831184932616,0.004488330341113178,,,,0.00460111317254186,45.1,,,,,0.001767825574543247,,,,,
1986-02-28,115.0,51.0,-0.0018198362147406888,,,-0.006821282401091366,-0.06288032454361059,0.5,-0.006560763840419925,,,,,,19.9,,,49.7,-80.0,-0.6135000000000019,0.002593257530420834,0.002680965147453085,,,,0.0,43.0,,,,,0.005159663865546227,,,,,
1986-03-31,87.0,51.0,-0.005469462169553352,,,0.20879120879120872,0.015151515151515138,0.0,-0.006892142535971146,,,,,,14.0,,,49.0,13.0,-0.6260000000000048,0.003038743985819048,0.002673796791443861,,,,-0.0021976804314103315,43.4,,,,,0.010216195428628838,,,0.009335038885879499,0.0023035923996506114,0.009881378902768967
1986-04-30,187.0,49.7,-0.0036663611365719273,,,-0.026136363636363624,0.03038379530916835,-0.10000000000000053,0.00031657882635904855,,,,,,3.2,,,42.8,78.0,-0.04999999999999716,0.0018032964258665185,0.003555555555555534,,,,-0.0020544522386125585,42.2,,,,,0.0038233638981759466,,,,,
1986-05-31,127.0,53.4,0.002759889604415866,,,-0.07934655775962662,-0.040869115364718045,0.10000000000000053,0.0021640773763744736,,,,,,1.9,,,49.5,-61.0,0.09720000000000084,0.0017100478813405484,0.001771479185119551,,,,0.0018361215178603896,45.4,,,,,0.0009892990816007252,,,,,
