,SECUCODE
354,002364.SZ
355,002367.SZ
356,002368.SZ
357,002371.SZ
358,002372.SZ
359,002373.SZ
360,002375.SZ
361,002376.SZ
362,002382.SZ
363,002383.SZ
364,002384.SZ
365,002385.SZ
366,002387.SZ
367,002389.SZ
368,002390.SZ
369,002396.SZ
370,002399.SZ
371,002402.SZ
372,002405.SZ
373,002407.SZ
374,002408.SZ
375,002409.SZ
376,002410.SZ
377,002413.SZ
378,002414.SZ
379,002415.SZ
380,002416.SZ
381,002419.SZ
382,002421.SZ
383,002422.SZ
384,002423.SZ
385,002424.SZ
386,002428.SZ
387,002429.SZ
388,002430.SZ
389,002434.SZ
390,002436.SZ
391,002437.SZ
392,002439.SZ
393,002440.SZ
394,002444.SZ
395,002446.SZ
396,002449.SZ
397,002456.SZ
398,002458.SZ
399,002459.SZ
400,002460.SZ
401,002461.SZ
402,002463.SZ
403,002465.SZ
404,002466.SZ
405,002467.SZ
406,002468.SZ
407,002475.SZ
408,002479.SZ
409,002481.SZ
410,002482.SZ
411,002484.SZ
412,002488.SZ
413,002489.SZ
414,002490.SZ
415,002491.SZ
416,002493.SZ
417,002497.SZ
418,002498.SZ
419,002500.SZ
420,002503.SZ
421,002505.SZ
422,002506.SZ
423,002507.SZ
424,002508.SZ
425,002511.SZ
426,002518.SZ
427,002528.SZ
428,002530.SZ
429,002531.SZ
430,002537.SZ
431,002541.SZ
432,002542.SZ
433,002544.SZ
434,002545.SZ
435,002547.SZ
436,002552.SZ
437,002555.SZ
438,002557.SZ
439,002558.SZ
440,002563.SZ
441,002567.SZ
442,002568.SZ
443,002572.SZ
444,002573.SZ
445,002583.SZ
446,002589.SZ
447,002594.SZ
448,002595.SZ
449,002596.SZ
450,002597.SZ
451,002600.SZ
452,002601.SZ
453,002602.SZ
454,002603.SZ
455,002605.SZ
456,002607.SZ
457,002609.SZ
458,002610.SZ
459,002611.SZ
460,002614.SZ
461,002616.SZ
462,002617.SZ
463,002618.SZ
464,002621.SZ
465,002624.SZ
466,002625.SZ
467,002626.SZ
468,002635.SZ
469,002636.SZ
470,002640.SZ
471,002641.SZ
472,002643.SZ
473,002648.SZ
474,002653.SZ
475,002665.SZ
476,002670.SZ
477,002672.SZ
478,002673.SZ
479,002675.SZ
480,002677.SZ
481,002683.SZ
482,002685.SZ
483,002690.SZ
484,002695.SZ
485,002697.SZ
486,002698.SZ
487,002701.SZ
488,002703.SZ
489,002705.SZ
490,002706.SZ
491,002709.SZ
492,002714.SZ
493,002717.SZ
494,002726.SZ
495,002727.SZ
496,002733.SZ
497,002736.SZ
498,002737.SZ
499,002739.SZ
500,002745.SZ
501,002746.SZ
502,002747.SZ
503,002755.SZ
504,002756.SZ
505,002768.SZ
506,002773.SZ
507,002777.SZ
508,002791.SZ
509,002792.SZ
510,002793.SZ
511,002796.SZ
512,002797.SZ
513,002798.SZ
514,002803.SZ
515,002807.SZ
516,002812.SZ
517,002815.SZ
518,002818.SZ
519,002821.SZ
520,002831.SZ
521,002832.SZ
522,002837.SZ
523,002838.SZ
524,002839.SZ
525,002841.SZ
526,002850.SZ
527,002851.SZ
528,002859.SZ
529,002867.SZ
530,002869.SZ
531,002880.SZ
532,002901.SZ
533,002907.SZ
534,002910.SZ
535,002911.SZ
536,002912.SZ
537,002913.SZ
538,002916.SZ
539,002918.SZ
540,002920.SZ
541,002925.SZ
542,002926.SZ
543,002928.SZ
544,002929.SZ
545,002936.SZ
546,002938.SZ
547,002939.SZ
548,002941.SZ
549,002946.SZ
550,002947.SZ
551,002948.SZ
552,002950.SZ
553,002951.SZ
554,002955.SZ
555,002958.SZ
556,002959.SZ
557,002966.SZ
558,003816.SZ
559,300001.SZ
560,300002.SZ
561,300003.SZ
562,300009.SZ
563,300010.SZ
564,300012.SZ
565,300014.SZ
566,300015.SZ
