field
TO_factor_1M
TO_factor_3M
TO_factor_6M
TO_factor_12M
market_cap_factor
trade_price_volume_factor
p_close_factor
adj_close
total_return_1M
total_return_3M
total_return_6M
total_return_12M
average_price_1M
momentum_ave_1M
momentum_last_6M
momentum_last_6M_path
REVS10
REVS20
REVS10_path
REVS20_path
max_ret
realized_vol_1M
realized_vol_3M
realized_vol_6M
realized_vol_12M
PPReversal
tot_assets
qfa_tot_oper_rev
growth_net_profit
growth_op_rev
yoy_or
yoy_profit
yoy_ocf
roa
roe
assets_turn
debt_to_assets
debt_to_equity
equity_to_asset
pb
pe
ps
ep_ttm
sp_ttm
excess_return_1M
excess_return_3M
excess_return_6M
excess_return_12M
excess_return_24M
excess_return_60M
RET_2_3
RET_4_6
RET_7_12
RET_3_12
brr_beta
brr_HSIGMA
brr_RSTR
brr_LNCAP
brr_ETOP
brr_DASTD
brr_CMRA
brr_SGRO
brr_EGRO
brr_BTOP
brr_MLEV
brr_DTOA
brr_BLEV
brr_STOM
brr_STOQ
brr_STOA
