Ticker,Segment,Weight
IVV,US Large Cap,16.13%
QQQ,US Large Cap,9.66%
IWS,US Mid Cap,6.71%
VB,US Small Cap,5.91%
AGG,US Agg Bond,15.00%
HYG,High Yield Bond,13.33%
JPST,US Short-term Bond,17.67%
VTIP,Inflation- Protected Bond,4.00%
GLD,Gold,2.00%
SCHF,Developed Market,2.28%
VEA,Developed Market,7.32%
