,AHAS,Hang Seng Index
2016/11/3,1.049001959,1.091776364
2016/11/4,1.04525835,1.089808295
2016/11/7,1.055920121,1.097450509
2016/11/8,1.06143217,1.102652009
2016/11/9,1.045072687,1.078861897
2016/11/10,1.068564285,1.099265523
2016/11/11,1.058169289,1.084440262
2016/11/14,1.047268502,1.06957409
2016/11/15,1.048052389,1.074468515
2016/11/16,1.046803177,1.072380599
2016/11/17,1.050776288,1.07153109
2016/11/18,1.06155276,1.075445571
2016/11/21,1.062528118,1.076098707
2016/11/22,1.071106959,1.091514533
2016/11/23,1.070126109,1.091448112
2016/11/24,1.069617729,1.088165589
2016/11/25,1.074169689,1.09369871
2016/11/28,1.079590111,1.098854485
2016/11/29,1.078607347,1.094354252
2016/11/30,1.090906873,1.096890748
2016/12/1,1.08595587,1.101148401
2016/12/2,1.073604556,1.086063715
2016/12/5,1.070548318,1.083211
2016/12/6,1.085236799,1.091373991
2016/12/7,1.089022847,1.097427407
2016/12/8,1.093866486,1.100359537
2016/12/9,1.085392676,1.095505061
2016/12/12,1.061715312,1.079720071
2016/12/13,1.067654341,1.080378501
2016/12/14,1.063590435,1.080855958
2016/12/15,1.044343038,1.061737427
2016/12/16,1.052246088,1.059877169
2016/12/19,1.044916656,1.050825203
2016/12/20,1.031542172,1.045837885
2016/12/21,1.038288167,1.049723969
2016/12/22,1.031305824,1.041368456
2016/12/23,1.027967962,1.038411297
2016/12/28,1.036881082,1.047073886
2016/12/29,1.038798232,1.048814777
2016/12/30,1.053801219,1.058905408
2017/1/3,1.058156814,1.066117333
2017/1/4,1.06367175,1.065350608
2017/1/5,1.075145103,1.080859327
2017/1/6,1.07895244,1.083088748
2017/1/9,1.085941136,1.085768673
2017/1/10,1.100043513,1.09472871
2017/1/11,1.106114621,1.103897635
2017/1/12,1.107984867,1.098779882
2017/1/13,1.115511973,1.10399534
2017/1/16,1.114785051,1.093443617
2017/1/17,1.12706132,1.099355046
2017/1/18,1.134744507,1.11173863
2017/1/19,1.135283135,1.109413911
2017/1/20,1.125022375,1.101518046
2017/1/23,1.133530902,1.102124976
2017/1/24,1.143018261,1.104596013
2017/1/25,1.14571572,1.109373481
2017/1/26,1.153030558,1.125018409
2017/1/27,1.150545928,1.124373938
2017/2/1,1.157924867,1.122333671
2017/2/2,1.157818912,1.115890397
2017/2/3,1.155451538,1.113228279
2017/2/6,1.167356478,1.123770377
2017/2/7,1.173678363,1.122968036
2017/2/8,1.185610032,1.130359008
2017/2/9,1.188496629,1.132284722
2017/2/10,1.186483639,1.134683564
2017/2/13,1.198296471,1.141229358
2017/2/14,1.199568614,1.140845755
2017/2/15,1.20068189,1.154893221
2017/2/16,1.203847589,1.160323824
2017/2/17,1.202370273,1.156764067
2017/2/20,1.216507187,1.162171086
2017/2/21,1.208180845,1.153389614
2017/2/22,1.23293011,1.164860637
2017/2/23,1.237821041,1.160668441
2017/2/24,1.217564657,1.153489245
2017/2/27,1.21286757,1.151532726
2017/2/28,1.208182455,1.14266125
2017/3/1,1.216060832,1.144382408
2017/3/2,1.216491898,1.142051913
2017/3/3,1.211440299,1.133612171
2017/3/6,1.212858189,1.13570875
2017/3/7,1.215771531,1.139789764
2017/3/8,1.216230105,1.144660605
2017/3/9,1.210465516,1.131149797
2017/3/10,1.212503578,1.134379858
2017/3/13,1.217173673,1.146942007
2017/3/14,1.222522214,1.146859222
2017/3/15,1.225232103,1.145169829
2017/3/16,1.238302249,1.169015291
2017/3/17,1.250938834,1.170057323
2017/3/20,1.260283878,1.179301333
2017/3/21,1.263254359,1.183687496
2017/3/22,1.247798229,1.170561735
2017/3/23,1.248757583,1.170912609
2017/3/24,1.253367863,1.172383968
2017/3/27,1.236934277,1.164463076
2017/3/28,1.249621384,1.171787146
2017/3/29,1.252985067,1.174009828
2017/3/30,1.252541507,1.169631847
2017/3/31,1.251571728,1.160511053
2017/4/3,1.258594681,1.167725384
2017/4/5,1.272675774,1.174430973
2017/4/6,1.268578257,1.168314505
2017/4/7,1.27482513,1.168005506
2017/4/10,1.27252042,1.167759076
2017/4/11,1.268989916,1.159397786
2017/4/12,1.27495834,1.17022915
2017/4/13,1.270821565,1.167734048
2017/4/18,1.257276135,1.151508179
2017/4/19,1.246920459,1.14675959
2017/4/20,1.247686462,1.157882628
2017/4/21,1.25760482,1.157162591
2017/4/24,1.253427831,1.161853422
2017/4/25,1.263754003,1.177084907
2017/4/26,1.275620528,1.182980453
2017/4/27,1.269781735,1.188758561
2017/4/28,1.277370638,1.184746855
2017/5/2,1.28036989,1.188645454
2017/5/4,1.27799281,1.188055851
2017/5/5,1.262827221,1.178067258
2017/5/8,1.270945296,1.182955425
2017/5/9,1.273565358,1.197929892
2017/5/10,1.269672498,1.204013149
2017/5/11,1.269486791,1.209313798
2017/5/12,1.265581614,1.210795747
2017/5/15,1.263636073,1.221155909
2017/5/16,1.271041013,1.219440045
2017/5/17,1.271208859,1.217403629
2017/5/18,1.260502469,1.209841793
2017/5/19,1.266970298,1.211687611
2017/5/22,1.273193702,1.222106494
2017/5/23,1.273017636,1.222674919
2017/5/24,1.27334997,1.223895036
2017/5/25,1.275729795,1.233630942
2017/5/26,1.274963928,1.234039573
2017/5/29,1.276121915,1.237041012
2017/5/31,1.278114869,1.23506861
2017/6/1,1.275750124,1.242219408
2017/6/2,1.279480005,1.247746273
2017/6/5,1.274741105,1.244807404
2017/6/6,1.271392819,1.251264156
2017/6/7,1.270896571,1.250158109
2017/6/8,1.280414189,1.254436941
2017/6/9,1.277644133,1.252859694
2017/6/12,1.270872504,1.237349531
2017/6/13,1.274080077,1.24428326
2017/6/14,1.274018163,1.245428773
2017/6/15,1.262148152,1.23048126
2017/6/16,1.268727562,1.23342446
2017/6/19,1.27565522,1.247770338
2017/6/20,1.281004342,1.243847194
2017/6/21,1.278523327,1.23670169
2017/6/22,1.282568232,1.235736666
2017/6/23,1.279589803,1.23552104
2017/6/26,1.288885981,1.245235769
2017/6/27,1.286863238,1.243700395
2017/6/28,1.282105308,1.236168399
2017/6/29,1.290587424,1.249737446
2017/6/30,1.285367306,1.240070849
2017/7/3,1.286523135,1.241013731
2017/7/4,1.265634853,1.221994349
2017/7/5,1.290055073,1.228393825
2017/7/6,1.297409359,1.2256624
2017/7/7,1.302263451,1.219676368
2017/7/10,1.306733179,1.227339279
2017/7/11,1.316195257,1.24551252
2017/7/12,1.322181345,1.25350224
2017/7/13,1.347800161,1.268063262
2017/7/14,1.364610295,1.270135776
2017/7/17,1.375385908,1.27405122
2017/7/18,1.393743255,1.276667613
2017/7/19,1.433747298,1.283753435
2017/7/20,1.434711007,1.287028738
2017/7/21,1.421872244,1.285386514
2017/7/24,1.43296736,1.292160448
2017/7/25,1.414412586,1.292411692
2017/7/26,1.401851934,1.296693892
2017/7/27,1.417656675,1.305845971
2017/7/28,1.408094862,1.298540673
2017/7/31,1.434415492,1.315126559
2017/8/1,1.413970891,1.325534372
2017/8/2,1.424796326,1.328766358
2017/8/3,1.431172768,1.325090606
2017/8/4,1.447555143,1.326614909
2017/8/7,1.459447985,1.332760255
2017/8/8,1.484396853,1.340680184
2017/8/9,1.486686088,1.335972026
2017/8/10,1.455773409,1.320902742
2017/8/11,1.394363973,1.293925888
2017/8/14,1.421697342,1.311576429
2017/8/15,1.412385263,1.307953621
2017/8/16,1.43534829,1.319221532
2017/8/17,1.440919194,1.316100246
2017/8/18,1.432620602,1.301822233
2017/8/21,1.453813284,1.306977527
2017/8/22,1.472745258,1.318865363
2017/8/24,1.474321508,1.324493302
2017/8/25,1.483349276,1.340355302
2017/8/28,1.472309771,1.341083521
2017/8/29,1.487129935,1.336353222
2017/8/30,1.5486066,1.352217147
2017/8/31,1.599014923,1.346234002
2017/9/1,1.609347096,1.34540904
2017/9/4,1.599512135,1.335161984
2017/9/5,1.620413517,1.335214447
2017/9/6,1.620488437,1.329073432
2017/9/7,1.633261302,1.324701227
2017/9/8,1.638833494,1.33170667
2017/9/11,1.6630669,1.345503857
2017/9/12,1.683727238,1.346327376
2017/9/13,1.700929093,1.34256547
2017/9/14,1.70473164,1.336939937
2017/9/15,1.716109608,1.338402634
2017/9/18,1.745828872,1.355353352
2017/9/19,1.747797394,1.350137894
2017/9/20,1.772037232,1.353814609
2017/9/21,1.77388988,1.352973763
2017/9/22,1.759662,1.341913297
2017/9/25,1.685613901,1.323614433
2017/9/26,1.690089322,1.324224251
2017/9/27,1.734795752,1.330453344
2017/9/28,1.696030593,1.319824611
2017/9/29,1.724085519,1.326211573
2017/10/3,1.773527839,1.35600023
2017/10/4,1.787252643,1.365913739
2017/10/6,1.793400718,1.369709337
2017/10/9,1.800768538,1.363382538
2017/10/10,1.834215324,1.371287548
2017/10/11,1.81971388,1.366413819
2017/10/12,1.849638755,1.369756987
2017/10/13,1.846517497,1.370594464
2017/10/16,1.838085263,1.381008533
2017/10/17,1.837518996,1.381234267
2017/10/18,1.837578725,1.381921094
2017/10/19,1.81660267,1.355320623
2017/10/20,1.849189615,1.371114757
2017/10/23,1.858812923,1.362385749
2017/10/24,1.840601943,1.355122324
2017/10/25,1.849068666,1.362241838
2017/10/26,1.842381284,1.357404207
2017/10/27,1.821327873,1.368785706
2017/10/30,1.825412551,1.363844594
2017/10/31,1.842864643,1.359481534
2017/11/1,1.86114403,1.376256094
2017/11/2,1.854531572,1.372626066
2017/11/3,1.867333234,1.376715743
2017/11/6,1.863043438,1.376387973
2017/11/7,1.882699368,1.395521906
2017/11/8,1.880594135,1.391347037
2017/11/9,1.889127161,1.402367555
2017/11/10,1.889665611,1.401614308
2017/11/13,1.893866656,1.404562803
2017/11/14,1.891862638,1.40311599
2017/11/15,1.855909247,1.388656042
2017/11/16,1.872872289,1.396697261
2017/11/17,1.875541543,1.405374289
2017/11/20,1.865705124,1.408323266
2017/11/21,1.876330545,1.435168723
2017/11/22,1.900827257,1.444093142
2017/11/23,1.87840446,1.429868073
2017/11/24,1.891399179,1.437491035
2017/11/27,1.863621564,1.428821227
2017/11/28,1.869741495,1.428564208
2017/11/29,1.875860748,1.425819788
2017/11/30,1.842898926,1.404330331
2017/12/1,1.842018278,1.399367561
2017/12/4,1.873662176,1.402449859
2017/12/5,1.840279021,1.388228158
2017/12/6,1.774247561,1.3584833
2017/12/7,1.774928583,1.362256277
2017/12/8,1.821765122,1.378460006
2017/12/11,1.865435634,1.394123705
2017/12/12,1.838454051,1.385873598
2017/12/13,1.850135108,1.406484186
2017/12/14,1.868224473,1.403802336
2017/12/15,1.848572376,1.388483734
2017/12/18,1.833726291,1.398220602
2017/12/19,1.853569495,1.408003195
2017/12/20,1.853117562,1.407061275
2017/12/21,1.8833819,1.413461232
2017/12/22,1.899074831,1.423614433
2017/12/27,1.906857418,1.424560204
2017/12/28,1.935388269,1.437365413
2017/12/29,1.961507321,1.440033787
2018/1/2,1.991661481,1.468727468
2018/1/3,2.004226758,1.47092416
2018/1/4,2.011434782,1.479372566
2018/1/5,2.013040569,1.483134472
2018/1/8,2.049463711,1.487220299
2018/1/9,2.036305731,1.492605178
2018/1/10,2.045899949,1.49560421
2018/1/11,2.050520662,1.497850477
2018/1/12,2.071090563,1.5119119
2018/1/15,2.03004262,1.508366102
2018/1/16,2.061610179,1.535602381
2018/1/17,2.056060364,1.539388353
2018/1/18,2.064597679,1.546055918
2018/1/19,2.083973712,1.552454913
2018/1/22,2.107944701,1.559121996
2018/1/23,2.134632461,1.584982215
2018/1/24,2.146963345,1.586329397
2018/1/25,2.133550371,1.57168607
2018/1/26,2.161113239,1.595735607
2018/1/29,2.155528518,1.58672407
2018/1/30,2.128862663,1.569416221
2018/1/31,2.139198773,1.582891893
2018/2/1,2.10026969,1.571091174
2018/2/2,2.120086056,1.56915102
2018/2/5,2.093396309,1.551989488
2018/2/6,1.973265125,1.472583229
2018/2/7,1.934559319,1.459481053
2018/2/8,1.939223685,1.46564517
2018/2/9,1.877019827,1.420216877
2018/2/12,1.904530328,1.417916704
2018/2/13,1.929153027,1.43620161
2018/2/14,1.96736196,1.468741426
2018/2/15,2.002460858,1.497611747
2018/2/20,2.027860627,1.485973711
2018/2/21,2.053000629,1.512843232
2018/2/22,2.046389648,1.490404154
2018/2/23,2.06771491,1.504915121
2018/2/26,2.082110171,1.51605404
2018/2/27,2.046189618,1.504986835
2018/2/28,2.033084637,1.484582248
