,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2016,/,/,/,/,/,0.97%,2.66%,0.41%,0.50%,-0.80%,0.23%,1.05%,5.09%
2017,1.88%,1.77%,0.64%,1.22%,1.29%,0.68%,1.66%,0.42%,1.06%,1.33%,0.24%,1.08%,14.11%
2018,2.88%,-2.00%,-0.62%,-0.13%,1.53%,-0.37%,1.67%,0.50%,0.28%,-3.52%,0.85%,-3.32%,-2.44%
2019,5.09%,2.08%,1.86%,2.08%,-3.25%,4.21%,0.49%,-0.37%,0.41%,1.81%,/,/,15.07%
