,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2016,/,/,/,/,/,-0.10%,0.16%,0.40%,0.41%,-0.11%,1.68%,0.12%,2.62%
2017,0.31%,-0.13%,0.27%,0.02%,-0.02%,0.21%,-0.21%,-0.26%,0.39%,-0.05%,0.03%,-0.34%,0.25%
2018,0.03%,0.77%,0.41%,0.07%,1.11%,0.56%,0.04%,0.95%,0.18%,0.34%,-0.31%,-0.83%,3.16%
2019,0.33%,0.39%,-0.01%,0.34%,-0.45%,0.16%,0.34%,-0.18%,0.10%,-0.13%,/,/,0.97%
