,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2016/3/31,1,1
2016/4/1,0.989929336,0.996493573
2016/4/5,0.980341988,0.991052755
2016/4/6,0.987209763,0.996145894
2016/4/7,0.990648425,0.994107759
2016/4/8,1.005010877,0.99785002
2016/4/11,1.015729109,0.998966149
2016/4/12,1.027743284,1.001420094
2016/4/13,1.035987481,1.008369858
2016/4/14,1.032267802,1.009857757
2016/4/15,1.026918607,1.010594386
2016/4/18,1.03164138,1.012588775
2016/4/19,1.052041149,1.019329071
2016/4/20,1.057667998,1.01968963
2016/4/21,1.054748787,1.01656257
2016/4/22,1.058533117,1.012961017
2016/4/25,1.049203685,1.011801884
2016/4/26,1.052199802,1.013113652
2016/4/27,1.062987176,1.01341897
2016/4/28,1.06924039,1.013202754
2016/4/29,1.078875604,1.013569812
2016/5/3,1.06262367,1.010979485
2016/5/4,1.050296166,1.004654435
2016/5/5,1.050710027,1.002913868
2016/5/6,1.052017626,1.004192217
2016/5/9,1.038601897,1.002645916
2016/5/10,1.044591434,1.009171996
2016/5/11,1.056085971,1.007058118
2016/5/12,1.057934007,1.005045167
2016/5/13,1.04987988,0.998844466
2016/5/16,1.054184582,1.003369767
2016/5/17,1.062836117,1.001188288
2016/5/18,1.053869082,0.998612816
2016/5/19,1.034394045,0.992719679
2016/5/20,1.042324716,0.996791411
2016/5/23,1.041823845,0.995772434
2016/5/24,1.038742693,1.002001049
2016/5/25,1.0437114,1.007210687
2016/5/26,1.049096601,1.009965006
2016/5/27,1.04436972,1.010499978
2016/5/30,1.040779436,1.009808953
2016/5/31,1.041136269,1.009265201
2016/6/1,1.039302659,1.00980717
2016/6/2,1.040270962,1.011166717
2016/6/3,1.057409508,1.017590056
2016/6/6,1.078010401,1.020326996
2016/6/7,1.087083045,1.02387393
2016/6/8,1.097884873,1.02685212
2016/6/10,1.084176624,1.014272787
2016/6/13,1.077207188,1.007676861
2016/6/14,1.069663903,1.001423017
2016/6/15,1.070452812,1.003532666
2016/6/16,1.07E+00,1.002112166
2016/6/17,1.076597054,1.00505219
2016/6/20,1.085834608,1.016213374
2016/6/21,1.084330483,1.016803166
2016/6/22,1.086189759,1.016568087
2016/6/23,1.090920146,1.024973311
2016/6/24,1.081148845,0.995913573
2016/6/27,1.073395707,0.982501246
2016/6/28,1.08431696,0.993153931
2016/6/29,1.101679551,1.007066372
2016/6/30,1.108089518,1.013833215
2016/7/4,1.129084583,1.018082634
2016/7/5,1.122510879,1.013876193
2016/7/6,1.12530904,1.011882285
2016/7/7,1.127566708,1.013346108
2016/7/8,1.12944666,1.02018571
2016/7/11,1.141260136,1.023198561
2016/7/12,1.14896602,1.026510178
2016/7/13,1.146685589,1.029377502
2016/7/14,1.15064639,1.031103576
2016/7/15,1.14885715,1.028051989
2016/7/18,1.146179869,1.029406625
2016/7/19,1.14428629,1.026602962
2016/7/20,1.135621878,1.029088639
2016/7/21,1.133095617,1.028520935
2016/7/22,1.13204837,1.028719137
2016/7/25,1.123349711,1.027898742
2016/7/26,1.123846879,1.029800138
2016/7/27,1.131904163,1.03032342
2016/7/28,1.136008513,1.032546021
2016/7/29,1.139647348,1.041353922
2016/8/1,1.140389942,1.03896689
2016/8/3,1.142006169,1.033616067
2016/8/4,1.147237399,1.035809629
2016/8/5,1.150593506,1.036941654
2016/8/8,1.155907825,1.037675723
2016/8/9,1.159081653,1.042465044
2016/8/10,1.162840082,1.044363468
2016/8/11,1.167248682,1.046767349
2016/8/12,1.169039557,1.047691204
2016/8/15,1.171383782,1.048339377
2016/8/16,1.172549589,1.046080142
2016/8/17,1.167857143,1.046779254
2016/8/18,1.177866079,1.050243942
2016/8/19,1.172452167,1.047390024
2016/8/22,1.162367594,1.048261433
2016/8/23,1.163326742,1.05095569
2016/8/24,1.150926796,1.047007445
2016/8/25,1.144245106,1.045706106
2016/8/26,1.147528397,1.044991268
2016/8/29,1.144447846,1.043790699
2016/8/30,1.140443794,1.040874118
2016/8/31,1.127044071,1.038454935
2016/9/1,1.126875542,1.040584587
2016/9/2,1.137491379,1.042853637
2016/9/5,1.141509227,1.044570454
2016/9/6,1.150585047,1.05095625
2016/9/7,1.155297051,1.052478406
2016/9/8,1.156432962,1.050057117
2016/9/9,1.135598438,1.033579726
2016/9/12,1.13279618,1.036631698
2016/9/13,1.121734639,1.028189897
2016/9/14,1.116695877,1.027390698
2016/9/15,1.122467384,1.031848389
2016/9/19,1.122159121,1.031079553
2016/9/20,1.122155643,1.031542458
2016/9/21,1.13424695,1.038640528
2016/9/22,1.147708186,1.048247607
2016/9/23,1.140676655,1.043904185
2016/9/26,1.133031248,1.04002721
2016/9/27,1.131396855,1.041767231
2016/9/28,1.140396737,1.043595357
2016/9/29,1.145906972,1.041156802
2016/9/30,1.14540597,1.042997036
2016/10/3,1.146060446,1.04105648
2016/10/4,1.137692615,1.036805765
2016/10/5,1.135852342,1.03668482
2016/10/6,1.135791291,1.034451407
2016/10/7,1.134311798,1.032404269
2016/10/11,1.13265686,1.025683635
2016/10/12,1.131125132,1.022723264
2016/10/13,1.131858872,1.021959493
2016/10/14,1.132160651,1.021949348
2016/10/17,1.1291852,1.020116014
2016/10/18,1.138715802,1.025454514
2016/10/19,1.147560971,1.028185772
2016/10/20,1.149169671,1.026244173
2016/10/24,1.150848631,1.025973962
2016/10/25,1.148085168,1.02372425
2016/10/26,1.145572338,1.023274586
2016/10/27,1.1398488,1.019463565
2016/10/28,1.13764615,1.017678648
2016/10/31,1.137644063,1.018706977
2016/11/1,1.137869433,1.017273495
2016/11/2,1.134931256,1.015839758
2016/11/3,1.128758125,1.013581319
2016/11/4,1.125186017,1.012131971
2016/11/7,1.133647492,1.018484258
2016/11/8,1.13493979,1.020275134
2016/11/9,1.13233465,1.019084485
2016/11/10,1.117448396,1.016660469
2016/11/11,1.099839823,1.014262604
2016/11/14,1.091131099,1.007813012
2016/11/15,1.102508063,1.011387436
