,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2016,/,/,/,/,/,0.46%,0.28%,0.40%,0.32%,0.47%,1.13%,-0.04%,3.13%
2017,0.42%,0.10%,0.16%,0.12%,-0.06%,0.58%,0.05%,-0.09%,0.35%,0.24%,-0.66%,0.05%,1.40%
2018,0.35%,0.87%,0.45%,-0.26%,1.31%,0.07%,0.08%,-0.11%,0.42%,1.04%,-0.12%,-0.29%,3.68%
2019,0.55%,0.77%,0.44%,0.35%,-0.65%,0.27%,0.29%,-0.19%,-0.34%,0.26%,/,/,1.85%
