,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
AHAS,0.201184522,1.138944114,0.165548507,6.879821112,-0.0437448
Hang Seng Index,0.12403069,0.624104603,0.156202617,3.995481089,-0.032000306
