,AQM_HUABAO_50,Benchmark_50
2016/8/23,1.039010065,1.035071618
2016/8/24,1.035649276,1.032435735
2016/8/25,1.035204265,1.03102347
2016/8/26,1.033444702,1.029540517
2016/8/29,1.03683127,1.030913069
2016/8/30,1.035688848,1.030355771
2016/8/31,1.033678443,1.02897949
2016/9/1,1.035179076,1.029777322
2016/9/2,1.039127094,1.032570724
2016/9/6,1.042391475,1.038558207
2016/9/7,1.042613548,1.039213208
2016/9/8,1.039981092,1.03648625
2016/9/9,1.025146607,1.024137038
2016/9/12,1.032393178,1.025029137
2016/9/13,1.02296191,1.017764169
2016/9/14,1.023282495,1.018165042
2016/9/15,1.029496287,1.021513939
2016/9/16,1.027036278,1.019014724
2016/9/19,1.02798897,1.0217426
2016/9/20,1.028148526,1.022127547
2016/9/21,1.036498093,1.028030265
2016/9/22,1.041673182,1.035189247
2016/9/23,1.038221454,1.032549573
2016/9/26,1.033758518,1.028436184
2016/9/27,1.03711585,1.030906466
2016/9/28,1.041145697,1.032322152
2016/9/29,1.035754664,1.031179532
2016/9/30,1.039817712,1.030905511
2016/10/3,1.037966848,1.030413684
2016/10/4,1.034410919,1.027895245
2016/10/5,1.036807082,1.028123236
2016/10/6,1.036314738,1.027080561
2016/10/7,1.034358283,1.025453743
2016/10/10,1.034358283,1.027525524
2016/10/11,1.02937147,1.021214721
2016/10/12,1.029553104,1.019483365
2016/10/13,1.027745803,1.018272492
2016/10/14,1.027709357,1.018573467
2016/10/17,1.026549468,1.017683133
2016/10/18,1.031241086,1.02258342
2016/10/19,1.0332488,1.024485123
2016/10/20,1.032359988,1.023916491
2016/10/21,1.03255381,1.02310549
2016/10/24,1.034704221,1.024427449
2016/10/25,1.032790417,1.023162863
2016/10/26,1.029810925,1.021499407
2016/10/27,1.026759977,1.018499513
2016/10/28,1.025170814,1.017347431
2016/10/31,1.025453568,1.01784771
2016/11/1,1.021591547,1.01614444
2016/11/2,1.017376108,1.012658791
2016/11/3,1.015270764,1.010492828
2016/11/4,1.01460232,1.008974638
2016/11/7,1.025899127,1.015945382
2016/11/8,1.027336301,1.017260608
2016/11/9,1.028983252,1.01209923
2016/11/10,1.025570292,1.011955612
2016/11/11,1.025551637,1.009160546
2016/11/14,1.0240351,1.004348053
2016/11/15,1.030152351,1.007103984
2016/11/16,1.02904483,1.007147326
2016/11/17,1.030996208,1.008146428
2016/11/18,1.028643064,1.003779314
2016/11/21,1.034042375,1.007371488
2016/11/22,1.036848957,1.00906716
2016/11/23,1.035359761,1.007043915
2016/11/25,1.037092725,1.009701758
2016/11/28,1.035273986,1.009553261
2016/11/29,1.036410966,1.01060294
2016/11/30,1.033444094,1.008657595
2016/12/1,1.029741097,1.005541075
2016/12/2,1.032080353,1.006766048
2016/12/5,1.036644819,1.009377143
2016/12/6,1.040281679,1.012272454
2016/12/7,1.04789274,1.019708679
2016/12/8,1.049223015,1.020540986
2016/12/9,1.050292357,1.020537273
2016/12/12,1.048057828,1.020251593
2016/12/13,1.05231794,1.024313433
2016/12/14,1.043916902,1.020191161
2016/12/15,1.04414493,1.01528229
2016/12/16,1.043781038,1.014700189
2016/12/19,1.045510274,1.017049913
2016/12/20,1.047396655,1.017318958
2016/12/21,1.047191018,1.017777574
2016/12/22,1.045814705,1.016594255
2016/12/23,1.047088381,1.017178344
2016/12/27,1.047895875,1.017261684
2016/12/28,1.0446768,1.016559627
2016/12/29,1.046444937,1.018654154
2016/12/30,1.045920962,1.019674345
2017/1/3,1.050349243,1.021701805
2017/1/4,1.056689308,1.026092182
2017/1/5,1.058897773,1.031408545
2017/1/6,1.058162624,1.030160148
2017/1/9,1.057198241,1.029453984
2017/1/10,1.058109171,1.030557115
2017/1/11,1.060779927,1.030582103
2017/1/12,1.060490593,1.032805724
2017/1/13,1.062065926,1.033441716
2017/1/17,1.060875934,1.033494635
2017/1/18,1.059923773,1.032681554
2017/1/19,1.057403267,1.028242973
2017/1/20,1.060118111,1.030074574
2017/1/23,1.060562857,1.03217686
2017/1/24,1.063998949,1.033213987
2017/1/25,1.06869331,1.036150746
2017/1/26,1.067378457,1.03651119
2017/1/27,1.066674024,1.037149785
2017/1/30,1.062654357,1.033964518
2017/1/31,1.064412799,1.034501404
2017/2/1,1.065634657,1.034363712
2017/2/2,1.066309342,1.035244106
2017/2/3,1.070023997,1.037706883
2017/2/6,1.06837494,1.038127235
2017/2/7,1.067779933,1.038263109
2017/2/8,1.069358471,1.040870074
2017/2/9,1.071889157,1.041142255
2017/2/10,1.074161277,1.043052295
2017/2/13,1.07614393,1.045264266
2017/2/14,1.076669482,1.044392108
2017/2/15,1.079017955,1.046552839
2017/2/16,1.079487972,1.049013704
2017/2/17,1.079788248,1.049258462
2017/2/21,1.083161432,1.0513504
2017/2/22,1.082786807,1.051820436
2017/2/23,1.083077836,1.053611298
2017/2/24,1.082557979,1.053798358
2017/2/27,1.083397825,1.052582931
2017/2/28,1.08090362,1.051824334
2017/3/1,1.086902642,1.053785022
2017/3/2,1.082155748,1.050995011
2017/3/3,1.083733359,1.050863528
2017/3/6,1.08112861,1.050336304
2017/3/7,1.077987174,1.048492514
2017/3/8,1.074646894,1.045573347
2017/3/9,1.074329195,1.043644522
2017/3/10,1.077700266,1.046923886
2017/3/13,1.079075327,1.048123156
2017/3/14,1.075732717,1.046584154
2017/3/15,1.08574888,1.052462176
2017/3/16,1.085963154,1.056043625
2017/3/17,1.086631935,1.056488064
2017/3/20,1.08616747,1.057109955
2017/3/21,1.079377235,1.054505724
2017/3/22,1.081089158,1.0541528
2017/3/23,1.081812729,1.054340932
2017/3/24,1.082956544,1.055166581
2017/3/27,1.083855089,1.055458286
2017/3/28,1.087313977,1.058323408
2017/3/29,1.089252844,1.058648354
2017/3/30,1.08946261,1.058637698
2017/3/31,1.089084452,1.056914556
2017/4/3,1.088577964,1.057430677
2017/4/4,1.088366771,1.05768975
2017/4/5,1.085730874,1.05679974
2017/4/6,1.087198747,1.056960032
2017/4/7,1.086386537,1.05576215
2017/4/10,1.087135297,1.056294121
2017/4/11,1.088783915,1.05817347
2017/4/12,1.087270849,1.05716496
2017/4/13,1.083815314,1.05644992
2017/4/17,1.08861889,1.059495961
2017/4/18,1.087363486,1.058683403
2017/4/19,1.085905992,1.057229545
2017/4/20,1.090798868,1.059541646
2017/4/21,1.090357229,1.058769879
2017/4/24,1.099294117,1.066380722
2017/4/25,1.102189238,1.068385876
2017/4/26,1.101619893,1.068977239
2017/4/27,1.102534039,1.068968817
2017/4/28,1.101300566,1.068548488
2017/5/1,1.102822302,1.068663219
2017/5/2,1.104455607,1.07111698
2017/5/3,1.102372392,1.07000821
2017/5/4,1.102872586,1.069431803
2017/5/5,1.107555179,1.072274826
2017/5/8,1.105739888,1.072423368
2017/5/9,1.104937067,1.071063037
2017/5/10,1.107044066,1.072009527
2017/5/11,1.105626715,1.071351999
2017/5/12,1.106639784,1.073811431
2017/5/15,1.110194892,1.076655263
2017/5/16,1.111966174,1.07854154
2017/5/17,1.103515293,1.074747533
2017/5/18,1.105112217,1.072370154
2017/5/19,1.110418072,1.076293863
2017/5/22,1.113449425,1.079455791
2017/5/23,1.113169624,1.079141741
2017/5/24,1.115093143,1.080004166
2017/5/25,1.116464555,1.082804063
2017/5/26,1.116068577,1.082401787
2017/5/30,1.115434753,1.082446963
2017/5/31,1.115999431,1.08304432
2017/6/1,1.121156164,1.085788786
2017/6/2,1.125302792,1.090849481
2017/6/5,1.123225796,1.089621556
2017/6/6,1.122195684,1.088931003
2017/6/7,1.121588318,1.088491735
2017/6/8,1.121983176,1.087542956
2017/6/9,1.120267011,1.086981667
2017/6/12,1.11954796,1.084971166
2017/6/13,1.123870933,1.087843153
2017/6/14,1.122964113,1.090506997
2017/6/15,1.118880736,1.085518439
2017/6/16,1.120459409,1.087510956
2017/6/19,1.123926564,1.091093029
2017/6/20,1.119103267,1.088201755
2017/6/21,1.117961499,1.087372315
2017/6/22,1.119134844,1.088017599
2017/6/23,1.12133866,1.089408698
2017/6/26,1.122330736,1.090945912
2017/6/27,1.118686975,1.086815002
2017/6/28,1.124437581,1.089957212
2017/6/29,1.118633792,1.085908864
2017/6/30,1.11942081,1.084121823
2017/7/3,1.11908035,1.084439334
2017/7/5,1.119476035,1.084541059
2017/7/6,1.114275889,1.080503251
2017/7/7,1.116591183,1.080849841
2017/7/10,1.117357699,1.083091377
2017/7/11,1.118287577,1.083524451
2017/7/12,1.124390212,1.089977763
2017/7/13,1.125438933,1.091285376
2017/7/14,1.129319271,1.095217382
2017/7/17,1.129504911,1.096144825
2017/7/18,1.130560861,1.097699599
2017/7/19,1.134042376,1.100558233
2017/7/20,1.135142352,1.101952868
2017/7/21,1.134404117,1.101745959
2017/7/24,1.134100022,1.100442661
2017/7/25,1.134705223,1.099881111
2017/7/26,1.13682294,1.101501995
2017/7/27,1.134527803,1.101775301
2017/7/28,1.134713783,1.101253732
2017/7/31,1.135120282,1.101645567
2017/8/1,1.137717349,1.105486521
2017/8/2,1.136799769,1.105347849
2017/8/3,1.135860768,1.105425711
2017/8/4,1.136386993,1.104329068
2017/8/7,1.137043144,1.106198271
2017/8/8,1.13433677,1.104377905
2017/8/9,1.132799792,1.103411388
2017/8/10,1.124111094,1.097250181
2017/8/11,1.125132876,1.096104294
2017/8/14,1.130428602,1.100397947
2017/8/15,1.12917505,1.098424647
2017/8/16,1.131971795,1.10126344
2017/8/17,1.124029943,1.097429652
2017/8/18,1.12408155,1.095619942
2017/8/21,1.124766985,1.096764865
2017/8/22,1.129338808,1.10004218
2017/8/23,1.129325593,1.100511977
2017/8/24,1.128663265,1.099790395
2017/8/25,1.131177877,1.101853485
2017/8/28,1.131743783,1.102610564
2017/8/29,1.130972619,1.102420429
2017/8/30,1.132773188,1.10337209
2017/8/31,1.137981582,1.107290844
2017/9/1,1.138930948,1.108179175
2017/9/5,1.135547273,1.107128994
2017/9/6,1.137532734,1.107193241
2017/9/7,1.140150881,1.11029956
2017/9/8,1.1391001,1.110190947
2017/9/11,1.143801535,1.113804851
2017/9/12,1.145748044,1.11479144
2017/9/13,1.144216136,1.113795713
2017/9/14,1.144903258,1.113112572
2017/9/15,1.145773194,1.114387515
2017/9/18,1.146671443,1.115315366
2017/9/19,1.14785659,1.116507762
2017/9/20,1.14743406,1.11662133
2017/9/21,1.145698379,1.114243712
2017/9/22,1.147101139,1.115423779
2017/9/25,1.146223687,1.114249413
2017/9/26,1.145757912,1.112065297
2017/9/27,1.147159045,1.111300428
2017/9/28,1.148456348,1.112459699
2017/9/29,1.150523766,1.115195103
2017/10/2,1.152125513,1.116334286
2017/10/3,1.154083009,1.118825703
2017/10/4,1.154042304,1.119444921
2017/10/5,1.155319955,1.120373227
2017/10/6,1.154313656,1.119320196
2017/10/9,1.154313656,1.118915647
2017/10/10,1.157162055,1.122720533
2017/10/11,1.158568824,1.123842102
2017/10/12,1.158426654,1.124395054
2017/10/13,1.160705776,1.126950709
2017/10/16,1.160401396,1.12716762
2017/10/17,1.159926932,1.126365526
2017/10/18,1.16060556,1.126189947
2017/10/19,1.160326193,1.126752885
2017/10/20,1.161329944,1.126205072
2017/10/23,1.159321264,1.125001527
2017/10/24,1.159871135,1.124493789
2017/10/25,1.156498787,1.121540859
2017/10/26,1.156309089,1.121508158
2017/10/27,1.160625489,1.124807879
2017/10/30,1.160460189,1.12676368
2017/10/31,1.162554361,1.12743547
2017/11/1,1.162969551,1.129192238
2017/11/2,1.163722632,1.130348072
2017/11/3,1.164512007,1.130979918
2017/11/6,1.166316251,1.132310646
2017/11/7,1.164152807,1.132739813
2017/11/8,1.165121625,1.133250402
2017/11/9,1.161334805,1.130435334
2017/11/10,1.159940615,1.127696941
2017/11/13,1.159304923,1.126233212
2017/11/14,1.158115781,1.125397438
2017/11/15,1.155700318,1.123079613
2017/11/16,1.162252032,1.127363904
2017/11/17,1.161724087,1.127582124
2017/11/20,1.162492883,1.127947068
2017/11/21,1.167068312,1.132341552
2017/11/22,1.168601192,1.134677184
2017/11/24,1.171021258,1.1366368
