,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartGlobal Max-Growth,0.009419,0.039650503,0.003344613,11.85503424,-0.000499999
Benchmark-Growth,0.005889021,0.024653402,0.000970233,25.40978493,0
