Date,AQUMON
2015-12-31,1.0
2016-01-04,0.9985072231209998
2016-01-05,1.0025071711209999
2016-01-06,1.0490384341209995
2016-01-07,0.9502708341209998
2016-01-08,0.9894896911209998
2016-01-11,0.9383926091209998
2016-01-12,0.9282306521209999
2016-01-13,0.891387020121
2016-01-14,0.9067265271209999
2016-01-15,0.8484161391209997
2016-01-18,0.8513736111210002
2016-01-19,0.8848009661209999
2016-01-20,0.8796318901210001
2016-01-21,0.849831013121
2016-01-22,0.8689117351209997
2016-01-25,0.884503163121
2016-01-26,0.8186637321209995
2016-01-27,0.8095723301210002
2016-01-28,0.7662686001210001
2016-01-29,0.7917018131209999
2016-02-01,0.7713704078924999
2016-02-02,0.8025072778925
2016-02-03,0.8060820628925
2016-02-04,0.8299612458925002
2016-02-05,0.8167483598925
2016-02-15,0.8145228078925
2016-02-16,0.8519503778924999
2016-02-17,0.8650647168925001
2016-02-18,0.8658398238924999
2016-02-19,0.8744519658925
2016-02-22,0.8953706858925004
2016-02-23,0.8859316488925001
2016-02-24,0.8933441148925001
2016-02-25,0.8106021998924996
2016-02-26,0.8108472228924999
2016-02-29,0.7552082128925001
2016-03-01,0.7734451945015001
2016-03-02,0.8208861875015001
2016-03-03,0.8273740805014996
2016-03-04,0.7992182655015
2016-03-07,0.8228917735014999
2016-03-08,0.8307203395014999
2016-03-09,0.7974430905015001
2016-03-10,0.7809138335015
2016-03-11,0.7813310035014999
2016-03-14,0.8145734855015001
2016-03-15,0.8109114795015
2016-03-16,0.8023897905015002
2016-03-17,0.8292634225015003
2016-03-18,0.8643468615015001
2016-03-21,0.8911487775015002
2016-03-22,0.8810230925015003
2016-03-23,0.8934019375015002
2016-03-24,0.8718659495015003
2016-03-25,0.8845025375015003
2016-03-28,0.8722817155015001
2016-03-29,0.8488164375015004
2016-03-30,0.8819211845015003
2016-03-31,0.8849232745015002
2016-04-01,0.8836759693100005
2016-04-05,0.9080812283100006
2016-04-06,0.9206213943100006
2016-04-07,0.8959642813100004
2016-04-08,0.8906606403100004
2016-04-11,0.9137459353100005
2016-04-12,0.9116980003100005
2016-04-13,0.9258877213100005
2016-04-14,0.9378628553100006
2016-04-15,0.9345372563100005
2016-04-18,0.9242558653100006
2016-04-19,0.9228378323100006
2016-04-20,0.8800695643100006
2016-04-21,0.8753120073100008
2016-04-22,0.8733003283100005
2016-04-25,0.8716163783100006
2016-04-26,0.8826657693100006
2016-04-27,0.880309139310001
2016-04-28,0.8711731493100007
2016-04-29,0.8671496403100006
2016-05-03,0.8927593402115007
2016-05-04,0.8899509162115007
2016-05-05,0.9004393882115005
2016-05-06,0.8647519362115006
2016-05-09,0.827496824211501
2016-05-10,0.8291912032115007
2016-05-11,0.8331357612115008
2016-05-12,0.8325030592115006
2016-05-13,0.8270362482115007
2016-05-16,0.8409404842115008
2016-05-17,0.8391829442115009
2016-05-18,0.8177092892115005
2016-05-19,0.8242427392115006
2016-05-20,0.8354335982115002
2016-05-23,0.8449606932115008
2016-05-24,0.8351886752115006
2016-05-25,0.8375169302115003
2016-05-26,0.8402998812115003
2016-05-27,0.8374266042115005
2016-05-30,0.8305410032115007
2016-05-31,0.8658567852115008
2016-06-01,0.8654115301650007
2016-06-02,0.8726413651650005
2016-06-03,0.8772692221650007
2016-06-06,0.8756295861650008
2016-06-07,0.8749465411650005
2016-06-08,0.8773575661650006
2016-06-13,0.8236379911650007
2016-06-14,0.8248635801650007
2016-06-15,0.8509240081650008
2016-06-16,0.8442201211650006
2016-06-17,0.8599709011650005
2016-06-20,0.8700013171650008
2016-06-21,0.8631852071650006
2016-06-22,0.8831395031650005
2016-06-23,0.8815995021650009
2016-06-24,0.8736414881650006
2016-06-27,0.9024231711650009
2016-06-28,0.9105795501650008
2016-06-29,0.9072235621650009
2016-06-30,0.9068876441650008
2016-07-01,0.9036949062535008
2016-07-04,0.918947675253501
2016-07-05,0.9265152242535007
2016-07-06,0.9340648822535009
2016-07-07,0.9350666082535011
2016-07-08,0.9308322922535012
2016-07-11,0.9318193482535012
2016-07-12,0.9528945402535011
2016-07-13,0.9572908792535012
2016-07-14,0.9574360422535014
2016-07-15,0.9526675582535012
2016-07-18,0.9546114202535012
2016-07-19,0.9581351562535011
2016-07-20,0.9566868832535015
2016-07-21,0.9606938422535012
2016-07-22,0.955819997253501
2016-07-25,0.9662415972535009
2016-07-26,0.981730223253501
2016-07-27,0.9447349892535009
2016-07-28,0.9497832462535012
2016-07-29,0.9383696792535011
2016-08-01,0.916416658018501
2016-08-02,0.9224581760185013
2016-08-03,0.9251985120185011
2016-08-04,0.9261352960185009
2016-08-05,0.918647301018501
2016-08-08,0.9302665220185009
2016-08-09,0.9384301140185011
2016-08-10,0.9395311190185008
2016-08-11,0.9251896760185012
2016-08-12,0.9313929940185008
2016-08-15,0.9509538810185008
2016-08-16,0.9571266270185008
2016-08-17,0.9580052450185008
2016-08-18,0.9526488020185009
2016-08-19,0.9534208970185006
2016-08-22,0.9433953350185003
2016-08-23,0.9437138570185007
2016-08-24,0.9455122710185007
2016-08-25,0.9422033480185005
2016-08-26,0.9460895550185006
2016-08-29,0.9528833300185003
2016-08-30,0.9517983890185008
2016-08-31,0.9501894560185008
2016-09-01,0.9404851313730007
2016-09-02,0.938580392373001
2016-09-05,0.9431213593730012
2016-09-06,0.9567556703730008
2016-09-07,0.9582619723730009
2016-09-08,0.9663902523730011
2016-09-09,0.9648399423730012
2016-09-12,0.9443566063730008
2016-09-13,0.9564509033730011
2016-09-14,0.9444642323730008
2016-09-19,0.9552561213730008
