,f1,f2
2005-09-30,-1.2542258997179396,3.211372345487227
2005-10-31,-0.6859798303772331,3.6018431832251805
2005-11-30,-0.47502471801538987,3.288516387345858
2005-12-31,-0.811639182809653,0.9911245993600808
2006-01-31,-2.6522987188423652,0.5035187136737974
2006-02-28,0.49102473515340644,3.9843721703037644
2006-03-31,-0.7920382572559432,1.8067356050649326
2006-04-30,-1.0575431080682536,2.1385210009884568
2006-05-31,-0.4283197779287426,1.646046142313567
2006-06-30,-0.14818948799942708,1.416777420918826
2006-07-31,-1.4882345814292464,0.5209473583467359
2006-08-31,-0.14523629703726312,1.7489913245090287
2006-09-30,0.854678559210219,0.9148651806595227
2006-10-31,0.699813046221744,0.14856852134358545
2006-11-30,-0.5831098372233405,-1.7135766401253916
2006-12-31,-0.8191017218919546,-1.3071177611958074
2007-01-31,0.38774710698100195,-1.3819962559886516
2007-02-28,-0.013139678663486217,-0.16375938197146736
2007-03-31,-0.2643013003748686,-0.9179419758926307
2007-04-30,0.004415218842814858,0.9280824435576225
2007-05-31,-1.4524592192564332,1.074023977560767
2007-06-30,0.5795494631567102,2.2448115257887213
2007-07-31,-0.11675406899026522,0.4577313206332979
2007-08-31,-0.008314767039628418,0.24732475817917682
2007-09-30,-0.1860354160364402,-0.497012757857051
2007-10-31,0.17398437702154496,-0.23993437169055404
2007-11-30,-1.456392490467654,-1.6486374689860492
2007-12-31,1.1715811664333797,-1.8674077103142168
2008-01-31,0.3902520935057083,-2.4444880287689434
2008-02-29,1.4335048828614836,-2.328981918521025
2008-03-31,0.7404859282579347,-3.0825214437993598
2008-04-30,0.8499512391519469,-2.627119309601695
2008-05-31,-0.47121603945973056,-3.720046858067825
2008-06-30,0.1267023681839928,-2.62747113944107
2008-07-31,0.5977475074090807,-1.7214757708879387
2008-08-31,1.2757852823747056,-1.5644111140187718
2008-09-30,2.966735639538734,-5.176632653503838
2008-10-31,5.474667108548394,-6.877268542117126
2008-11-30,5.107221527477432,-9.644829382627801
2008-12-31,6.509595084304485,-10.38242364387413
2009-01-31,1.9976213174821664,-13.049787278380336
2009-02-28,2.5525711761276817,-11.605116549521842
2009-03-31,3.7753454986729933,-9.192991443129982
2009-04-30,2.8267527063171536,-8.217645390911452
2009-05-31,1.3293195799166801,-7.2074227325358695
2009-06-30,0.9667107395518443,-5.823443426387274
2009-07-31,1.2154245774212058,-2.46013470382497
2009-08-31,-2.0398460762724384,-2.8655979478664912
2009-09-30,1.4578404393874065,0.4846977857515117
2009-10-31,-1.0754497720714002,-0.29236304801563023
2009-11-30,-1.3135698465940309,0.01731987642280186
2009-12-31,0.09150395090830121,2.094470794254898
2010-01-31,-0.9787162971307065,2.8477425551072804
2010-02-28,-0.6827846326805682,2.2704101547888955
2010-03-31,-2.029093000780328,3.644166339517011
2010-04-30,-0.905446569341467,4.319483355121611
2010-05-31,0.52873293702151,4.760562771526142
2010-06-30,0.5594926627863804,2.2788790905795993
2010-07-31,-0.32540156947467214,0.7539919715130788
2010-08-31,-0.5117059570348722,1.0244297676733336
2010-09-30,-0.3582804490576709,0.9208419969526426
2010-10-31,-1.2320623187767334,1.896727419246844
2010-11-30,-1.2936297725231078,2.715007310327819
2010-12-31,-1.3954487042703263,3.3787627983391877
2011-01-31,-1.2145419729512232,5.698888853110562
2011-02-28,-2.2078376982526344,5.6229545097637885
2011-03-31,-1.6827418469775683,5.242208706523208
2011-04-30,-1.18594300569411,3.457280213440814
2011-05-31,0.2655733834713214,1.2855940254199072
2011-06-30,0.2256603785730217,1.4056960359228834
2011-07-31,-0.24164794973475012,-1.2827570165521451
2011-08-31,0.4485447816326735,-0.6898933236900248
2011-09-30,-0.7575721770540134,-0.6326545053485529
2011-10-31,-0.09213820199882765,0.15218178845371969
2011-11-30,-0.12195396064261148,1.4723808758308543
2011-12-31,0.11401174390054816,2.0488736527825773
2012-01-31,-0.6159436656582602,2.2345969635068244
2012-02-29,-1.3402183558610121,0.9397766481326215
2012-03-31,-0.7807563530051799,1.069816815003933
2012-04-30,-0.09543458725140123,1.2602258239898831
