symbol,weight,currency
3101,0.1695,HKD
3081,0.038,HKD
3115,0.0763,HKD
3010,0.0827,HKD
3169,0.099,HKD
3147,0.0675,HKD
2813,0.0561,HKD
3141,0.1059,HKD
3140,0.305,HKD
