factor
PB
PE
PS
NPMARGIN
ROA
EPSTTM
BPSADJUST
CFOPS
GPMARGIN
EBITDATOGR
INVTURNRATIO
CATURNRATIO
FATURNRATIO
ASSETTURNRATIO
OPTOEBT
