,Amount,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,Date,High,LastClose,Low,Name,NewPrice,Open,Open_Int,Price2,Price3,PriceChangeRatio,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,Symbol,Vol2,Volume
28,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279457,4980.17,5019.07,4971.87,葡萄牙PSI20指数,4978.41,4973.81,0.0,0.0,0.0,-0.810104,0,0,0,0,0,0,0,0,0,0,IXIXPSI20,0,0
29,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279459,1111.54,1116.56,1107.35,俄罗斯RTS指数,1111.4,1110.93,0.0,1109.4918,1126.97,-0.462137,0,0,0,0,0,0,0,0,0,0,IXIXRTS,0,1455
30,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279457,1523.27,1526.05,1508.23,瑞典斯德哥尔摩30,1511.17,1523.27,0.0,0.0,0.0,-0.975067,0,0,0,0,0,0,0,0,0,0,IXIXS30,0,0
31,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279408,34068.77,34134.38,33857.2,印度孟买SENSEX30,34000.2,33935.88,0.0,33968.766,34134.38,-0.393092,0,0,0,0,0,0,0,0,0,0,IXIXSENSEX,0,6637
32,0.0,0.0,0,0,0,0,0,0,0,0,0,1540202050,1674.25,1667.91,1654.9,泰国SET指数,1658.56,1669.82,0.0,0.0,0.0,-0.56058,0,0,0,0,0,0,0,0,0,0,IXIXSET,0,0
33,55621788000.0,0.0,0,0,0,0,0,0,0,0,0,1540278017,2544.3,2540.15,2451.67,上证50,2464.81,2539.65,0.0,0.0,0.0,-2.965961,0,0,0,0,0,0,0,0,0,0,IXIXSH000016,2412288,3541862400
34,142589190000000.0,0.0,0,0,0,0,0,0,0,0,0,1540278017,3276.02,3270.27,3163.57,沪深300,3183.43,3273.13,0.0,0.0,0.0,-2.655441,0,0,0,0,0,0,0,0,0,0,IXIXSH000300,8860672,12101322800
35,54448399000000.0,0.0,0,0,0,0,0,0,0,0,0,1540278017,4350.73,4333.14,4228.33,中证500,4253.56,4336.45,0.0,0.0,0.0,-1.836545,0,0,0,0,0,0,0,0,0,0,IXIXSH000905,3763712,7466806300
36,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279459,8762.65,8865.56,8736.51,瑞士SMI指数,8762.55,8760.15,0.0,0.0,0.0,-1.161909,0,0,0,0,0,0,0,0,0,0,IXIXSMI,0,0
37,0.0,0.0,0,0,0,0,0,0,0,0,0,1540249089,2803.83,2688.88,2688.88,标普香港上市中国,2784.06,2688.88,0.0,0.0,0.0,3.53977,0,0,0,0,0,0,0,0,0,0,IXIXSPHCMSHP,0,0
38,0.0,0.0,0,0,0,0,0,0,0,0,0,1540255241,2778.94,2767.78,2749.22,标普500指数,2755.88,2773.94,0.0,2760.1917,2767.78,-0.429953,0,0,0,0,0,0,0,0,0,0,IXIXSPX,0,23559
39,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279457,3179.07,3190.09,3146.23,欧洲斯托克50指数,3154.38,3179.07,0.0,0.0,0.0,-1.119411,0,0,0,0,0,0,0,0,0,0,IXIXSX5E,0,0
40,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279457,358.44,359.74,355.21,欧洲斯托克600指?,355.93,358.44,0.0,0.0,0.0,-1.059098,0,0,0,0,0,0,0,0,0,0,IXIXSXXP,0,0
41,190659527000.0,0.0,0,0,0,0,0,0,0,0,0,1540278007,1329.77,1325.73,1292.16,深证综指,1300.29,1325.48,0.0,0.0,0.0,-1.918938,0,0,0,0,0,0,0,0,0,0,IXIXSZ399106,245071872,22126719000
42,190659527000.0,0.0,0,0,0,0,10491437,0,0,0,0,1540278077,7769.52,7748.82,7523.07,深证成指,7574.99,7752.18,8465.582,0.0,0.0,-2.243304,0,0,0,0,0,8098287,0,0,0,0,IXIXSZCZ,245071872,22126719000
43,166919406000.0,0.0,0,0,0,0,11037998,0,0,0,0,1540278017,2659.81,2654.88,2583.26,上证指数,2594.83,2652.65,2725.2505,0.0,0.0,-2.261865,0,0,0,0,0,7999494,0,0,0,0,IXIXSZZS,19118080,17834352600
44,0.0,0.0,0,0,0,0,0,0,0,0,0,1540234038,416.69,416.27,415.23,CCI商品指数,415.71,416.28,0.0,0.0,0.0,-0.134527,0,0,0,0,0,0,0,0,0,0,IXIXTRCCI,0,0
45,0.0,0.0,0,0,0,0,0,0,0,0,0,1540255241,197.3908,197.1761,196.5113,CRB商品指数,197.2502,197.0858,0.0,197.07336,197.1761,0.037579,0,0,0,0,0,0,0,0,0,0,IXIXTRJCRB,0,1690
46,0.0,0.0,0,0,0,0,0,0,0,0,0,1540242411,15492.88,15470.1,15364.08,S&PTSX综合指数,15412.7,15488.14,0.0,0.0,0.0,-0.371035,0,0,0,0,0,0,0,0,0,0,IXIXTSX,1166112,278747776
47,0.0,0.0,0,0,0,0,0,0,0,0,0,1540274051,9896.2,9974.28,9775.2,台湾加权指数,9775.2,9885.11,0.0,9833.411,9974.28,-1.995934,0,0,0,0,0,0,0,0,0,0,IXIXTWII,115121,1711293
48,0.0,0.0,0,0,0,0,0,0,0,0,0,1540279413,96.16,96.0,95.95,美元指数,96.05,96.03,0.0,0.0,0.0,0.052087,0,0,0,0,0,0,0,0,0,0,IXIXUDI,0,0
49,0.0,0.0,0,0,0,0,0,0,0,0,0,1540249089,492.07,492.07,487.68,富时澳大利亚指数,489.33,492.07,0.0,0.0,0.0,-0.556836,0,0,0,0,0,0,0,0,0,0,IXIXWIAUS,0,0
