datetime,CN_BFT_Value
2015-12-31,0.0
2016-01-01,-0.0030000000000000027
2016-01-02,-0.0030000000000000027
2016-01-03,-0.0030000000000000027
2016-01-04,-0.06666743891420879
2016-01-05,-0.05931218599541532
2016-01-06,-0.04678147117050657
2016-01-07,-0.11018146153118302
2016-01-08,-0.08721611394726525
2016-01-09,-0.08721611394726525
2016-01-10,-0.08721611394726525
2016-01-11,-0.1333751739363206
2016-01-12,-0.13412862501174094
2016-01-13,-0.14435359895925226
2016-01-14,-0.12225224022721615
2016-01-15,-0.15231205772226386
2016-01-16,-0.15231205772226386
2016-01-17,-0.15231205772226386
2016-01-18,-0.14902688854216073
2016-01-19,-0.1179524391231277
2016-01-20,-0.14020742704598965
2016-01-21,-0.16099207698165208
2016-01-22,-0.152026216220707
2016-01-23,-0.152026216220707
2016-01-24,-0.152026216220707
2016-01-25,-0.14571671990056667
2016-01-26,-0.19061727856555455
2016-01-27,-0.18474920188544564
2016-01-28,-0.20373248367116825
2016-01-29,-0.17603150466197692
2016-01-30,-0.17603150466197692
2016-01-31,-0.17603150466197692
2016-02-01,-0.1791286738221135
2016-02-02,-0.15930133230341337
2016-02-03,-0.1582392800392871
2016-02-04,-0.1507512704545556
2016-02-05,-0.15831972577101583
2016-02-06,-0.15831972577101583
2016-02-07,-0.15831972577101583
2016-02-08,-0.15831972577101583
2016-02-09,-0.15831972577101583
2016-02-10,-0.15831972577101583
2016-02-11,-0.15831972577101583
2016-02-12,-0.15831972577101583
2016-02-13,-0.15831972577101583
2016-02-14,-0.15831972577101583
2016-02-15,-0.16241475807388372
2016-02-16,-0.1421413215280426
2016-02-17,-0.13874920871725827
2016-02-18,-0.14095735832717238
2016-02-19,-0.14318349849077727
2016-02-20,-0.14318349849077727
2016-02-21,-0.14318349849077727
2016-02-22,-0.12102274320633266
2016-02-23,-0.12291394031301794
2016-02-24,-0.11324341583148567
2016-02-25,-0.16357249242369143
2016-02-26,-0.15251148780949408
2016-02-27,-0.15251148780949408
2016-02-28,-0.15251148780949408
2016-02-29,-0.16692344003636095
2016-03-01,-0.15095324821819833
2016-03-02,-0.11290489970508921
2016-03-03,-0.11416788800444921
2016-03-04,-0.10210438663406018
2016-03-05,-0.10210438663406018
2016-03-06,-0.10210438663406018
2016-03-07,-0.10143585418843004
2016-03-08,-0.10576789887010174
2016-03-09,-0.11415952244233718
2016-03-10,-0.12534139639489106
2016-03-11,-0.12455418109331251
2016-03-12,-0.12455418109331251
2016-03-13,-0.12455418109331251
2016-03-14,-0.11026896577768142
2016-03-15,-0.09300174594536992
2016-03-16,-0.09620420016711284
2016-03-17,-0.08759231439654092
2016-03-18,-0.08311813528133283
2016-03-19,-0.08311813528133283
2016-03-20,-0.08311813528133283
2016-03-21,-0.06960513900659293
2016-03-22,-0.0738704661910895
2016-03-23,-0.07449019909284182
2016-03-24,-0.08002497483379711
2016-03-25,-0.07554552007920112
2016-03-26,-0.07554552007920112
2016-03-27,-0.07554552007920112
2016-03-28,-0.07751932935574057
2016-03-29,-0.08469283643416436
2016-03-30,-0.06526291207403712
2016-03-31,-0.0691112557449487
2016-04-01,-0.062288539684503874
2016-04-02,-0.062288539684503874
2016-04-03,-0.062288539684503874
2016-04-04,-0.062288539684503874
2016-04-05,-0.05059942018290986
2016-04-06,-0.05079747613902352
2016-04-07,-0.06406190245110965
2016-04-08,-0.07317869339043548
2016-04-09,-0.07317869339043548
2016-04-10,-0.07317869339043548
2016-04-11,-0.0611751889791472
2016-04-12,-0.06270261580568626
2016-04-13,-0.055202640806648606
2016-04-14,-0.05003810977222378
2016-04-15,-0.05211651724468436
2016-04-16,-0.05211651724468436
2016-04-17,-0.05211651724468436
2016-04-18,-0.0605205677063978
2016-04-19,-0.062480360400357204
2016-04-20,-0.08902541947956066
2016-04-21,-0.09207523797154693
2016-04-22,-0.07705749919415972
2016-04-23,-0.07705749919415972
2016-04-24,-0.07705749919415972
2016-04-25,-0.08220298869626907
2016-04-26,-0.07993839865070074
2016-04-27,-0.07913680975196369
2016-04-28,-0.07724825470444707
2016-04-29,-0.07237261253845018
2016-04-30,-0.07237261253845018
2016-05-01,-0.07237261253845018
2016-05-02,-0.07237261253845018
2016-05-03,-0.05088726321849213
2016-05-04,-0.05646514943255321
2016-05-05,-0.05429929969320302
2016-05-06,-0.08356968421705968
2016-05-07,-0.08356968421705968
2016-05-08,-0.08356968421705968
2016-05-09,-0.10283738081201499
2016-05-10,-0.09421417387340802
2016-05-11,-0.08552960780014707
2016-05-12,-0.08545562492374204
2016-05-13,-0.09039169456468643
2016-05-14,-0.09039169456468643
2016-05-15,-0.09039169456468643
2016-05-16,-0.0854304860691869
2016-05-17,-0.0898798745708389
2016-05-18,-0.1061018704480281
