datetime,CN_BFT_Value
2015-12-31,0.0
2016-01-01,-0.0030000000000000027
2016-01-02,-0.0030000000000000027
2016-01-03,-0.0030000000000000027
2016-01-04,-0.06416079459328483
2016-01-05,-0.05576273327729753
2016-01-06,-0.04678641836629516
2016-01-07,-0.10804011404608083
2016-01-08,-0.08960763555507234
2016-01-09,-0.08960763555507234
2016-01-10,-0.08960763555507234
2016-01-11,-0.13217149355744684
2016-01-12,-0.13177494950897672
2016-01-13,-0.14056063699603039
2016-01-14,-0.11637706967649186
2016-01-15,-0.14470787746230807
2016-01-16,-0.14470787746230807
2016-01-17,-0.14470787746230807
2016-01-18,-0.14089771140437646
2016-01-19,-0.11028514194587724
2016-01-20,-0.13682650002868002
2016-01-21,-0.15905420662442882
2016-01-22,-0.15038892673011683
2016-01-23,-0.15038892673011683
2016-01-24,-0.15038892673011683
2016-01-25,-0.14300545895208838
2016-01-26,-0.18557801116617845
2016-01-27,-0.17871369949640914
2016-01-28,-0.1988073147623982
2016-01-29,-0.17014568117806372
2016-01-30,-0.17014568117806372
2016-01-31,-0.17014568117806372
2016-02-01,-0.17152568085147135
2016-02-02,-0.15354003639116987
2016-02-03,-0.1539652749266146
2016-02-04,-0.14689307051985734
2016-02-05,-0.155100631043671
2016-02-06,-0.155100631043671
2016-02-07,-0.155100631043671
2016-02-08,-0.155100631043671
2016-02-09,-0.155100631043671
2016-02-10,-0.155100631043671
2016-02-11,-0.155100631043671
2016-02-12,-0.155100631043671
2016-02-13,-0.155100631043671
2016-02-14,-0.155100631043671
2016-02-15,-0.15773314106936875
2016-02-16,-0.13818981731971347
2016-02-17,-0.13955578791057788
2016-02-18,-0.1435234331905494
2016-02-19,-0.14355521375012537
2016-02-20,-0.14355521375012537
2016-02-21,-0.14355521375012537
2016-02-22,-0.11896113855325674
2016-02-23,-0.11992967877936489
2016-02-24,-0.10388970599870939
2016-02-25,-0.14758475421910267
2016-02-26,-0.1299816496976407
2016-02-27,-0.1299816496976407
2016-02-28,-0.1299816496976407
2016-02-29,-0.14733079990896247
2016-03-01,-0.13007300228844842
2016-03-02,-0.09872176943961708
2016-03-03,-0.09881594377276748
2016-03-04,-0.08142375096175702
2016-03-05,-0.08142375096175702
2016-03-06,-0.08142375096175702
2016-03-07,-0.08334269695264218
2016-03-08,-0.08975915437125648
2016-03-09,-0.09792407609191056
2016-03-10,-0.10668501059412894
2016-03-11,-0.10702168162530545
2016-03-12,-0.10702168162530545
2016-03-13,-0.10702168162530545
2016-03-14,-0.0969000166813172
2016-03-15,-0.08418001600079161
2016-03-16,-0.09053554509046224
2016-03-17,-0.07781826201761566
2016-03-18,-0.0743533676854341
2016-03-19,-0.0743533676854341
2016-03-20,-0.0743533676854341
2016-03-21,-0.05608158424207099
2016-03-22,-0.06181618205942019
2016-03-23,-0.0597791013406872
2016-03-24,-0.06062316270009449
2016-03-25,-0.05739059404145108
2016-03-26,-0.05739059404145108
2016-03-27,-0.05739059404145108
2016-03-28,-0.05199650317294324
2016-03-29,-0.06050568735091855
2016-03-30,-0.043930229888263006
2016-03-31,-0.04833145551011009
2016-04-01,-0.04860402819977028
2016-04-02,-0.04860402819977028
2016-04-03,-0.04860402819977028
2016-04-04,-0.04860402819977028
2016-04-05,-0.035963803522515936
2016-04-06,-0.041718278172387824
2016-04-07,-0.05115844373580791
2016-04-08,-0.05597225734250266
2016-04-09,-0.05597225734250266
2016-04-10,-0.05597225734250266
2016-04-11,-0.041567451675657674
2016-04-12,-0.04632800478090926
2016-04-13,-0.036046566737917174
2016-04-14,-0.0329914696522805
2016-04-15,-0.03308003857160646
2016-04-16,-0.03308003857160646
2016-04-17,-0.03308003857160646
2016-04-18,-0.038729901364301766
2016-04-19,-0.03808377025698417
2016-04-20,-0.057082992244348874
2016-04-21,-0.05985411329156409
2016-04-22,-0.043174926237873446
2016-04-23,-0.043174926237873446
2016-04-24,-0.043174926237873446
2016-04-25,-0.04700139607744913
2016-04-26,-0.04648932820365448
2016-04-27,-0.04747399915677519
2016-04-28,-0.051357047516862986
2016-04-29,-0.051127670414070736
2016-04-30,-0.051127670414070736
2016-05-01,-0.051127670414070736
2016-05-02,-0.051127670414070736
2016-05-03,-0.026415653283027307
2016-05-04,-0.02829156752507278
2016-05-05,-0.024644033140248656
2016-05-06,-0.04958882964662936
2016-05-07,-0.04958882964662936
2016-05-08,-0.04958882964662936
2016-05-09,-0.06341011133432284
2016-05-10,-0.057409694434733205
2016-05-11,-0.04221604244165311
2016-05-12,-0.03438739407530078
2016-05-13,-0.03613311779333095
2016-05-14,-0.03613311779333095
2016-05-15,-0.03613311779333095
2016-05-16,-0.023462968378544002
2016-05-17,-0.029128904002056477
2016-05-18,-0.04292115636722138
2016-05-19,-0.049750383700174705
