date,ex_return
2014-12-31,0.0
2015-01-01,-0.003000000000000003
2015-01-02,-0.004963919420739704
2015-01-03,-0.004963919420739704
2015-01-04,-0.004963919420739704
2015-01-05,-0.05065944087273988
2015-01-06,-0.05418741164746421
2015-01-07,-0.03916473033313861
2015-01-08,-0.00121980408292921
2015-01-09,-0.008465552546380373
2015-01-10,-0.008465552546380373
2015-01-11,-0.008465552546380373
2015-01-12,-0.00015702924538718577
2015-01-13,-0.0069495558545523695
2015-01-14,-0.017499412609603193
2015-01-15,-0.0518830730889277
2015-01-16,-0.051181487482868215
2015-01-17,-0.051181487482868215
2015-01-18,-0.051181487482868215
2015-01-19,0.02805291380416608
2015-01-20,0.01313171345613839
2015-01-21,-0.023753742933869785
2015-01-22,-0.020045035967124147
2015-01-23,-0.023058214777475605
2015-01-24,-0.023058214777475605
2015-01-25,-0.023058214777475605
2015-01-26,-0.02414455539645799
2015-01-27,-0.017701258666558584
2015-01-28,-0.014919860481638403
2015-01-29,0.0024795271957507303
2015-01-30,0.009713506301303076
2015-01-31,0.009713506301303076
2015-02-01,0.009713506301303076
2015-02-02,0.040820721690254635
2015-02-03,0.03434801064852555
2015-02-04,0.05706266766153145
2015-02-05,0.08026472484126412
2015-02-06,0.09317956972598496
2015-02-07,0.09317956972598496
2015-02-08,0.09317956972598496
2015-02-09,0.07958051425445944
2015-02-10,0.07993381490241258
2015-02-11,0.07097627343036228
2015-02-12,0.05929187885930287
2015-02-13,0.057588171670432176
2015-02-14,0.057588171670432176
2015-02-15,0.057588171670432176
2015-02-16,0.0491961298899215
2015-02-17,0.03943317235684219
2015-02-18,0.04067509696105631
2015-02-19,0.03964310440022745
2015-02-20,0.04364681164720974
2015-02-21,0.04364681164720974
2015-02-22,0.04364681164720974
2015-02-23,0.04352984553682537
2015-02-24,0.04548130506811843
2015-02-25,0.05415281886401547
2015-02-26,0.024746165549006216
2015-02-27,0.01594832233482046
2015-02-28,0.01594832233482046
2015-03-01,0.01594832233482046
2015-03-02,0.010059673773537448
2015-03-03,0.03476779776715788
2015-03-04,0.026841019581680056
2015-03-05,0.0529320205242968
2015-03-06,0.044200204333223914
2015-03-07,0.044200204333223914
2015-03-08,0.044200204333223914
2015-03-09,0.03858481658974334
2015-03-10,0.033409311511223616
