date,open,high,close,low
2019-11-25 05:38:00+00:00,108.79,108.8,108.79,108.79
2019-11-25 05:39:00+00:00,108.79,108.8,108.79,108.79
2019-11-25 05:40:00+00:00,108.79,108.8,108.79,108.79
2019-11-25 05:41:00+00:00,108.79,108.83,108.82,108.79
2019-11-25 05:42:00+00:00,108.82,108.83,108.82,108.81
2019-11-25 05:43:00+00:00,108.82,108.82,108.8,108.8
2019-11-25 05:44:00+00:00,108.8,108.82,108.82,108.8
2019-11-25 05:45:00+00:00,108.82,108.82,108.82,108.81
2019-11-25 05:46:00+00:00,108.82,108.82,108.81,108.81
2019-11-25 05:47:00+00:00,108.81,108.83,108.83,108.81
2019-11-25 05:48:00+00:00,108.83,108.84,108.84,108.83
2019-11-25 05:49:00+00:00,108.84,108.85,108.83,108.83
2019-11-25 05:50:00+00:00,108.83,108.85,108.84,108.83
2019-11-25 05:51:00+00:00,108.84,108.84,108.83,108.82
2019-11-25 05:52:00+00:00,108.83,108.83,108.83,108.83
2019-11-25 05:53:00+00:00,108.83,108.83,108.82,108.82
