field
aum_factor_1M
aum_factor_3M
aum_factor_6M
aum_factor_9M
aum_factor_12M
aum_factor_18M
aum_factor_24M
aum_factor_30M
aum_factor_36M
aum_factor_48M
volatility_factor_1M
volatility_factor_3M
volatility_factor_6M
volatility_factor_9M
volatility_factor_12M
volatility_factor_18M
volatility_factor_24M
volatility_factor_30M
volatility_factor_36M
volatility_factor_48M
return_factor_1M
return_factor_3M
return_factor_6M
return_factor_9M
return_factor_12M
return_factor_18M
return_factor_24M
return_factor_30M
return_factor_36M
return_factor_48M
style_drift_1sa
style_drift_2sa
style_drift_4sa
style_drift_6sa
style_drift_8sa
next_period_return
average_tenure
expense_ratio
turnover
