,ADP CHNG Index,AHE MOM% Index,CHPMINDX Index,CONCCONF Index,CONSCURR Index,CONSPXMD Index,CONSSENT Index,CPI CHNG Index,CPI XYOY Index,CPI YOY Index,CPUPXCHG Index,DGNOCHNG Index,DGNOXTCH Index,EMPRGBCI Index,FDIDSGMO Index,FRNTTOTL Index,IP  CHNG Index,JOLTTOTL Index,LMCILMCC Index,MPMIUSCA Index,MPMIUSMA Index,MPMIUSSA Index,NAPMNMI  Index,NAPMPMI Index,NAPMPRIC Index,NFP PCH Index,NFP TCH Index,NHCHSTCH Index,NHSLCHNG Index,NHSLTOT Index,NHSPATOT Index,NHSPSTOT Index,NYPMCURR Index,OUTFGAF Index,PCE CMOM Index,PCE CRCH Index,PCE CYOY Index,PITLCHNG Index,PRUSTOT Index,RCHSINDX Index,RSTAMOM Index,RSTAXAGM Index,RSTAXMOM Index,SAARTOTL Index,SBOITOTL Index,USHBMIDX Index,USPHTYOY Index,USTBTOT Index,USTGTTCB Index,USURTOT Index
2012-04-26,rfg,r,r,,,,r,,,f,,,,r,,r,r,rfg,,,,,r,r,r,f,r,rf,,,g,,,r,,r,,,,r,r,,r,rg,r,r,,fg,,fg
2012-07-26,rfg,r,r,,,,r,,,f,,,,r,,r,r,fg,,,,,r,r,r,f,r,rf,,,g,,rfg,r,,r,,,,r,r,rf,r,rg,r,r,,fg,,fg
2012-10-25,rfg,r,r,,,,r,,,f,,,,r,,r,r,,,,,,r,r,r,f,r,rf,,,g,,rfg,r,,r,,,,r,r,rf,r,rg,r,r,,fg,,fg
2013-01-29,rfg,r,r,,,,r,,,f,,,,r,,r,r,,,,,,r,r,r,,r,r,,,rg,,r,r,,r,,,,r,r,rf,r,rg,,r,,,,fg
2013-04-25,rfg,r,r,,,,r,,,f,,,,r,,,r,,,,,,r,r,r,,r,r,,,rg,,r,r,,r,,,,r,r,,r,rg,,r,,fg,,fg
2013-07-30,rfg,r,r,,,,r,,,f,,,,r,,,r,,,,,,r,r,r,,r,,,,rg,,r,r,,r,,,,r,r,,r,rg,,r,,fg,,fg
2013-11-06,rg,r,r,,,,r,,,f,,,,r,,,r,,,,,,r,r,r,,r,,,,g,,rfg,r,,r,,,,r,r,,r,rg,,r,,fg,,fg
2014-01-29,rfg,r,r,,,,r,,,f,,,,r,,,r,,,,,,r,r,r,,r,,,,g,,rg,r,,r,,,rfg,r,r,,r,rg,,r,,f,,fg
2014-04-29,rfg,r,r,,,,r,,,f,,,,r,,,r,,,,,,r,r,r,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,r,,r,,f,,fg
2014-07-29,rfg,r,r,,,,r,,,f,,,,r,rfg,,r,fg,,,,,r,r,,,r,f,,,,,rfg,r,,r,,,rfg,r,r,,r,r,,r,,fg,,fg
2014-10-29,rg,r,r,,,,r,,,f,,,,r,fg,,r,fg,,,,,r,r,,,r,,r,,,,rfg,r,,r,,,rfg,r,r,,r,r,,r,,f,,fg
2015-01-29,rfg,r,r,,,,r,,,f,,,,r,f,,r,fg,,,,,r,r,,,r,,r,,,,rfg,r,,r,,,rfg,r,r,,r,r,,r,,f,,fg
2015-04-28,rfg,r,r,,,,r,,,f,,,,r,rf,,r,g,rfg,,,,r,r,,,r,,r,,,,rfg,r,,r,,,fg,r,r,,r,r,,r,,fg,,fg
2015-07-29,rfg,r,r,,rfg,rfg,r,,,f,,,,r,rf,,r,fg,f,,,,r,r,,,r,,r,,,,rfg,r,,r,,,fg,r,r,,r,r,,,,,,fg
2015-10-28,rfg,r,r,,rfg,rfg,r,,,f,,,,r,rf,,r,fg,f,,,,r,r,,,r,,r,,,,rfg,r,,r,,,fg,r,r,,r,r,,,,,,fg
2016-01-28,rg,r,r,,r,fg,r,,,f,,,,r,rf,,r,fg,f,,,,r,r,r,,r,,,,,,rf,r,,r,,,fg,r,r,,r,r,,,,f,,fg
2016-04-27,rfg,r,r,,r,fg,r,,,f,,,,r,r,,r,fg,f,,,,r,r,r,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,r,,,,,rfg,fg
2016-07-28,rfg,r,r,,,fg,r,,,f,,,,r,f,,r,fg,f,,,,r,r,r,,r,,,,,,rfg,r,,r,,,fg,r,r,,r,r,,,,f,fg,fg
