,SECUCODE
354,002371.SZ
355,002372.SZ
356,002373.SZ
357,002375.SZ
358,002376.SZ
359,002382.SZ
360,002383.SZ
361,002384.SZ
362,002385.SZ
363,002387.SZ
364,002389.SZ
365,002390.SZ
366,002396.SZ
367,002399.SZ
368,002402.SZ
369,002405.SZ
370,002407.SZ
371,002408.SZ
372,002409.SZ
373,002410.SZ
374,002413.SZ
375,002414.SZ
376,002415.SZ
377,002416.SZ
378,002419.SZ
379,002421.SZ
380,002422.SZ
381,002423.SZ
382,002424.SZ
383,002428.SZ
384,002429.SZ
385,002430.SZ
386,002434.SZ
387,002436.SZ
388,002437.SZ
389,002439.SZ
390,002440.SZ
391,002444.SZ
392,002446.SZ
393,002449.SZ
394,002456.SZ
395,002458.SZ
396,002459.SZ
397,002460.SZ
398,002461.SZ
399,002463.SZ
400,002465.SZ
401,002466.SZ
402,002467.SZ
403,002468.SZ
404,002475.SZ
405,002479.SZ
406,002481.SZ
407,002482.SZ
408,002484.SZ
409,002488.SZ
410,002489.SZ
411,002490.SZ
412,002491.SZ
413,002493.SZ
414,002497.SZ
415,002498.SZ
416,002500.SZ
417,002503.SZ
418,002505.SZ
419,002506.SZ
420,002507.SZ
421,002508.SZ
422,002511.SZ
423,002518.SZ
424,002528.SZ
425,002530.SZ
426,002531.SZ
427,002537.SZ
428,002541.SZ
429,002542.SZ
430,002544.SZ
431,002545.SZ
432,002547.SZ
433,002552.SZ
434,002555.SZ
435,002557.SZ
436,002558.SZ
437,002563.SZ
438,002567.SZ
439,002568.SZ
440,002572.SZ
441,002573.SZ
442,002583.SZ
443,002589.SZ
444,002594.SZ
445,002595.SZ
446,002596.SZ
447,002597.SZ
448,002600.SZ
449,002601.SZ
450,002602.SZ
451,002603.SZ
452,002605.SZ
453,002607.SZ
454,002609.SZ
455,002610.SZ
456,002611.SZ
457,002614.SZ
458,002616.SZ
459,002617.SZ
460,002618.SZ
461,002621.SZ
462,002624.SZ
463,002625.SZ
464,002626.SZ
465,002635.SZ
466,002636.SZ
467,002640.SZ
468,002641.SZ
469,002643.SZ
470,002648.SZ
471,002653.SZ
472,002665.SZ
473,002670.SZ
474,002672.SZ
475,002673.SZ
476,002675.SZ
477,002677.SZ
478,002683.SZ
479,002685.SZ
480,002690.SZ
481,002695.SZ
482,002697.SZ
483,002698.SZ
484,002701.SZ
485,002703.SZ
486,002705.SZ
487,002706.SZ
488,002709.SZ
489,002714.SZ
490,002717.SZ
491,002726.SZ
492,002727.SZ
493,002733.SZ
494,002736.SZ
495,002737.SZ
496,002739.SZ
497,002745.SZ
498,002746.SZ
499,002747.SZ
500,002755.SZ
501,002756.SZ
502,002768.SZ
503,002773.SZ
504,002777.SZ
505,002791.SZ
506,002792.SZ
507,002793.SZ
508,002796.SZ
509,002797.SZ
510,002798.SZ
511,002803.SZ
512,002807.SZ
513,002812.SZ
514,002815.SZ
515,002818.SZ
516,002821.SZ
517,002831.SZ
518,002832.SZ
519,002837.SZ
520,002838.SZ
521,002839.SZ
522,002841.SZ
523,300001.SZ
524,300002.SZ
525,300003.SZ
526,300009.SZ
527,300010.SZ
528,300012.SZ
529,300014.SZ
530,300015.SZ
531,300017.SZ
532,300020.SZ
533,300024.SZ
534,300026.SZ
535,300031.SZ
536,300033.SZ
537,300034.SZ
538,300036.SZ
539,300037.SZ
540,300038.SZ
541,300043.SZ
542,300045.SZ
543,300053.SZ
544,300054.SZ
545,300058.SZ
546,300059.SZ
547,300068.SZ
548,300070.SZ
549,300072.SZ
550,300073.SZ
551,300078.SZ
552,300079.SZ
553,300080.SZ
554,300083.SZ
555,300085.SZ
556,300088.SZ
557,300098.SZ
558,300113.SZ
559,300114.SZ
560,300115.SZ
561,300118.SZ
562,300119.SZ
563,300122.SZ
564,300123.SZ
565,300124.SZ
566,300130.SZ
567,300131.SZ
568,300132.SZ
569,300133.SZ
570,300136.SZ
571,300142.SZ
572,300144.SZ
573,300145.SZ
574,300146.SZ
575,300149.SZ
576,300159.SZ
577,300166.SZ
578,300168.SZ
579,300170.SZ
580,300177.SZ
581,300180.SZ
582,300182.SZ
583,300183.SZ
584,300184.SZ
585,300188.SZ
586,300191.SZ
587,300194.SZ
588,300197.SZ
589,300202.SZ
590,300203.SZ
591,300207.SZ
592,300209.SZ
593,300212.SZ
594,300222.SZ
595,300223.SZ
596,300224.SZ
597,300226.SZ
598,300229.SZ
599,300232.SZ
600,300233.SZ
601,300236.SZ
602,300244.SZ
603,300251.SZ
604,300253.SZ
605,300256.SZ
606,300257.SZ
607,300271.SZ
608,300274.SZ
609,300276.SZ
610,300284.SZ
611,300285.SZ
612,300287.SZ
613,300292.SZ
614,300294.SZ
615,300296.SZ
616,300297.SZ
617,300298.SZ
618,300300.SZ
619,300303.SZ
620,300308.SZ
621,300315.SZ
622,300316.SZ
623,300319.SZ
624,300322.SZ
625,300324.SZ
626,300326.SZ
627,300327.SZ
628,300328.SZ
629,300339.SZ
630,300347.SZ
631,300348.SZ
632,300349.SZ
633,300352.SZ
634,300357.SZ
635,300365.SZ
636,300369.SZ
637,300373.SZ
638,300376.SZ
639,300377.SZ
640,300379.SZ
641,300383.SZ
