,SECUCODE
354,000851.SZ
355,000852.SZ
356,000856.SZ
357,000858.SZ
358,000859.SZ
359,000860.SZ
360,000861.SZ
361,000862.SZ
362,000863.SZ
363,000868.SZ
364,000869.SZ
365,000875.SZ
366,000876.SZ
367,000877.SZ
368,000878.SZ
369,000880.SZ
370,000881.SZ
371,000882.SZ
372,000883.SZ
373,000885.SZ
374,000886.SZ
375,000887.SZ
376,000888.SZ
377,000889.SZ
378,000890.SZ
379,000892.SZ
380,000893.SZ
381,000895.SZ
382,000897.SZ
383,000898.SZ
384,000899.SZ
385,000900.SZ
386,000901.SZ
387,000902.SZ
388,000903.SZ
389,000905.SZ
390,000906.SZ
391,000908.SZ
392,000909.SZ
393,000910.SZ
394,000911.SZ
395,000912.SZ
396,000913.SZ
397,000915.SZ
398,000916.SZ
399,000917.SZ
400,000918.SZ
401,000919.SZ
402,000920.SZ
403,000921.SZ
404,000922.SZ
405,000923.SZ
406,000925.SZ
407,000926.SZ
408,000927.SZ
409,000928.SZ
410,000929.SZ
411,000930.SZ
412,000931.SZ
413,000932.SZ
414,000933.SZ
415,000935.SZ
416,000936.SZ
417,000937.SZ
418,000938.SZ
419,000939.SZ
420,000948.SZ
421,000949.SZ
422,000950.SZ
423,000951.SZ
424,000952.SZ
425,000953.SZ
426,000955.SZ
427,000957.SZ
428,000958.SZ
429,000959.SZ
430,000960.SZ
431,000961.SZ
432,000962.SZ
433,000963.SZ
434,000965.SZ
435,000966.SZ
436,000967.SZ
437,000968.SZ
438,000969.SZ
439,000970.SZ
440,000971.SZ
441,000972.SZ
442,000973.SZ
443,000975.SZ
444,000976.SZ
445,000977.SZ
446,000978.SZ
447,000979.SZ
448,000980.SZ
449,000981.SZ
450,000982.SZ
451,000983.SZ
452,000985.SZ
453,000987.SZ
454,000988.SZ
455,000989.SZ
456,000990.SZ
457,000993.SZ
458,000995.SZ
459,000996.SZ
460,000997.SZ
461,000998.SZ
462,000999.SZ
463,001696.SZ
464,001896.SZ
465,001979.SZ
466,002001.SZ
467,002002.SZ
468,002003.SZ
469,002004.SZ
470,002005.SZ
471,002006.SZ
472,002007.SZ
473,002008.SZ
474,002009.SZ
475,002010.SZ
476,002011.SZ
477,002012.SZ
478,002013.SZ
479,002014.SZ
480,002015.SZ
481,002016.SZ
482,002017.SZ
483,002018.SZ
484,002019.SZ
485,002020.SZ
486,002021.SZ
487,002022.SZ
488,002023.SZ
489,002024.SZ
490,002025.SZ
491,002026.SZ
492,002027.SZ
493,002028.SZ
494,002029.SZ
495,002030.SZ
496,002031.SZ
497,002032.SZ
498,002033.SZ
499,002034.SZ
500,002035.SZ
501,002036.SZ
502,002037.SZ
503,002038.SZ
504,002039.SZ
505,002040.SZ
506,002041.SZ
507,002042.SZ
508,002043.SZ
509,002044.SZ
510,002045.SZ
511,002046.SZ
512,002047.SZ
513,002048.SZ
514,002049.SZ
515,002050.SZ
516,002051.SZ
517,002052.SZ
518,002053.SZ
519,002054.SZ
520,002055.SZ
521,002056.SZ
522,002057.SZ
523,002058.SZ
524,002059.SZ
525,002060.SZ
526,002061.SZ
527,002062.SZ
528,002063.SZ
529,002064.SZ
530,002065.SZ
531,002066.SZ
532,002067.SZ
533,002068.SZ
534,002069.SZ
535,002070.SZ
536,002071.SZ
537,002072.SZ
538,002073.SZ
539,002074.SZ
540,002075.SZ
541,002076.SZ
542,002077.SZ
543,002078.SZ
544,002079.SZ
545,002080.SZ
546,002081.SZ
547,002082.SZ
548,002083.SZ
549,002084.SZ
550,002085.SZ
551,002086.SZ
552,002087.SZ
553,002088.SZ
554,002089.SZ
555,002090.SZ
556,002091.SZ
557,002092.SZ
558,002093.SZ
559,002094.SZ
560,002095.SZ
561,002096.SZ
562,002097.SZ
563,002098.SZ
564,002099.SZ
565,002100.SZ
566,002101.SZ
567,002102.SZ
568,002103.SZ
569,002104.SZ
570,002105.SZ
571,002106.SZ
572,002107.SZ
573,002108.SZ
574,002109.SZ
575,002110.SZ
576,002111.SZ
577,002112.SZ
578,002113.SZ
579,002114.SZ
580,002115.SZ
581,002116.SZ
582,002117.SZ
583,002118.SZ
584,002119.SZ
585,002120.SZ
586,002121.SZ
587,002122.SZ
588,002123.SZ
589,002124.SZ
590,002125.SZ
591,002126.SZ
592,002127.SZ
593,002128.SZ
594,002129.SZ
595,002130.SZ
596,002131.SZ
597,002132.SZ
598,002133.SZ
599,002134.SZ
600,002135.SZ
601,002136.SZ
602,002137.SZ
603,002138.SZ
604,002139.SZ
605,002140.SZ
606,002141.SZ
607,002142.SZ
608,002143.SZ
609,002144.SZ
610,002145.SZ
611,002146.SZ
612,002147.SZ
613,002148.SZ
614,002149.SZ
615,002150.SZ
616,002151.SZ
617,002152.SZ
618,002153.SZ
619,002154.SZ
620,002155.SZ
621,002156.SZ
622,002157.SZ
623,002158.SZ
624,002159.SZ
625,002160.SZ
626,002161.SZ
627,002162.SZ
628,002163.SZ
629,002164.SZ
630,002165.SZ
631,002166.SZ
632,002167.SZ
633,002168.SZ
634,002169.SZ
635,002170.SZ
636,002171.SZ
637,002172.SZ
638,002173.SZ
639,002174.SZ
640,002175.SZ
641,002176.SZ
642,002177.SZ
643,002178.SZ
644,002179.SZ
645,002180.SZ
646,002181.SZ
647,002182.SZ
648,002183.SZ
649,002184.SZ
650,002185.SZ
651,002186.SZ
652,002187.SZ
653,002188.SZ
654,002189.SZ
655,002190.SZ
656,002191.SZ
657,002192.SZ
658,002193.SZ
659,002194.SZ
660,002195.SZ
661,002196.SZ
662,002197.SZ
663,002198.SZ
664,002199.SZ
665,002200.SZ
666,002201.SZ
667,002202.SZ
668,002203.SZ
669,002204.SZ
670,002205.SZ
671,002206.SZ
672,002207.SZ
673,002208.SZ
674,002209.SZ
675,002210.SZ
676,002211.SZ
677,002212.SZ
678,002213.SZ
679,002214.SZ
680,002215.SZ
681,002216.SZ
682,002217.SZ
683,002218.SZ
684,002219.SZ
685,002220.SZ
686,002221.SZ
687,002222.SZ
688,002223.SZ
689,002224.SZ
690,002225.SZ
691,002226.SZ
692,002227.SZ
693,002228.SZ
694,002229.SZ
695,002230.SZ
696,002231.SZ
697,002232.SZ
698,002233.SZ
699,002234.SZ
700,002235.SZ
701,002236.SZ
702,002237.SZ
703,002238.SZ
704,002239.SZ
705,002240.SZ
706,002241.SZ
707,002242.SZ
708,002243.SZ
709,002244.SZ
710,002245.SZ
711,002246.SZ
712,002247.SZ
713,002248.SZ
714,002249.SZ
715,002250.SZ
716,002251.SZ
717,002252.SZ
718,002253.SZ
719,002254.SZ
720,002255.SZ
721,002256.SZ
722,002258.SZ
723,002259.SZ
724,002260.SZ
725,002261.SZ
726,002262.SZ
727,002263.SZ
728,002264.SZ
729,002265.SZ
730,002266.SZ
731,002267.SZ
732,002268.SZ
733,002269.SZ
734,002270.SZ
735,002271.SZ
736,002272.SZ
737,002273.SZ
738,002274.SZ
739,002275.SZ
740,002276.SZ
741,002277.SZ
742,002278.SZ
743,002279.SZ
744,002280.SZ
745,002281.SZ
746,002282.SZ
747,002283.SZ
748,002284.SZ
