datetime,US_Lowvol
2014-12-31,0.0
2015-01-01,-0.0030000000000000027
2015-01-02,0.007500752267115329
2015-01-03,0.007500752267115329
2015-01-04,0.007500752267115329
2015-01-05,0.005839468848441998
2015-01-06,0.01351624453334277
2015-01-07,0.024397650477111954
2015-01-08,0.023703068808592187
2015-01-09,0.023099545502466956
2015-01-10,0.023099545502466956
2015-01-11,0.023099545502466956
2015-01-12,0.029048249631808076
2015-01-13,0.02787919031155761
2015-01-14,0.028516138782464617
2015-01-15,0.02905713344199201
2015-01-16,0.03298387865214569
2015-01-17,0.03298387865214569
2015-01-18,0.03298387865214569
2015-01-19,0.03298387865214569
2015-01-20,0.037186862210336846
2015-01-21,0.03322723123866744
2015-01-22,0.04802994143789485
2015-01-23,0.048294629663977906
2015-01-24,0.048294629663977906
2015-01-25,0.048294629663977906
2015-01-26,0.051516972565802455
2015-01-27,0.04847601571752547
2015-01-28,0.04474383255598213
2015-01-29,0.04458041154795711
2015-01-30,0.034510439488436795
2015-01-31,0.034510439488436795
2015-02-01,0.034510439488436795
2015-02-02,0.031183528283455386
2015-02-03,0.03756409581058184
2015-02-04,0.03273155429050778
2015-02-05,0.035435980956727064
2015-02-06,0.0327183917361793
2015-02-07,0.0327183917361793
2015-02-08,0.0327183917361793
2015-02-09,0.028875637154949008
2015-02-10,0.030865407374941034
2015-02-11,0.032014611733143905
2015-02-12,0.03543445330428163
2015-02-13,0.04187325132468889
2015-02-14,0.04187325132468889
2015-02-15,0.04187325132468889
2015-02-16,0.04187325132468889
2015-02-17,0.04213266643934799
2015-02-18,0.04998279423884089
2015-02-19,0.05282625324418788
2015-02-20,0.05892915343404126
2015-02-21,0.05892915343404126
2015-02-22,0.05892915343404126
2015-02-23,0.05086897230550025
2015-02-24,0.054523809664498435
2015-02-25,0.04952731560520762
2015-02-26,0.05618157195434881
2015-02-27,0.05492048921469084
2015-02-28,0.05492048921469084
2015-03-01,0.05492048921469084
2015-03-02,0.04742799562106237
2015-03-03,0.05676395823980296
2015-03-04,0.04918661205587882
2015-03-05,0.04980573772371977
2015-03-06,0.03782084715112877
2015-03-07,0.03782084715112877
2015-03-08,0.03782084715112877
2015-03-09,0.03265899132981387
2015-03-10,0.020784676003858138
2015-03-11,0.027929790706139324
2015-03-12,0.02799212451460731
2015-03-13,0.03006819205384792
2015-03-14,0.03006819205384792
2015-03-15,0.03006819205384792
2015-03-16,0.0443069424407283
2015-03-17,0.043301075267805134
2015-03-18,0.05668027197962444
2015-03-19,0.05325450827593259
2015-03-20,0.062439913828653104
2015-03-21,0.062439913828653104
2015-03-22,0.062439913828653104
2015-03-23,0.058834451214584416
2015-03-24,0.05032268300587339
2015-03-25,0.038670603900027745
2015-03-26,0.03383300045081494
2015-03-27,0.03483371422961823
2015-03-28,0.03483371422961823
2015-03-29,0.03483371422961823
2015-03-30,0.03920800994320128
2015-03-31,0.02356248564602259
2015-04-01,0.0027852045015328564
2015-04-02,0.007923968839592455
2015-04-03,0.007923968839592455
2015-04-04,0.007923968839592455
2015-04-05,0.007923968839592455
2015-04-06,0.00821266404457921
2015-04-07,0.0003769925079504244
2015-04-08,0.006761044332599608
2015-04-09,0.018707374098772656
2015-04-10,0.0192178565773784
2015-04-11,0.0192178565773784
2015-04-12,0.0192178565773784
2015-04-13,0.01984782738936164
2015-04-14,0.011447517700404752
2015-04-15,0.013809677640980178
2015-04-16,0.02315949702112241
2015-04-17,0.02110504738585406
2015-04-18,0.02110504738585406
2015-04-19,0.02110504738585406
2015-04-20,0.014565208213382252
2015-04-21,0.01386172361364868
2015-04-22,0.020874187276070932
2015-04-23,0.02156400553579485
2015-04-24,0.025542813402123388
2015-04-25,0.025542813402123388
2015-04-26,0.025542813402123388
2015-04-27,0.013500305714290173
2015-04-28,0.012093037454445676
2015-04-29,0.010722028071755485
2015-04-30,0.0005913300089170903
2015-05-01,0.010345932854220585
2015-05-02,0.010345932854220585
2015-05-03,0.010345932854220585
2015-05-04,0.012629700296777902
2015-05-05,0.003323597165344916
2015-05-06,0.004396350083112566
2015-05-07,0.0028515473108103873
2015-05-08,0.010913695413020008
2015-05-09,0.010913695413020008
2015-05-10,0.010913695413020008
2015-05-11,0.006272479400549091
2015-05-12,0.008484203836936377
2015-05-13,0.012317638586228474
2015-05-14,0.02797490469550512
2015-05-15,0.029568501232347
2015-05-16,0.029568501232347
2015-05-17,0.029568501232347
2015-05-18,0.025786185683291274
2015-05-19,0.024153659954351925
2015-05-20,0.022025663415261132
2015-05-21,0.022645389185837583
2015-05-22,0.017625021198276247
2015-05-23,0.017625021198276247
2015-05-24,0.017625021198276247
2015-05-25,0.017625021198276247
2015-05-26,0.012286359827866633
2015-05-27,0.018127938888023998
2015-05-28,0.014709322167819172
2015-05-29,0.0048442558907209055
2015-05-30,0.0048442558907209055
2015-05-31,0.0048442558907209055
2015-06-01,0.004024523335919961
2015-06-02,-0.0008098579828429431
2015-06-03,-0.010818025198309211
2015-06-04,-0.02056336940038328
2015-06-05,-0.014018257087917485
2015-06-06,-0.014018257087917485
2015-06-07,-0.014018257087917485
2015-06-08,-0.022362784023140958
2015-06-09,-0.020523388678068244
2015-06-10,-0.01477735544289116
2015-06-11,-0.01320797295758025
2015-06-12,-0.01873452624617511
2015-06-13,-0.01873452624617511
2015-06-14,-0.01873452624617511
2015-06-15,-0.026710422539815037
2015-06-16,-0.024848117659155067
2015-06-17,-0.0200083846980309
2015-06-18,-0.014675714713053956
2015-06-19,-0.018564894395990295
2015-06-20,-0.018564894395990295
