,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown,Max Daily Drop,Calmar Ratio,99% VaR,Total Return_1825,Return p.a._1825,Volatility_1825,Sharpe Ratio_1825,Max Drawdown_1825,Max Daily Drop_1825,Calmar Ratio_1825,99% VaR_1825,Total Return_1095,Return p.a._1095,Volatility_1095,Sharpe Ratio_1095,Max Drawdown_1095,Max Daily Drop_1095,Calmar Ratio_1095,99% VaR_1095,Total Return_365,Return p.a._365,Volatility_365,Sharpe Ratio_365,Max Drawdown_365,Max Daily Drop_365,Calmar Ratio_365,99% VaR_365,Total Return_YTD,Return p.a._YTD,Volatility_YTD,Sharpe Ratio_YTD,Max Drawdown_YTD,Max Daily Drop_YTD,Calmar Ratio_YTD,99% VaR_YTD,Total Return_180,Return p.a._180,Volatility_180,Sharpe Ratio_180,Max Drawdown_180,Max Daily Drop_180,Calmar Ratio_180,99% VaR_180,Total Return_90,Return p.a._90,Volatility_90,Sharpe Ratio_90,Max Drawdown_90,Max Daily Drop_90,Calmar Ratio_90,99% VaR_90,Total Return_30,Return p.a._30,Volatility_30,Sharpe Ratio_30,Max Drawdown_30,Max Daily Drop_30,Calmar Ratio_30,99% VaR_30,Total Return2016,Return p.a.2016,Volatility2016,Sharpe Ratio2016,Max Drawdown2016,Max Daily Drop2016,Calmar Ratio2016,99% VaR2016,Total Return2017,Return p.a.2017,Volatility2017,Sharpe Ratio2017,Max Drawdown2017,Max Daily Drop2017,Calmar Ratio2017,99% VaR2017,Total Return2018,Return p.a.2018,Volatility2018,Sharpe Ratio2018,Max Drawdown2018,Max Daily Drop2018,Calmar Ratio2018,99% VaR2018,Total Return2019,Return p.a.2019,Volatility2019,Sharpe Ratio2019,Max Drawdown2019,Max Daily Drop2019,Calmar Ratio2019,99% VaR2019
US_Lowvol,-0.15033120239568065,-0.028741054775961006,0.10483825820923624,-0.2741466261161989,-0.2708471334106429,-0.05634004767207923,-0.10611541061571976,-0.015415714385665654,-0.14026316060077704,-0.029773556141214574,0.10593760462536121,-0.28104803999020056,-0.2585167772139173,-0.05634004767207923,-0.11517069206141917,-0.015580085126967787,-0.11232890025861131,-0.038939576102330675,0.11628480905406344,-0.33486382631652933,-0.25410683000782053,-0.05634004767207923,-0.1532409660186318,-0.01712549193701883,-0.1600451357947359,-0.1600451357947359,0.16704065974310547,-0.9581208314243483,-0.24117738994443438,-0.05634004767207923,-0.6635992529465934,-0.02504888070454431,-0.14521734307608092,-0.23576502855508363,0.21426480630474415,-1.1003441611393716,-0.22628833447033858,-0.05634004767207923,-1.0418788450006786,-0.03229006179096966,-0.10807481340023462,-0.20699287400265942,0.22970580726925027,-0.9011216410390189,-0.21007334274226086,-0.05634004767207923,-0.9853362225811731,-0.03437373772753194,0.029613748612501656,0.12564504043675506,0.08331505884892874,1.5080711959236717,-0.018977885051795096,-0.05634004767207923,6.620602880344164,-0.011699321836406283,0.01482565754086318,0.1960862718053451,0.07358268796863329,2.664842467958393,-0.012069821718995177,-0.05634004767207923,16.245995704870232,-0.010042570286690998,0.03664494576538457,0.03664494576538457,0.0775275445807848,0.47267001636044365,-0.07008977939091354,-0.05634004767207923,0.5228286646617015,-0.011175637420087032,0.00015721783129030165,0.0001576497824533618,0.06497207459967522,0.0024264237124136693,-0.06841129536360557,-0.05634004767207923,0.0023044408326936988,-0.009486458332911177,-0.040316969268342495,-0.04042546064192387,0.09855546332717308,-0.41017980411419797,-0.10765791827460269,-0.05634004767207923,-0.3754991856596259,-0.014548144413538034,0.05847544911962177,0.05864071684109762,0.048461816147123776,1.2100396044397514,-0.054926915239296825,-0.05634004767207923,1.0676135112562046,-0.006852327583023557
US_Lowvol,-0.15033120239568054,-0.028741054775961006,0.1048382582092363,-0.2741466261161987,-0.2708471334106427,-0.05634004767207945,-0.10611541061571986,-0.015415714385665661,-0.14026316060077693,-0.029773556141214574,0.10593760462536123,-0.2810480399902005,-0.2585167772139172,-0.05634004767207945,-0.11517069206141922,-0.015580085126967787,-0.1123289002586112,-0.038939576102330675,0.11628480905406345,-0.3348638263165293,-0.2541068300078204,-0.05634004767207945,-0.15324096601863188,-0.017125491937018834,-0.1600451357947359,-0.1600451357947359,0.16704065974310556,-0.9581208314243479,-0.24117738994443438,-0.05634004767207945,-0.6635992529465934,-0.025048880704544318,-0.14521734307608103,-0.23576502855508374,0.2142648063047443,-1.1003441611393714,-0.22628833447033858,-0.05634004767207945,-1.0418788450006793,-0.03229006179096967,-0.10807481340023473,-0.20699287400265964,0.22970580726925047,-0.9011216410390192,-0.21007334274226075,-0.05634004767207945,-0.9853362225811747,-0.03437373772753196,0.029613748612501878,0.12564504043675617,0.08331505884892887,1.5080711959236828,-0.018977885051795318,-0.05634004767207945,6.620602880344145,-0.011699321836406283,0.014825657540862958,0.196086271805342,0.07358268796863336,2.6648424679583482,-0.012069821718995288,-0.05634004767207945,16.245995704869827,-0.010042570286690991,0.03664494576538457,0.03664494576538457,0.07752754458078481,0.47267001636044353,-0.07008977939091376,-0.05634004767207945,0.5228286646616999,-0.011175637420087033,0.00015721783129030165,0.0001576497824533618,0.06497207459967534,0.0024264237124136646,-0.06841129536360557,-0.05634004767207945,0.0023044408326936988,-0.009486458332911197,-0.04031696926834227,-0.04042546064192365,0.09855546332717297,-0.41017980411419613,-0.10765791827460258,-0.05634004767207945,-0.37549918565962426,-0.014548144413538022,0.05847544911962199,0.05864071684109784,0.048461816147123714,1.2100396044397577,-0.054926915239296825,-0.05634004767207945,1.0676135112562086,-0.0068523275830235444
US_Lowvol,-0.15033120239568054,-0.028741054775961006,0.1048382582092362,-0.274146626116199,-0.2708471334106429,-0.05634004767207945,-0.10611541061571976,-0.01541571438566565,-0.14026316060077693,-0.029773556141214574,0.10593760462536117,-0.28104803999020067,-0.2585167772139173,-0.05634004767207945,-0.11517069206141917,-0.01558008512696778,-0.1123289002586112,-0.038939576102330675,0.11628480905406338,-0.3348638263165295,-0.25410683000782064,-0.05634004767207945,-0.15324096601863174,-0.01712549193701882,-0.1600451357947359,-0.1600451357947359,0.16704065974310545,-0.9581208314243486,-0.2411773899444346,-0.05634004767207945,-0.6635992529465927,-0.0250488807045443,-0.14521734307608103,-0.23576502855508374,0.2142648063047441,-1.1003441611393723,-0.2262883344703388,-0.05634004767207945,-1.0418788450006782,-0.03229006179096964,-0.10807481340023473,-0.20699287400265964,0.22970580726925027,-0.9011216410390199,-0.21007334274226097,-0.05634004767207945,-0.9853362225811737,-0.03437373772753193,0.029613748612501878,0.12564504043675617,0.083315058848929,1.5080711959236806,-0.018977885051795318,-0.05634004767207945,6.620602880344145,-0.011699321836406306,0.014825657540863402,0.19608627180534843,0.07358268796863393,2.6648424679584153,-0.012069821718995288,-0.05634004767207945,16.24599570487036,-0.010042570286691066,0.03664494576538457,0.03664494576538457,0.07752754458078487,0.4726700163604432,-0.07008977939091354,-0.05634004767207945,0.5228286646617015,-0.01117563742008704,0.00015721783129030165,0.0001576497824533618,0.0649720745996753,0.0024264237124136663,-0.06841129536360557,-0.05634004767207945,0.0023044408326936988,-0.009486458332911193,-0.04031696926834227,-0.04042546064192365,0.09855546332717283,-0.41017980411419674,-0.10765791827460258,-0.05634004767207945,-0.37549918565962426,-0.014548144413537998,0.05847544911962199,0.05864071684109784,0.048461816147123686,1.2100396044397583,-0.054926915239296825,-0.05634004767207945,1.0676135112562086,-0.006852327583023542
US_Lowvol,0.022815051014137833,0.004046378469626966,0.11336440033390574,0.03569355509938466,-0.2488455147458749,-0.04555827257602241,0.016260604390475726,-0.016526163059662015,0.011048147585306145,0.002199928826016162,0.1130296628512453,0.019463287516936306,-0.2488455147458749,-0.04555827257602241,0.00884054039817742,-0.016484684843646246,-0.04613537256340816,-0.01562120905295672,0.12420962567692609,-0.1257648830984168,-0.2488455147458749,-0.04555827257602241,-0.06277472619472106,-0.018184589016441675,-0.004477193536308821,-0.004477193536308821,0.1660429363555207,-0.026964071068476744,-0.2023809352272179,-0.04555827257602241,-0.0221226052309827,-0.02422941713823155,-0.05583788039072124,-0.0937679210187129,0.19702226385957364,-0.4759255080204813,-0.2023809352272179,-0.04555827257602241,-0.4633238843048008,-0.02910765916548763,-0.037477861924792966,-0.0745336315624533,0.2088966271324629,-0.3567967208737696,-0.2023809352272179,-0.04555827257602241,-0.36828385775949013,-0.030745866885908756,0.07807272545739674,0.35645695378125564,0.129567451373125,2.7511303958178517,-0.04678161718909746,-0.04555827257602241,7.6195945159486405,-0.01770898188246132,0.04867601293173851,0.7829379656375035,0.12547657700068574,6.2397140912859355,-0.017661780586064935,-0.04555827257602241,44.329503575377785,-0.016042376144709825,0.05128110840898348,0.05128110840898348,0.0967405783583907,0.5300889169693046,-0.06216405504852185,-0.04555827257602241,0.824931841543417,-0.013921279784515758,0.15009960467174155,0.15054155704778527,0.07527552797721299,1.9998738114909858,-0.04738257900334297,-0.04555827257602241,3.1771499191119195,-0.01043271879248526,-0.07358865934234238,-0.0737831774876826,0.10653386574496082,-0.6925795564794158,-0.14157722652488192,-0.04555827257602241,-0.52115145421863,-0.015851538409310126,0.011878598352116576,0.01191142545382462,0.09732166111559622,0.12239233606664943,-0.09665664832500753,-0.04555827257602241,0.12323441439612624,-0.014157569578038216
US_Lowvol,0.022815051014137833,0.004046378469626966,0.1133644003339058,0.03569355509938465,-0.2488455147458748,-0.04555827257602241,0.016260604390475733,-0.01652616305966202,0.011048147585306145,0.002199928826016162,0.11302966285124533,0.019463287516936302,-0.2488455147458748,-0.04555827257602241,0.008840540398177424,-0.016484684843646253,-0.04613537256340816,-0.01562120905295672,0.12420962567692609,-0.1257648830984168,-0.2488455147458748,-0.04555827257602241,-0.06277472619472109,-0.018184589016441672,-0.004477193536308821,-0.004477193536308821,0.1660429363555207,-0.026964071068476744,-0.2023809352272179,-0.04555827257602241,-0.0221226052309827,-0.02422941713823155,-0.05583788039072124,-0.0937679210187129,0.19702226385957364,-0.4759255080204813,-0.2023809352272179,-0.04555827257602241,-0.4633238843048008,-0.02910765916548763,-0.037477861924792966,-0.0745336315624533,0.20889662713246288,-0.3567967208737697,-0.2023809352272179,-0.04555827257602241,-0.36828385775949013,-0.03074586688590875,0.07807272545739674,0.35645695378125564,0.12956745137312461,2.75113039581786,-0.04678161718909746,-0.04555827257602241,7.6195945159486405,-0.017708981882461266,0.04867601293173851,0.7829379656375035,0.12547657700068537,6.239714091285953,-0.017661780586064824,-0.04555827257602241,44.32950357537806,-0.016042376144709762,0.05128110840898348,0.05128110840898348,0.09674057835839078,0.5300889169693042,-0.06216405504852174,-0.04555827257602241,0.8249318415434185,-0.013921279784515768,0.15009960467174133,0.15054155704778505,0.07527552797721292,1.9998738114909846,-0.04738257900334275,-0.04555827257602241,3.1771499191119297,-0.01043271879248525,-0.07358865934234238,-0.0737831774876826,0.10653386574496083,-0.6925795564794157,-0.1415772265248817,-0.04555827257602241,-0.5211514542186307,-0.015851538409310126,0.011878598352116798,0.011911425453824842,0.09732166111559623,0.12239233606665169,-0.09665664832500753,-0.04555827257602241,0.12323441439612855,-0.014157569578038216
US_Lowvol,0.02281505101413739,0.004046378469626966,0.11336440033390585,0.03569355509938463,-0.24884551474587502,-0.04555827257602241,0.01626060439047572,-0.016526163059662032,0.011048147585305701,0.00219992882601594,0.11302966285124535,0.01946328751693433,-0.24884551474587502,-0.04555827257602241,0.008840540398176524,-0.016484684843646256,-0.046135372563408605,-0.01562120905295683,0.12420962567692614,-0.12576488309841763,-0.24884551474587502,-0.04555827257602241,-0.06277472619472148,-0.018184589016441686,-0.004477193536309265,-0.004477193536309265,0.16604293635552075,-0.02696407106847941,-0.2023809352272179,-0.04555827257602241,-0.02212260523098489,-0.024229417138231565,-0.05583788039072146,-0.09376792101871323,0.19702226385957358,-0.4759255080204831,-0.2023809352272179,-0.04555827257602241,-0.4633238843048025,-0.02910765916548763,-0.037477861924792966,-0.0745336315624533,0.20889662713246282,-0.35679672087376973,-0.2023809352272179,-0.04555827257602241,-0.36828385775949013,-0.03074586688590875,0.07807272545739652,0.3564569537812545,0.12956745137312464,2.751130395817851,-0.04678161718909746,-0.04555827257602241,7.6195945159486165,-0.017708981882461273,0.04867601293173829,0.7829379656374991,0.1254765770006854,6.239714091285917,-0.017661780586064935,-0.04555827257602241,44.32950357537754,-0.016042376144709783,0.05128110840898348,0.05128110840898348,0.09674057835839071,0.5300889169693046,-0.06216405504852174,-0.04555827257602241,0.8249318415434185,-0.01392127978451576,0.15009960467174133,0.15054155704778505,0.07527552797721304,1.9998738114909813,-0.04738257900334297,-0.04555827257602241,3.177149919111915,-0.010432718792485269,-0.0735886593423426,-0.07378317748768282,0.10653386574496082,-0.6925795564794179,-0.1415772265248817,-0.04555827257602241,-0.5211514542186323,-0.015851538409310126,0.011878598352116798,0.011911425453824842,0.0973216611155965,0.12239233606665136,-0.09665664832500753,-0.04555827257602241,0.12323441439612855,-0.014157569578038254
US_Lowvol,-0.15033120239568054,-0.028741054775961006,0.1048382582092362,-0.274146626116199,-0.2708471334106429,-0.05634004767207923,-0.10611541061571976,-0.01541571438566565,-0.14026316060077693,-0.029773556141214574,0.10593760462536118,-0.2810480399902006,-0.2585167772139174,-0.05634004767207923,-0.11517069206141912,-0.015580085126967782,-0.1123289002586112,-0.038939576102330675,0.11628480905406344,-0.33486382631652933,-0.25410683000782064,-0.05634004767207923,-0.15324096601863174,-0.01712549193701883,-0.1600451357947359,-0.1600451357947359,0.16704065974310559,-0.9581208314243477,-0.2411773899444346,-0.05634004767207923,-0.6635992529465927,-0.025048880704544325,-0.14521734307608092,-0.23576502855508363,0.21426480630474426,-1.100344161139371,-0.2262883344703387,-0.05634004767207923,-1.0418788450006782,-0.03229006179096967,-0.1080748134002345,-0.2069928740026592,0.22970580726925038,-0.9011216410390176,-0.21007334274226086,-0.05634004767207923,-0.985336222581172,-0.034373737727531946,0.029613748612501878,0.12564504043675617,0.083315058848929,1.5080711959236806,-0.018977885051795096,-0.05634004767207923,6.620602880344222,-0.01169932183640631,0.014825657540863402,0.19608627180534843,0.07358268796863449,2.6648424679583953,-0.012069821718995288,-0.05634004767207923,16.24599570487036,-0.010042570286691158,0.03664494576538435,0.03664494576538435,0.0775275445807847,0.47267001636044137,-0.07008977939091354,-0.05634004767207923,0.5228286646616983,-0.011175637420087016,0.00015721783129030165,0.0001576497824533618,0.06497207459967518,0.002426423712413671,-0.06841129536360557,-0.05634004767207923,0.0023044408326936988,-0.009486458332911172,-0.04031696926834227,-0.04042546064192365,0.09855546332717297,-0.41017980411419613,-0.10765791827460258,-0.05634004767207923,-0.37549918565962426,-0.014548144413538019,0.05847544911962177,0.05864071684109762,0.04846181614712375,1.2100396044397521,-0.054926915239296825,-0.05634004767207923,1.0676135112562046,-0.006852327583023551
US_Lowvol,-0.15033120239568054,-0.028741054775961006,0.1048382582092362,-0.274146626116199,-0.2708471334106429,-0.05634004767207945,-0.10611541061571976,-0.01541571438566565,-0.14026316060077693,-0.029773556141214574,0.10593760462536113,-0.2810480399902008,-0.2585167772139174,-0.05634004767207945,-0.11517069206141912,-0.015580085126967775,-0.1123289002586112,-0.038939576102330675,0.11628480905406338,-0.3348638263165295,-0.25410683000782053,-0.05634004767207945,-0.1532409660186318,-0.017125491937018823,-0.16004513579473578,-0.16004513579473578,0.16704065974310545,-0.9581208314243479,-0.24117738994443438,-0.05634004767207945,-0.6635992529465929,-0.0250488807045443,-0.1452173430760808,-0.2357650285550834,0.21426480630474412,-1.1003441611393707,-0.22628833447033858,-0.05634004767207945,-1.0418788450006777,-0.032290061790969646,-0.1080748134002345,-0.2069928740026592,0.22970580726925027,-0.901121641039018,-0.21007334274226086,-0.05634004767207945,-0.985336222581172,-0.03437373772753193,0.029613748612501878,0.12564504043675617,0.08331505884892927,1.5080711959236754,-0.018977885051795096,-0.05634004767207945,6.620602880344222,-0.011699321836406346,0.014825657540863402,0.19608627180534843,0.07358268796863368,2.664842467958424,-0.012069821718995288,-0.05634004767207945,16.24599570487036,-0.010042570286691038,0.03664494576538435,0.03664494576538435,0.07752754458078479,0.47267001636044087,-0.07008977939091354,-0.05634004767207945,0.5228286646616983,-0.011175637420087028,0.00015721783129030165,0.0001576497824533618,0.06497207459967519,0.00242642371241367,-0.06841129536360557,-0.05634004767207945,0.0023044408326936988,-0.009486458332911174,-0.040316969268342495,-0.04042546064192387,0.09855546332717283,-0.41017980411419896,-0.10765791827460258,-0.05634004767207945,-0.3754991856596263,-0.014548144413538,0.05847544911962177,0.05864071684109762,0.04846181614712368,1.210039604439754,-0.054926915239296825,-0.05634004767207945,1.0676135112562046,-0.006852327583023543
US_Lowvol,-0.15033120239568054,-0.028741054775961006,0.1048382582092363,-0.2741466261161987,-0.2708471334106429,-0.05634004767207945,-0.10611541061571976,-0.015415714385665661,-0.14026316060077693,-0.029773556141214574,0.10593760462536124,-0.2810480399902005,-0.2585167772139174,-0.05634004767207945,-0.11517069206141912,-0.01558008512696779,-0.1123289002586112,-0.038939576102330675,0.1162848090540635,-0.3348638263165291,-0.25410683000782064,-0.05634004767207945,-0.15324096601863174,-0.01712549193701884,-0.16004513579473578,-0.16004513579473578,0.1670406597431057,-0.9581208314243465,-0.24117738994443438,-0.05634004767207945,-0.6635992529465929,-0.02504888070454434,-0.14521734307608092,-0.23576502855508363,0.21426480630474443,-1.10034416113937,-0.2262883344703387,-0.05634004767207945,-1.0418788450006782,-0.03229006179096969,-0.1080748134002345,-0.2069928740026592,0.22970580726925055,-0.9011216410390169,-0.21007334274226086,-0.05634004767207945,-0.985336222581172,-0.034373737727531974,0.029613748612501878,0.12564504043675617,0.0833150588489293,1.508071195923675,-0.018977885051795096,-0.05634004767207945,6.620602880344222,-0.011699321836406347,0.014825657540863402,0.19608627180534843,0.07358268796863399,2.664842467958413,-0.012069821718995288,-0.05634004767207945,16.24599570487036,-0.01004257028669109,0.03664494576538457,0.03664494576538457,0.07752754458078479,0.4726700163604437,-0.07008977939091376,-0.05634004767207945,0.5228286646616999,-0.011175637420087026,0.00015721783129030165,0.0001576497824533618,0.06497207459967524,0.0024264237124136685,-0.06841129536360557,-0.05634004767207945,0.0023044408326936988,-0.009486458332911183,-0.040316969268342495,-0.04042546064192387,0.09855546332717294,-0.4101798041141985,-0.10765791827460258,-0.05634004767207945,-0.3754991856596263,-0.014548144413538019,0.05847544911962199,0.05864071684109784,0.048461816147123665,1.2100396044397588,-0.05492691523929705,-0.05634004767207945,1.0676135112562044,-0.00685232758302354
US_Lowvol,0.02281505101413739,0.004046378469626966,0.1133644003339058,0.03569355509938465,-0.24884551474587502,-0.045558272576022296,0.01626060439047572,-0.016526163059662022,0.011048147585305701,0.00219992882601594,0.11302966285124535,0.01946328751693433,-0.24884551474587502,-0.045558272576022296,0.008840540398176524,-0.016484684843646256,-0.04613537256340838,-0.01562120905295672,0.12420962567692612,-0.12576488309841677,-0.24884551474587502,-0.045558272576022296,-0.06277472619472103,-0.01818458901644168,-0.004477193536309043,-0.004477193536309043,0.16604293635552075,-0.026964071068478073,-0.2023809352272179,-0.045558272576022296,-0.022122605230983795,-0.024229417138231565,-0.05583788039072146,-0.09376792101871323,0.19702226385957355,-0.47592550802048317,-0.2023809352272179,-0.045558272576022296,-0.4633238843048025,-0.029107659165487628,-0.037477861924792966,-0.0745336315624533,0.2088966271324628,-0.3567967208737698,-0.2023809352272179,-0.045558272576022296,-0.36828385775949013,-0.030745866885908746,0.07807272545739652,0.3564569537812545,0.12956745137312464,2.751130395817851,-0.04678161718909746,-0.045558272576022296,7.6195945159486165,-0.01770898188246127,0.04867601293173829,0.7829379656374991,0.12547657700068537,6.239714091285918,-0.017661780586064824,-0.045558272576022296,44.329503575377814,-0.016042376144709762,0.05128110840898348,0.05128110840898348,0.09674057835839073,0.5300889169693045,-0.06216405504852174,-0.045558272576022296,0.8249318415434185,-0.013921279784515763,0.15009960467174133,0.15054155704778505,0.07527552797721296,1.9998738114909835,-0.04738257900334297,-0.045558272576022296,3.177149919111915,-0.010432718792485257,-0.0735886593423426,-0.07378317748768282,0.10653386574496085,-0.6925795564794177,-0.14157722652488214,-0.045558272576022296,-0.5211514542186306,-0.015851538409310133,0.011878598352116798,0.011911425453824842,0.09732166111559652,0.12239233606665133,-0.09665664832500764,-0.045558272576022296,0.1232344143961284,-0.01415756957803826
