datetime,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027
2015-01-02,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329,0.007500752267115329,0.007500752267115329,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329,0.007500752267115329,0.007500752267115329,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329
2015-01-03,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329,0.007500752267115329,0.007500752267115329,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329,0.007500752267115329,0.007500752267115329,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329
2015-01-04,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329,0.007500752267115329,0.007500752267115329,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329,0.007500752267115329,0.007500752267115329,-0.004675670101708773,-0.004675670101708773,-0.004675670101708773,0.007500752267115329
2015-01-05,-0.01973161143711566,-0.01973161143711566,-0.01973161143711566,0.005839468848441998,0.005839468848441998,0.005839468848441998,-0.01973161143711566,-0.01973161143711566,-0.01973161143711566,0.005839468848441998,0.005839468848441998,0.005839468848441998,-0.01973161143711566,-0.01973161143711566,-0.01973161143711566,0.005839468848441998
2015-01-06,-0.02386178980127207,-0.02386178980127207,-0.02386178980127207,0.01351624453334277,0.01351624453334277,0.01351624453334277,-0.02386178980127207,-0.02386178980127207,-0.02386178980127207,0.01351624453334277,0.01351624453334277,0.01351624453334277,-0.02386178980127207,-0.02386178980127207,-0.02386178980127207,0.01351624453334277
2015-01-07,-0.01675908198020537,-0.01675908198020537,-0.01675908198020537,0.024397650477111954,0.024397650477111954,0.024397650477111954,-0.01675908198020537,-0.01675908198020537,-0.01675908198020537,0.024397650477111954,0.024397650477111954,0.024397650477111954,-0.01675908198020537,-0.01675908198020537,-0.01675908198020537,0.024397650477111954
2015-01-08,-0.00607188203932818,-0.00607188203932818,-0.00607188203932818,0.023703068808592187,0.023703068808592187,0.023703068808592187,-0.00607188203932818,-0.00607188203932818,-0.00607188203932818,0.023703068808592187,0.023703068808592187,0.023703068808592187,-0.00607188203932818,-0.00607188203932818,-0.00607188203932818,0.023703068808592187
2015-01-09,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956,0.023099545502466956,0.023099545502466956,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956,0.023099545502466956,0.023099545502466956,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956
2015-01-10,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956,0.023099545502466956,0.023099545502466956,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956,0.023099545502466956,0.023099545502466956,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956
2015-01-11,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956,0.023099545502466956,0.023099545502466956,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956,0.023099545502466956,0.023099545502466956,-0.007231375247901406,-0.007231375247901406,-0.007231375247901406,0.023099545502466956
2015-01-12,-0.012680633153777876,-0.012680633153777876,-0.012680633153777876,0.029048249631808076,0.029048249631808076,0.029048249631808076,-0.012680633153777876,-0.012680633153777876,-0.012680633153777876,0.029048249631808076,0.029048249631808076,0.029048249631808076,-0.012680633153777876,-0.012680633153777876,-0.012680633153777876,0.029048249631808076
2015-01-13,-0.00930023837365046,-0.00930023837365046,-0.00930023837365046,0.02787919031155761,0.02787919031155761,0.02787919031155761,-0.00930023837365046,-0.00930023837365046,-0.00930023837365046,0.02787919031155761,0.02787919031155761,0.02787919031155761,-0.00930023837365046,-0.00930023837365046,-0.00930023837365046,0.02787919031155761
2015-01-14,-0.004988639313668997,-0.004988639313668997,-0.004988639313668997,0.028516138782464617,0.028516138782464617,0.028516138782464617,-0.004988639313668997,-0.004988639313668997,-0.004988639313668997,0.028516138782464617,0.028516138782464617,0.028516138782464617,-0.004988639313668997,-0.004988639313668997,-0.004988639313668997,0.028516138782464617
2015-01-15,-0.010351957691575597,-0.010351957691575597,-0.010351957691575597,0.02905713344199201,0.02905713344199201,0.02905713344199201,-0.010351957691575597,-0.010351957691575597,-0.010351957691575597,0.02905713344199201,0.02905713344199201,0.02905713344199201,-0.010351957691575597,-0.010351957691575597,-0.010351957691575597,0.02905713344199201
2015-01-16,-0.001277870631626099,-0.001277870631626099,-0.001277870631626099,0.03298387865214569,0.03298387865214569,0.03298387865214569,-0.001277870631626099,-0.001277870631626099,-0.001277870631626099,0.03298387865214569,0.03298387865214569,0.03298387865214569,-0.001277870631626099,-0.001277870631626099,-0.001277870631626099,0.03298387865214569
