date,open,high,close,low
2019-11-27 23:59:00+00:00,9.1694,9.1696,9.1683,9.1682
2019-11-28 00:00:00+00:00,9.1683,9.1685,9.1674,9.1674
2019-11-28 00:01:00+00:00,9.1674,9.1687,9.1684,9.1673
2019-11-28 00:02:00+00:00,9.1684,9.1694,9.1692,9.168
2019-11-28 00:03:00+00:00,9.1692,9.1697,9.1697,9.1689
2019-11-28 00:04:00+00:00,9.1697,9.1708,9.17,9.1696
2019-11-28 00:05:00+00:00,9.17,9.1704,9.17,9.1699
2019-11-28 00:06:00+00:00,9.17,9.1704,9.1704,9.17
2019-11-28 00:07:00+00:00,9.1704,9.1706,9.1703,9.1702
2019-11-28 00:08:00+00:00,9.1703,9.1703,9.1697,9.1695
2019-11-28 00:09:00+00:00,9.1697,9.1698,9.1693,9.1692
2019-11-28 00:10:00+00:00,9.1693,9.1693,9.1679,9.1674
2019-11-28 00:11:00+00:00,9.1679,9.1684,9.1683,9.1672
2019-11-28 00:12:00+00:00,9.1683,9.1686,9.1681,9.168
2019-11-28 00:13:00+00:00,9.1681,9.1683,9.1681,9.168
2019-11-28 00:14:00+00:00,9.1681,9.1682,9.1681,9.1679
2019-11-28 00:15:00+00:00,9.1681,9.1682,9.168,9.1679
2019-11-28 00:16:00+00:00,9.168,9.1695,9.1694,9.168
2019-11-28 00:17:00+00:00,9.1694,9.1695,9.1676,9.1674
2019-11-28 00:18:00+00:00,9.1677,9.1679,9.1671,9.1671
2019-11-28 00:19:00+00:00,9.1671,9.1674,9.1668,9.1667
2019-11-28 00:20:00+00:00,9.1668,9.167,9.1668,9.1662
2019-11-28 00:21:00+00:00,9.1668,9.1668,9.1666,9.1665
2019-11-28 00:22:00+00:00,9.1666,9.1666,9.166,9.1659
2019-11-28 00:23:00+00:00,9.166,9.1661,9.166,9.1659
2019-11-28 00:24:00+00:00,9.166,9.1662,9.1662,9.166
2019-11-28 00:25:00+00:00,9.1662,9.1665,9.1665,9.1662
2019-11-28 00:26:00+00:00,9.1665,9.1666,9.1664,9.1664
2019-11-28 00:27:00+00:00,9.1664,9.1665,9.1664,9.1663
2019-11-28 00:28:00+00:00,9.1664,9.1665,9.166,9.166
2019-11-28 00:29:00+00:00,9.166,9.1665,9.1664,9.166
2019-11-28 00:30:00+00:00,9.1664,9.1667,9.1663,9.1661
2019-11-28 00:31:00+00:00,9.1663,9.1664,9.1663,9.1657
2019-11-28 00:32:00+00:00,9.1663,9.1663,9.166,9.1658
2019-11-28 00:33:00+00:00,9.166,9.1689,9.1687,9.166
2019-11-28 00:34:00+00:00,9.1687,9.1688,9.1685,9.1683
2019-11-28 00:35:00+00:00,9.1685,9.169,9.1686,9.1682
2019-11-28 00:36:00+00:00,9.1686,9.1686,9.1684,9.1681
2019-11-28 00:37:00+00:00,9.1684,9.1684,9.1678,9.1674
2019-11-28 00:38:00+00:00,9.1678,9.1678,9.1671,9.167
2019-11-28 00:39:00+00:00,9.1671,9.1673,9.167,9.1668
2019-11-28 00:40:00+00:00,9.167,9.1672,9.167,9.1669
2019-11-28 00:41:00+00:00,9.167,9.167,9.167,9.1669
2019-11-28 00:42:00+00:00,9.167,9.1671,9.1665,9.1664
2019-11-28 00:43:00+00:00,9.1665,9.1666,9.1663,9.1662
2019-11-28 00:44:00+00:00,9.1663,9.1666,9.1664,9.1663
2019-11-28 00:45:00+00:00,9.1664,9.1665,9.1663,9.1662
2019-11-28 00:46:00+00:00,9.1663,9.1665,9.1659,9.1659
2019-11-28 00:47:00+00:00,9.1659,9.1667,9.1666,9.1659
2019-11-28 00:48:00+00:00,9.1666,9.1668,9.1666,9.1663
2019-11-28 00:49:00+00:00,9.1667,9.1668,9.1668,9.1663
2019-11-28 00:50:00+00:00,9.1668,9.1669,9.1668,9.1664
2019-11-28 00:51:00+00:00,9.1668,9.1669,9.1667,9.1665
2019-11-28 00:52:00+00:00,9.1667,9.167,9.1665,9.1662
2019-11-28 00:53:00+00:00,9.1665,9.1666,9.1651,9.165
2019-11-28 00:54:00+00:00,9.1651,9.1653,9.1647,9.1644
2019-11-28 00:55:00+00:00,9.1647,9.1663,9.1663,9.1645
2019-11-28 00:56:00+00:00,9.1663,9.1663,9.1661,9.166
2019-11-28 00:57:00+00:00,9.1661,9.1662,9.166,9.166
2019-11-28 00:58:00+00:00,9.166,9.1662,9.1662,9.1659
2019-11-28 00:59:00+00:00,9.1662,9.1662,9.1661,9.1659
2019-11-28 01:00:00+00:00,9.1661,9.1661,9.1661,9.1659
2019-11-28 01:01:00+00:00,9.1661,9.1661,9.1661,9.166
2019-11-28 01:02:00+00:00,9.1661,9.1661,9.1658,9.1657
2019-11-28 01:03:00+00:00,9.1658,9.1661,9.1658,9.1657
2019-11-28 01:04:00+00:00,9.1658,9.1659,9.1658,9.1656
