datetime,US_Profit
2016-02-22,1.6355221865092022
2016-02-23,1.61741732198348
2016-02-24,1.6327042090662478
2016-02-25,1.6508650698415712
2016-02-26,1.6390138482832595
2016-02-27,1.6390138482832595
2016-02-28,1.6390138482832595
2016-02-29,1.629389592103148
2016-03-01,1.6769451698193092
2016-03-02,1.660763400584802
2016-03-03,1.6687123117584202
2016-03-04,1.6794949801416101
2016-03-05,1.6794949801416101
2016-03-06,1.6794949801416101
2016-03-07,1.6994800234652194
2016-03-08,1.6524341995246523
2016-03-09,1.6541529404885913
2016-03-10,1.6527412006642748
2016-03-11,1.6917221023347389
2016-03-12,1.6917221023347389
2016-03-13,1.6917221023347389
2016-03-14,1.6964259412456393
2016-03-15,1.67764945964606
2016-03-16,1.7046411677359439
2016-03-17,1.7171290628896378
2016-03-18,1.7455705207479024
2016-03-19,1.7455705207479024
2016-03-20,1.7455705207479024
2016-03-21,1.7251369894172468
2016-03-22,1.7342564112508048
2016-03-23,1.7245687260414684
2016-03-24,1.688681467616851
2016-03-25,1.688681467616851
2016-03-26,1.688681467616851
2016-03-27,1.688681467616851
2016-03-28,1.6982559449071077
2016-03-29,1.7195527010254188
2016-03-30,1.7223715561190702
2016-03-31,1.7137043918073633
2016-04-01,1.7282466782862995
2016-04-02,1.7282466782862995
2016-04-03,1.7282466782862995
2016-04-04,1.7176297991780705
2016-04-05,1.6955072605593635
2016-04-06,1.7238599892806028
2016-04-07,1.6758678284338289
2016-04-08,1.6927333777913716
2016-04-09,1.6927333777913716
2016-04-10,1.6927333777913716
2016-04-11,1.6964299780594092
2016-04-12,1.722583928708636
2016-04-13,1.7461909974299457
2016-04-14,1.7352860249869804
2016-04-15,1.7260554620800956
2016-04-16,1.7260554620800956
2016-04-17,1.7260554620800956
2016-04-18,1.7458182890240108
2016-04-19,1.7400341927336314
2016-04-20,1.7418231055572662
2016-04-21,1.7290901865034423
2016-04-22,1.7330093260074904
2016-04-23,1.7330093260074904
2016-04-24,1.7330093260074904
2016-04-25,1.7287775367181193
2016-04-26,1.7512101335636112
2016-04-27,1.7823161216556787
2016-04-28,1.744593449981032
2016-04-29,1.7130310471493582
2016-04-30,1.7130310471493582
2016-05-01,1.7130310471493582
2016-05-02,1.6991535124554837
2016-05-03,1.665547138960906
2016-05-04,1.6528115995544361
2016-05-05,1.64174778335734
2016-05-06,1.6475404952784651
2016-05-07,1.6475404952784651
2016-05-08,1.6475404952784651
2016-05-09,1.638005204963783
2016-05-10,1.6534395877407637
2016-05-11,1.624618539437925
2016-05-12,1.6258013583731183
2016-05-13,1.6017076517565343
2016-05-14,1.6017076517565343
2016-05-15,1.6017076517565343
2016-05-16,1.628223695554564
2016-05-17,1.6151036571380484
2016-05-18,1.607592553283225
2016-05-19,1.6003744098221921
2016-05-20,1.6173817189931046
2016-05-21,1.6173817189931046
2016-05-22,1.6173817189931046
2016-05-23,1.6232046440649772
2016-05-24,1.6732181877125138
2016-05-25,1.685155594661274
2016-05-26,1.6864167500649923
2016-05-27,1.7169400422169345
2016-05-28,1.7169400422169345
2016-05-29,1.7169400422169345
2016-05-30,1.7169400422169345
2016-05-31,1.704624395021999
2016-06-01,1.7023451629091477
2016-06-02,1.7049806721920246
2016-06-03,1.6989074830132083
2016-06-04,1.6989074830132083
2016-06-05,1.6989074830132083
2016-06-06,1.708738958186077
2016-06-07,1.6952003658290824
2016-06-08,1.6927356467802683
2016-06-09,1.6817377615302682
2016-06-10,1.6490051758629032
2016-06-11,1.6490051758629032
2016-06-12,1.6490051758629032
2016-06-13,1.6256306980725603
2016-06-14,1.6128583866989041
2016-06-15,1.6199507936501605
2016-06-16,1.6309028741901166
2016-06-17,1.6254924997341988
2016-06-18,1.6254924997341988
2016-06-19,1.6254924997341988
2016-06-20,1.6639816315501963
2016-06-21,1.6595063045872194
2016-06-22,1.6606306268520186
2016-06-23,1.7022262017152938
2016-06-24,1.5877641681898624
2016-06-25,1.5877641681898624
2016-06-26,1.5877641681898624
2016-06-27,1.5140340061979738
2016-06-28,1.567888375218478
2016-06-29,1.6162939570768269
2016-06-30,1.6443985322220946
2016-07-01,1.6514140546425393
2016-07-02,1.6514140546425393
2016-07-03,1.6514140546425393
2016-07-04,1.6514140546425393
2016-07-05,1.6366879565726005
2016-07-06,1.6488928230533357
2016-07-07,1.6532597153362643
2016-07-08,1.6909776743686828
2016-07-09,1.6909776743686828
2016-07-10,1.6909776743686828
2016-07-11,1.7072278361903988
2016-07-12,1.7232700787433264
2016-07-13,1.7172220004963479
2016-07-14,1.732600020405569
2016-07-15,1.7303948742097082
2016-07-16,1.7303948742097082
2016-07-17,1.7303948742097082
2016-07-18,1.739994068337591
2016-07-19,1.7299842436308754
2016-07-20,1.7402177468426347
2016-07-21,1.7274006513043219
2016-07-22,1.747433467024329
2016-07-23,1.747433467024329
2016-07-24,1.747433467024329
2016-07-25,1.7573900941830756
2016-07-26,1.7356397883934176
2016-07-27,1.7249984017353328
2016-07-28,1.736838234374455
2016-07-29,1.7269396248650355
2016-07-30,1.7269396248650355
2016-07-31,1.7269396248650355
2016-08-01,1.7330599196805268
2016-08-02,1.724001270473034
2016-08-03,1.7310050884069317
2016-08-04,1.7356899565396446
2016-08-05,1.7548893205418028
2016-08-06,1.7548893205418028
2016-08-07,1.7548893205418028
2016-08-08,1.7528905039512366
2016-08-09,1.7568145050654
2016-08-10,1.7288784918541098
2016-08-11,1.731537750428504
2016-08-12,1.733316448395673
2016-08-13,1.733316448395673
2016-08-14,1.733316448395673
2016-08-15,1.7475582011813526
2016-08-16,1.7303860203439476
2016-08-17,1.7451186115941453
2016-08-18,1.7551367446087487
2016-08-19,1.7592154164675438
2016-08-20,1.7592154164675438
2016-08-21,1.7592154164675438
2016-08-22,1.7588949231601108
2016-08-23,1.7636229259196998
2016-08-24,1.7428396289710868
2016-08-25,1.7412787430473027
2016-08-26,1.7346567880734702
2016-08-27,1.7346567880734702
2016-08-28,1.7346567880734702
2016-08-29,1.7476242840323923
2016-08-30,1.7402333009055435
2016-08-31,1.7440671975526145
2016-09-01,1.7565707610376324
2016-09-02,1.7728755594078711
2016-09-03,1.7728755594078711
2016-09-04,1.7728755594078711
2016-09-05,1.7728755594078711
2016-09-06,1.7783226127149763
2016-09-07,1.7583354670211064
2016-09-08,1.7354225253707036
2016-09-09,1.66584430096245
2016-09-10,1.66584430096245
2016-09-11,1.66584430096245
2016-09-12,1.7034318130694408
2016-09-13,1.6658178411102318
2016-09-14,1.6665060485385044
2016-09-15,1.707131640085045
2016-09-16,1.6962001454863063
2016-09-17,1.6962001454863063
2016-09-18,1.6962001454863063
2016-09-19,1.7035699130223785
2016-09-20,1.7156888372779568
2016-09-21,1.7387129695358765
2016-09-22,1.750821521811031
2016-09-23,1.7440426221851126
2016-09-24,1.7440426221851126
2016-09-25,1.7440426221851126
2016-09-26,1.7107322839181962
2016-09-27,1.7328465981071655
2016-09-28,1.7361333035354303
2016-09-29,1.7048767035874053
2016-09-30,1.7308764898858024
2016-10-01,1.7308764898858024
2016-10-02,1.7308764898858024
2016-10-03,1.7138998796846363
2016-10-04,1.690704447014134
2016-10-05,1.6980462050690694
2016-10-06,1.7169745160323076
2016-10-07,1.6935548754196743
2016-10-08,1.6935548754196743
2016-10-09,1.6935548754196743
2016-10-10,1.7040204243339936
2016-10-11,1.6643685047294974
2016-10-12,1.6719579397843227
2016-10-13,1.658583790968767
2016-10-14,1.6658233641146478
2016-10-15,1.6658233641146478
2016-10-16,1.6658233641146478
2016-10-17,1.667262309106314
2016-10-18,1.6705056858453737
2016-10-19,1.6633152172249388
2016-10-20,1.655008922476064
2016-10-21,1.6683305237003498
2016-10-22,1.6683305237003498
2016-10-23,1.6683305237003498
2016-10-24,1.6755981648134939
2016-10-25,1.613302229740063
2016-10-26,1.6170002548720417
2016-10-27,1.592001930193836
2016-10-28,1.5959603616125801
2016-10-29,1.5959603616125801
2016-10-30,1.5959603616125801
2016-10-31,1.6011774342476959
2016-11-01,1.576273308804926
2016-11-02,1.5579085758747713
2016-11-03,1.5540576774032373
2016-11-04,1.5600924167011692
2016-11-05,1.5600924167011692
2016-11-06,1.5600924167011692
2016-11-07,1.603489871365538
2016-11-08,1.6472402943036144
2016-11-09,1.6782718586654921
2016-11-10,1.7020335051539437
2016-11-11,1.7090992165336587
2016-11-12,1.7090992165336587
2016-11-13,1.7090992165336587
2016-11-14,1.7094966256917625
2016-11-15,1.7073037894888419
2016-11-16,1.7011259648007657
2016-11-17,1.7313609486387138
2016-11-18,1.723943054104466
2016-11-19,1.723943054104466
2016-11-20,1.723943054104466
2016-11-21,1.7431440026551104
2016-11-22,1.7538503897078588
2016-11-23,1.7522951753422173
2016-11-24,1.7522951753422173
2016-11-25,1.7696703888271355
2016-11-26,1.7696703888271355
2016-11-27,1.7696703888271355
2016-11-28,1.7456577076667754
2016-11-29,1.75056881491895
2016-11-30,1.7056593289317061
2016-12-01,1.6752362415944186
2016-12-02,1.671937138173579
2016-12-03,1.671937138173579
2016-12-04,1.671937138173579
2016-12-05,1.6771071219225266
2016-12-06,1.681617644126428
2016-12-07,1.7092143146509922
2016-12-08,1.7130262272395669
2016-12-09,1.721025833992317
2016-12-10,1.721025833992317
2016-12-11,1.721025833992317
2016-12-12,1.7186719914909236
2016-12-13,1.7478780521099742
2016-12-14,1.722512406478355
2016-12-15,1.730968716419143
2016-12-16,1.7193617838004944
2016-12-17,1.7193617838004944
2016-12-18,1.7193617838004944
2016-12-19,1.719865917287264
2016-12-20,1.7143777554806574
2016-12-21,1.72356207358881
2016-12-22,1.7077650296634417
2016-12-23,1.7117277411365723
2016-12-24,1.7117277411365723
2016-12-25,1.7117277411365723
2016-12-26,1.7117277411365723
2016-12-27,1.7256273497816985
2016-12-28,1.7041071487160724
2016-12-29,1.703127790052319
2016-12-30,1.6794966051089788
2016-12-31,1.6794966051089788
2017-01-01,1.6794966051089788
2017-01-02,1.6794966051089788
2017-01-03,1.7136092496684618
2017-01-04,1.7395116016676693
2017-01-05,1.745398947044733
2017-01-06,1.7600463743056114
2017-01-07,1.7600463743056114
2017-01-08,1.7600463743056114
2017-01-09,1.7476058005552537
2017-01-10,1.7320785144652242
2017-01-11,1.740831479171336
2017-01-12,1.7391645838079364
2017-01-13,1.7554878717340068
2017-01-14,1.7554878717340068
2017-01-15,1.7554878717340068
2017-01-16,1.7554878717340068
2017-01-17,1.778185101280211
2017-01-18,1.7896703313708846
2017-01-19,1.7721576871701274
2017-01-20,1.785107089810075
2017-01-21,1.785107089810075
2017-01-22,1.785107089810075
2017-01-23,1.7903190353388956
2017-01-24,1.802382483256368
2017-01-25,1.831089991310468
2017-01-26,1.8538889858808356
2017-01-27,1.8499271674589761
2017-01-28,1.8499271674589761
2017-01-29,1.8499271674589761
2017-01-30,1.842116956413025
2017-01-31,1.8362928582373255
2017-02-01,1.8505764423779794
2017-02-02,1.8339356700789287
2017-02-03,1.8670123639453116
2017-02-04,1.8670123639453116
2017-02-05,1.8670123639453116
2017-02-06,1.8454405058646306
2017-02-07,1.8644573830999716
2017-02-08,1.8802078876172255
2017-02-09,1.8889159016313912
2017-02-10,1.9085692881791556
2017-02-11,1.9085692881791556
2017-02-12,1.9085692881791556
2017-02-13,1.9131556023718637
2017-02-14,1.9115924454213689
2017-02-15,1.932182314162048
2017-02-16,1.9508592829695628
2017-02-17,1.978279276575381
2017-02-18,1.978279276575381
2017-02-19,1.978279276575381
2017-02-20,1.978279276575381
2017-02-21,2.008569975071607
2017-02-22,2.001630629828019
2017-02-23,2.0119725399894786
2017-02-24,2.008965468406945
2017-02-25,2.008965468406945
2017-02-26,2.008965468406945
2017-02-27,2.0007273448598335
2017-02-28,1.9915676502112438
2017-03-01,2.019468706202446
2017-03-02,2.0110389866636584
2017-03-03,2.0054672284368595
2017-03-04,2.0054672284368595
2017-03-05,2.0054672284368595
2017-03-06,1.99371855442965
2017-03-07,1.9840912176645396
2017-03-08,1.981292678565938
2017-03-09,1.982522342157301
2017-03-10,2.0019251511891265
2017-03-11,2.0019251511891265
2017-03-12,2.0019251511891265
2017-03-13,1.999732995841811
2017-03-14,1.9910433943571784
2017-03-15,2.008563735626028
2017-03-16,2.0159883433363004
2017-03-17,2.0157208402975715
2017-03-18,2.0157208402975715
2017-03-19,2.0157208402975715
2017-03-20,2.010790039506409
2017-03-21,1.9870646442581856
2017-03-22,2.003607084063248
2017-03-23,2.010774796643378
2017-03-24,2.012025980076804
2017-03-25,2.012025980076804
2017-03-26,2.012025980076804
2017-03-27,2.0066687350790064
2017-03-28,2.0142226519015347
2017-03-29,2.0104365852027053
2017-03-30,2.0076577557979545
2017-03-31,2.005103399038514
2017-04-01,2.005103399038514
2017-04-02,2.005103399038514
2017-04-03,2.0086216824563756
2017-04-04,2.009240307375684
2017-04-05,1.9988483064334481
2017-04-06,2.0089890133243813
2017-04-07,2.0059678623728434
2017-04-08,2.0059678623728434
2017-04-09,2.0059678623728434
2017-04-10,2.0064958853586408
2017-04-11,2.008750025145538
2017-04-12,2.004547697817098
2017-04-13,1.9868606946654959
2017-04-14,1.9868606946654959
2017-04-15,1.9868606946654959
2017-04-16,1.9868606946654959
2017-04-17,2.018684164651119
2017-04-18,2.0174918804370066
2017-04-19,2.036288082321457
2017-04-20,2.0647955620894494
2017-04-21,2.0598244629889075
2017-04-22,2.0598244629889075
2017-04-23,2.0598244629889075
2017-04-24,2.0836337471714343
2017-04-25,2.10509330526026
2017-04-26,2.09170920508968
2017-04-27,2.121850827726825
2017-04-28,2.0882443844444123
2017-04-29,2.0882443844444123
2017-04-30,2.0882443844444123
