datetime,US_Trading_factortest
2009-12-31,0.0
2010-01-01,-0.0030000000000000027
2010-01-02,-0.0030000000000000027
2010-01-03,-0.0030000000000000027
2010-01-04,0.015582364398575299
2010-01-05,0.011643658492286324
2010-01-06,0.013110540795721715
2010-01-07,0.0104193080252728
2010-01-08,0.009373802127014663
2010-01-09,0.009373802127014663
2010-01-10,0.009373802127014663
2010-01-11,0.011954268631258591
2010-01-12,-0.003943243997552193
2010-01-13,0.01770494142058321
2010-01-14,0.016907135708582155
2010-01-15,0.004192421478842245
2010-01-16,0.004192421478842245
2010-01-17,0.004192421478842245
2010-01-18,0.004192421478842245
2010-01-19,0.006704257850782325
2010-01-20,-0.0070178263756055514
2010-01-21,-0.0338651052139598
2010-01-22,-0.05184639942430569
2010-01-23,-0.05184639942430569
2010-01-24,-0.05184639942430569
2010-01-25,-0.04782756676993993
2010-01-26,-0.053446497579688
2010-01-27,-0.04502078402014287
2010-01-28,-0.04183371360627275
2010-01-29,-0.045174831898102674
2010-01-30,-0.045174831898102674
2010-01-31,-0.045174831898102674
2010-02-01,-0.03031854139573864
2010-02-02,-0.026366672819330805
2010-02-03,-0.02900391611491937
2010-02-04,-0.053495905161303536
2010-02-05,-0.03871614847530436
2010-02-06,-0.03871614847530436
2010-02-07,-0.03871614847530436
2010-02-08,-0.05083846837950734
2010-02-09,-0.04576296722535955
2010-02-10,-0.03644906777425749
2010-02-11,-0.020270874324848753
2010-02-12,-0.01742719096280876
2010-02-13,-0.01742719096280876
2010-02-14,-0.01742719096280876
2010-02-15,-0.01742719096280876
2010-02-16,-0.0014521938602473083
2010-02-17,0.0013609120517594775
2010-02-18,0.008341582119354207
2010-02-19,0.009761756881016881
2010-02-20,0.009761756881016881
2010-02-21,0.009761756881016881
2010-02-22,0.011242700141452344
2010-02-23,0.0020466191553250024
2010-02-24,0.007755299932893811
2010-02-25,0.012921531455784008
2010-02-26,0.015002820640107162
2010-02-27,0.015002820640107162
2010-02-28,0.015002820640107162
2010-03-01,0.028460172054693533
2010-03-02,0.040989729174459644
2010-03-03,0.038917737294164256
2010-03-04,0.04604230341665705
2010-03-05,0.055788990194109545
2010-03-06,0.055788990194109545
2010-03-07,0.055788990194109545
2010-03-08,0.05874232725470385
2010-03-09,0.060067637035033705
2010-03-10,0.05690742042329022
2010-03-11,0.06116383988983731
2010-03-12,0.05648316021290123
2010-03-13,0.05648316021290123
2010-03-14,0.05648316021290123
2010-03-15,0.05826786404989548
2010-03-16,0.06793862249661631
2010-03-17,0.07412965747281808
2010-03-18,0.07278574463365173
2010-03-19,0.06828295250208072
2010-03-20,0.06828295250208072
2010-03-21,0.06828295250208072
2010-03-22,0.07939705769029182
2010-03-23,0.08518726189228021
2010-03-24,0.07552540707206834
2010-03-25,0.06345595663858661
2010-03-26,0.06473736426982168
2010-03-27,0.06473736426982168
2010-03-28,0.06473736426982168
2010-03-29,0.0702524591873459
2010-03-30,0.06386568940875459
2010-03-31,0.05917377883422814
2010-04-01,0.0813370685355097
2010-04-02,0.0813370685355097
2010-04-03,0.0813370685355097
2010-04-04,0.0813370685355097
2010-04-05,0.09179201882643984
2010-04-06,0.09555442909298284
2010-04-07,0.0994647541696605
2010-04-08,0.09770334080935816
2010-04-09,0.10798441709336437
2010-04-10,0.10798441709336437
2010-04-11,0.10798441709336437
2010-04-12,0.10555630520768466
2010-04-13,0.10551160043614738
2010-04-14,0.11501999502553306
2010-04-15,0.11741981026311832
2010-04-16,0.09553806938442722
2010-04-17,0.09553806938442722
2010-04-18,0.09553806938442722
2010-04-19,0.08515778181582911
2010-04-20,0.09640461647165566
2010-04-21,0.0914694304175725
2010-04-22,0.09822781891122068
2010-04-23,0.11710914608377232
2010-04-24,0.11710914608377232
2010-04-25,0.11710914608377232
2010-04-26,0.10393607842024477
2010-04-27,0.08843767848738993
2010-04-28,0.09585060176563776
2010-04-29,0.1214727952884449
2010-04-30,0.10382832712305756
2010-05-01,0.10382832712305756
2010-05-02,0.10382832712305756
2010-05-03,0.11011124815943774
2010-05-04,0.08075005435934868
2010-05-05,0.07118256154514446
2010-05-06,0.052522290981434905
2010-05-07,0.03603393392409937
2010-05-08,0.03603393392409937
2010-05-09,0.03603393392409937
2010-05-10,0.07498490100294952
2010-05-11,0.08582712112398072
2010-05-12,0.11058893496727662
2010-05-13,0.10139983831623844
