datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027
2015-01-02,-0.0017913087724243937,-0.0025075936976318713,-0.0038494145828639192,-0.0017239823341095306,-0.0039039795197162164,-0.004819005970504442,-0.002902216090243437,-0.0094108043138047,-0.006369592209178321,-0.009973931794838742,-0.003430566241994115,-0.008818058876623791,-0.003507753828828064,-0.0028141287760284905,-0.006811800934932055,-0.006911698689948342,-0.0012672558412728518,-0.0028073029837732966,-0.0010202124012530511,0.00033213863008563216,-0.002145184486817886,-0.0023098727919752537,-0.00647708604207442,-0.0010925214099248848,-0.006316677138138216,-0.00453414439687061,0.0008727013821248075,-0.003145086529962815,-0.0015783800838254924,-0.0006032832579796477,-0.006996331997111693
2015-01-03,-0.0017913087724243937,-0.0025075936976318713,-0.0038494145828639192,-0.0017239823341095306,-0.0039039795197162164,-0.004819005970504442,-0.002902216090243437,-0.0094108043138047,-0.006369592209178321,-0.009973931794838742,-0.003430566241994115,-0.008818058876623791,-0.003507753828828064,-0.0028141287760284905,-0.006811800934932055,-0.006911698689948342,-0.0012672558412728518,-0.0028073029837732966,-0.0010202124012530511,0.00033213863008563216,-0.002145184486817886,-0.0023098727919752537,-0.00647708604207442,-0.0010925214099248848,-0.006316677138138216,-0.00453414439687061,0.0008727013821248075,-0.003145086529962815,-0.0015783800838254924,-0.0006032832579796477,-0.006996331997111693
2015-01-04,-0.0017913087724243937,-0.0025075936976318713,-0.0038494145828639192,-0.0017239823341095306,-0.0039039795197162164,-0.004819005970504442,-0.002902216090243437,-0.0094108043138047,-0.006369592209178321,-0.009973931794838742,-0.003430566241994115,-0.008818058876623791,-0.003507753828828064,-0.0028141287760284905,-0.006811800934932055,-0.006911698689948342,-0.0012672558412728518,-0.0028073029837732966,-0.0010202124012530511,0.00033213863008563216,-0.002145184486817886,-0.0023098727919752537,-0.00647708604207442,-0.0010925214099248848,-0.006316677138138216,-0.00453414439687061,0.0008727013821248075,-0.003145086529962815,-0.0015783800838254924,-0.0006032832579796477,-0.006996331997111693
2015-01-05,-0.01911507583668537,-0.02016039256528912,-0.01845812946077552,-0.0181864915081833,-0.02127209516428341,-0.0264907660300705,-0.021599522541087546,-0.022543771798963053,-0.02349075751492602,-0.023557038743191372,-0.019611947327672907,-0.02218895091747286,-0.022203014154752454,-0.021771772312460635,-0.025387690497501003,-0.022828671450062177,-0.016415067676442074,-0.01873763770847614,-0.013526262433486091,-0.01272921703372687,-0.019660985025861777,-0.011664514384981506,-0.0199120033484953,-0.012457679530034182,-0.017633810519330995,-0.018410684808118694,-0.023903513567307022,-0.021623934510811127,-0.02925084288696067,-0.02014734816569852,-0.020808405612679826
2015-01-06,-0.029700663232281488,-0.02992451545305741,-0.021033540165839026,-0.03244284003908593,-0.03873168161292084,-0.045198184805486874,-0.035795961738023685,-0.030546943739062193,-0.02949856049555455,-0.03132715592267066,-0.02888472504675943,-0.030113621627772758,-0.03336699537883414,-0.032687541148413546,-0.042210481393228694,-0.032702103534905325,-0.03496872273937457,-0.024550552048295815,-0.028541068147454607,-0.025851786815731748,-0.033643649838376755,-0.009714826996176651,-0.02344766814624888,-0.028150457197704593,-0.03601860328567219,-0.037484900062939364,-0.025931322809685797,-0.030325957451639796,-0.04332861393374876,-0.0337077443948085,-0.0242510324299412
2015-01-07,-0.009339781133504088,-0.012438839961958492,-0.013267323795526864,-0.027317827826802588,-0.033001568066741815,-0.039206088971539765,-0.022027188943960718,-0.017380047294396128,-0.013063024291533831,-0.0160775781465039,-0.016743429077914707,-0.012682455516277003,-0.0233779830053793,-0.022677350646847283,-0.030513516911226723,-0.019338075278765965,-0.02297603981136509,-0.01288522072302789,-0.01627678868392579,-0.013647053517601648,-0.0316103726361906,0.0030150952238565676,-0.010500004391583162,-0.01164589212341216,-0.01827139381094145,-0.028258552621107103,-0.01619478839318922,-0.02568663397264337,-0.03393922624823231,-0.027246014680436192,-0.011892126315315776
2015-01-08,0.012712217872196119,0.0068199262795400895,0.004698168246339396,0.002513506596534265,-0.00150437954235072,-0.019227067015749166,-0.005550071940841006,0.0004488717477835191,0.0046765032944176,0.0012637627041121036,0.0011407348486922597,0.0036310177650593634,-0.006091894346435089,-0.0040860270024237755,-0.010436071856243512,-0.0021116210380464073,-0.008695387945467536,0.005679036088064526,-0.0015271711693100043,0.0034266560914539834,-0.015131591531006738,0.015572928454042234,0.005999368126005988,0.0035015411830636722,-0.0033707096526200964,-0.012593462391732979,-0.005208626596662214,-0.00426741968905664,-0.008769926120399063,-0.007429363172981707,0.002683239689567074
2015-01-09,0.007642625387061619,0.0009844069211988327,-0.0034974743073342696,-0.003974543745952186,-0.00948702022942327,-0.0284212284403893,-0.018505543033513483,-0.00824879403499712,-0.0008701846256246037,-0.007664877331029829,-0.0017604232080653537,-0.006979109817030649,-0.009368068355075754,-0.00796089497926511,-0.018886009208898602,-0.007955563311456526,-0.01825140305993067,-0.002700557857964858,-0.008713715937151978,-0.003168703333660372,-0.024370248672145545,0.013456496699363996,0.002412890765562725,-0.0018642112520285137,-0.01029122402525684,-0.016283452057490155,-0.011070654465464402,-0.011595825398553083,-0.0195692559086299,-0.01660809333658475,-0.000684946659685548
