datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027
2015-01-02,-0.0003035815554086607,-0.0046963414500896805,-0.001034877163468395,-0.000940683291780986,-0.0036593336886280303,-0.0034964665140750917,-0.009287481676243048,-0.0009950950902591904,-0.0038959813164359813,-0.0010166550170833677,-0.004602334564852595,-0.00026251679750732837,-0.0038842933006387748,-0.0028066350883598767,-0.0015210672491235977,-0.005829323988772561,-0.004966575173815491,-0.002244519122033495,-0.0005893730179256096,-0.004450459487048142,-0.003976009381481571
2015-01-03,-0.0003035815554086607,-0.0046963414500896805,-0.001034877163468395,-0.000940683291780986,-0.0036593336886280303,-0.0034964665140750917,-0.009287481676243048,-0.0009950950902591904,-0.0038959813164359813,-0.0010166550170833677,-0.004602334564852595,-0.00026251679750732837,-0.0038842933006387748,-0.0028066350883598767,-0.0015210672491235977,-0.005829323988772561,-0.004966575173815491,-0.002244519122033495,-0.0005893730179256096,-0.004450459487048142,-0.003976009381481571
2015-01-04,-0.0003035815554086607,-0.0046963414500896805,-0.001034877163468395,-0.000940683291780986,-0.0036593336886280303,-0.0034964665140750917,-0.009287481676243048,-0.0009950950902591904,-0.0038959813164359813,-0.0010166550170833677,-0.004602334564852595,-0.00026251679750732837,-0.0038842933006387748,-0.0028066350883598767,-0.0015210672491235977,-0.005829323988772561,-0.004966575173815491,-0.002244519122033495,-0.0005893730179256096,-0.004450459487048142,-0.003976009381481571
2015-01-05,-0.018734719812192324,-0.021122204019599522,-0.029299583804277662,-0.0230923890005037,-0.021310806731001164,-0.019198321093032766,-0.025278798344182674,-0.021465887915868787,-0.014086871610347718,-0.017449839246181154,-0.01344191946213924,-0.018661950789813475,-0.013029861330510206,-0.02761649487454565,-0.01948380181452214,-0.027326154751626253,-0.025431409999725818,-0.018319639901277163,-0.01949489962950579,-0.023443468500075726,-0.021481759301140158
2015-01-06,-0.025262769954741082,-0.03095804106721478,-0.03414738801369166,-0.03728557986290104,-0.03249422965139037,-0.027534331236899523,-0.031994753127485676,-0.03741692095317162,-0.018031841012877137,-0.03265795697010565,-0.018401380543380363,-0.03231758818565755,-0.017352700375992236,-0.03258601310919096,-0.02717849002675865,-0.04620964614897771,-0.03604210844788336,-0.022345425437071964,-0.03175160613421324,-0.037744348238686,-0.032361938030655124
2015-01-07,-0.022101913063656498,-0.01219525222537432,-0.024225948878586312,-0.0338328321537974,-0.01575421777902286,-0.0156578875649227,-0.016723086021883105,-0.030116776771010656,-0.009370314659258971,-0.027636709796871606,-0.005859637806547302,-0.026100630579989903,-0.006631400202207982,-0.016172234435402943,-0.0037982730560611744,-0.036965119507502586,-0.023850184796674667,-0.01098702071889035,-0.019381377850621884,-0.0313023479148804,-0.02505298446473303
2015-01-08,-0.00790117442182725,0.0002563539165454376,-0.005812462210331826,-0.02125052529124405,0.0009967306249893948,-0.0027973319083889336,0.003170369052198918,-0.0178767158986477,0.004448402941386043,-0.010965052967607303,0.0068724569557974124,-0.010266629056251753,0.006049033600336484,-0.0008836651922609073,0.01189024890387036,-0.02171369196695616,-0.005691353779753494,0.005206729634137375,-0.003334826039172345,-0.016534826189677165,-0.009186811175888931
2015-01-09,-0.015732538223305115,-0.0009113287689851424,-0.007386718105381496,-0.030902268103709885,-0.006294970427697111,-0.010764383258792587,-0.007872319592674093,-0.02686913157993931,0.00224659727665677,-0.015675901247391266,0.002894046996967381,-0.01385030662396114,0.0025078650985768114,-0.0031302203166273523,0.010109518522446681,-0.03874874045657273,-0.017373648904486783,-0.0030212881298704586,-0.012920022886223737,-0.018541981659716877,-0.010369184849201685
2015-01-10,-0.015732538223305115,-0.0009113287689851424,-0.007386718105381496,-0.030902268103709885,-0.006294970427697111,-0.010764383258792587,-0.007872319592674093,-0.02686913157993931,0.00224659727665677,-0.015675901247391266,0.002894046996967381,-0.01385030662396114,0.0025078650985768114,-0.0031302203166273523,0.010109518522446681,-0.03874874045657273,-0.017373648904486783,-0.0030212881298704586,-0.012920022886223737,-0.018541981659716877,-0.010369184849201685
2015-01-11,-0.015732538223305115,-0.0009113287689851424,-0.007386718105381496,-0.030902268103709885,-0.006294970427697111,-0.010764383258792587,-0.007872319592674093,-0.02686913157993931,0.00224659727665677,-0.015675901247391266,0.002894046996967381,-0.01385030662396114,0.0025078650985768114,-0.0031302203166273523,0.010109518522446681,-0.03874874045657273,-0.017373648904486783,-0.0030212881298704586,-0.012920022886223737,-0.018541981659716877,-0.010369184849201685
2015-01-12,-0.017171318636273858,-0.00022178612805856535,-0.010990870555562249,-0.04047630349048925,-0.008698360238679537,-0.010887020536436975,-0.01384933193805482,-0.03244677879976865,-0.0008424762360875748,-0.02168188856625708,0.004257433346514183,-0.019239216839960327,0.0025697979863816833,-0.007600454132037027,0.012438203379675938,-0.046357820618312284,-0.03559977289340455,-0.00943869167036715,-0.02178766829176615,-0.029575946910900486,-0.01742655005239413
2015-01-13,-0.01822746977472578,-0.0064981784503117535,-0.01805751467775607,-0.043344625073015286,-0.01345683428003197,-0.020455691527778597,-0.012946625825991931,-0.03510121397652055,-0.002210464177113458,-0.02343767891142068,0.0025666498115519687,-0.02038334020946464,0.0031685964288195034,-0.01375885383613129,0.00515949119082415,-0.05079890761886785,-0.038578801737962354,-0.009792842476758046,-0.024436828857760884,-0.035012789745771045,-0.021432102019632304
2015-01-14,-0.014087027039457412,-0.008277071052613993,-0.03262093239606423,-0.046246900767535015,-0.01869390913239022,-0.0324059804396758,-0.01634557796022218,-0.04091505186112876,-0.005070433825484222,-0.022425295309670412,0.0011431261313223917,-0.019138124588171213,0.0011910913407240376,-0.029719848210348232,-0.0073288595786541455,-0.061981146306145596,-0.04718341516512736,-0.01677601142346663,-0.02235168145985078,-0.04936367848985446,-0.030851684702189575
