,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartGlobal Max-Growth,0.19097114699999998,0.06009969304284235,0.06324780198616375,0.5746190681977047,-0.1348149220520849
Benchmark-Growth,0.24943445600000003,0.07720116830036461,0.07581891012239353,0.7049015636612188,-0.12402084807499758
