,SmartGlobal Max-Growth,Benchmark-Growth
2016/10/26,1.053178871,1.030883652
2016/10/27,1.049793835,1.02775123
2016/10/28,1.048036092,1.026362005
2016/10/31,1.048905501,1.02679613
2016/11/1,1.045880348,1.024574346
2016/11/2,1.040674373,1.020190962
2016/11/3,1.039953995,1.017661053
2016/11/4,1.036803537,1.015532594
2016/11/7,1.049705222,1.024395119
2016/11/8,1.051147901,1.026357286
2016/11/9,1.049265444,1.022200232
2016/11/10,1.042599103,1.022519226
2016/11/11,1.042583931,1.019084284
2016/11/14,1.036816614,1.014450358
2016/11/15,1.044108291,1.017806168
2016/11/16,1.040755371,1.017600048
2016/11/17,1.042718999,1.019381007
2016/11/18,1.03899472,1.014736855
2016/11/21,1.045241779,1.019177992
2016/11/22,1.049122107,1.021094475
2016/11/23,1.045987203,1.019062524
2016/11/25,1.049255465,1.022447436
2016/11/28,1.04826081,1.021624243
2016/11/29,1.050193939,1.02261161
2016/11/30,1.049218751,1.020801759
2016/12/1,1.046033568,1.017812
2016/12/2,1.046647154,1.018671163
2016/12/5,1.050549869,1.021821268
2016/12/6,1.053533444,1.025442588
2016/12/7,1.062391124,1.033984831
2016/12/8,1.063401444,1.035382344
2016/12/9,1.064502268,1.036170344
2016/12/12,1.060408075,1.035804853
2016/12/13,1.065423265,1.040746692
2016/12/14,1.053956156,1.036168436
2016/12/15,1.054418791,1.030827465
2016/12/16,1.053572327,1.0303338
2016/12/19,1.054348136,1.032523106
2016/12/20,1.05578675,1.033041076
2016/12/21,1.055637882,1.033244428
2016/12/22,1.053382588,1.031809055
2016/12/23,1.054207453,1.032400493
2016/12/27,1.056107775,1.032712415
2016/12/28,1.053008854,1.031172354
2016/12/29,1.05623021,1.033319618
2016/12/30,1.054936463,1.034032423
2017/1/3,1.061099,1.036586107
2017/1/4,1.068313186,1.041991552
2017/1/5,1.071656343,1.047468612
2017/1/6,1.069629892,1.046537432
2017/1/9,1.068232624,1.04519185
2017/1/10,1.06926019,1.046579667
2017/1/11,1.072128731,1.046455188
2017/1/12,1.072023424,1.049100294
2017/1/13,1.07357919,1.050139052
2017/1/17,1.073096028,1.049529021
2017/1/18,1.071439631,1.049295761
