,SmartGlobal Max-Growth,Benchmark-Growth
2016/3/31,1,1
2016/4/1,0.996442896,0.999291885
2016/4/4,0.997032776,0.995877647
2016/4/5,0.989723602,0.988975877
2016/4/6,0.993810581,0.996853867
2016/4/7,0.991237048,0.98782227
2016/4/8,0.994662816,0.994267037
2016/4/11,0.995372648,0.99643814
2016/4/12,0.998992289,1.003851336
2016/4/13,1.007664981,1.012531273
2016/4/14,1.009435865,1.011533981
2016/4/15,1.009668282,1.010319455
2016/4/18,1.010744857,1.014134761
2016/4/19,1.017184955,1.020638081
2016/4/20,1.016562199,1.018717055
2016/4/21,1.015210713,1.014007171
2016/4/22,1.012986262,1.014394799
2016/4/25,1.01118863,1.011169246
2016/4/26,1.011993568,1.015246428
2016/4/27,1.013334943,1.017945117
2016/4/28,1.011076943,1.012115468
2016/4/29,1.00918976,1.010542748
2016/5/2,1.009571147,1.013403964
2016/5/3,1.004087606,1.004806986
2016/5/4,0.998911683,0.999230306
2016/5/5,0.998399118,0.999911485
2016/5/6,0.998290878,0.999896012
2016/5/9,0.998223923,0.996227838
2016/5/10,1.005084068,1.005389759
2016/5/11,1.002694397,1.001551247
2016/5/12,1.000816754,1.001310969
2016/5/13,0.996359721,0.994968314
2016/5/16,0.999687904,1.001981701
2016/5/17,0.997642567,0.997782493
2016/5/18,0.994639866,0.994774178
2016/5/19,0.990159588,0.991280479
2016/5/20,0.99432943,0.996562056
2016/5/23,0.993315399,0.99522966
2016/5/24,0.999119699,1.002296099
2016/5/25,1.004584949,1.007291236
2016/5/26,1.006985552,1.008351355
2016/5/27,1.008471255,1.009538372
2016/5/31,1.008132549,1.011297624
2016/6/1,1.007335291,1.011166068
2016/6/2,1.008471755,1.013736099
2016/6/3,1.012561113,1.018148541
2016/6/6,1.015352191,1.0216093
2016/6/7,1.019217226,1.025129293
2016/6/8,1.021624823,1.02793019
2016/6/9,1.018366905,1.02356101
2016/6/10,1.010315066,1.012288844
2016/6/13,1.003165179,1.005024264
2016/6/14,0.997572212,1.00244627
2016/6/15,0.999464005,1.005126669
2016/6/16,0.997512528,1.005440289
2016/6/17,0.999596206,1.007134235
2016/6/20,1.009443089,1.014339318
2016/6/21,1.010858713,1.016382338
2016/6/22,1.011073399,1.016599582
2016/6/23,1.018562143,1.027657338
2016/6/24,0.991571266,0.997185476
2016/6/27,0.980830774,0.98773074
2016/6/28,0.990640797,1.000921914
2016/6/29,1.003400354,1.01292939
2016/6/30,1.010407615,1.020570222
2016/7/1,1.013950268,1.023364569
2016/7/5,1.010591202,1.016474372
2016/7/6,1.00765787,1.019275423
2016/7/7,1.009557157,1.017623947
2016/7/8,1.016269542,1.028143306
2016/7/11,1.021297278,1.031922224
2016/7/12,1.025427888,1.03901635
2016/7/13,1.027748559,1.038689546
2016/7/14,1.030275451,1.042395003
2016/7/15,1.028483633,1.039942351
2016/7/18,1.029934644,1.041894665
2016/7/19,1.028593739,1.038646253
2016/7/20,1.031190524,1.041999848
2016/7/21,1.030865096,1.040168898
2016/7/22,1.031200456,1.042266377
2016/7/25,1.030052887,1.03931869
2016/7/26,1.030871524,1.041598517
2016/7/27,1.032176754,1.042575111
2016/7/28,1.032739392,1.04274738
2016/7/29,1.038302691,1.046825993
2016/8/1,1.03678487,1.042478501
2016/8/2,1.03185014,1.039507984
2016/8/3,1.030152604,1.04149297
2016/8/4,1.033133305,1.044260047
2016/8/5,1.035401037,1.047872915
2016/8/8,1.037447783,1.0501138
2016/8/9,1.041473712,1.053741397
2016/8/10,1.042189864,1.052631854
2016/8/11,1.043897205,1.056402897
2016/8/12,1.045296482,1.057158848
2016/8/15,1.046197062,1.062311399
2016/8/16,1.04304296,1.059422204
2016/8/17,1.043285724,1.059361921
2016/8/18,1.046086168,1.063235937
2016/8/19,1.043198563,1.059592237
2016/8/22,1.043861796,1.057791852
2016/8/23,1.045991134,1.059314179
2016/8/24,1.042783963,1.056951899
2016/8/25,1.04125789,1.055613236
2016/8/26,1.04002848,1.052175501
2016/8/29,1.04091382,1.056641217
2016/8/30,1.040327594,1.05537534
2016/8/31,1.038616287,1.052667031
2016/9/1,1.039644433,1.054440547
2016/9/2,1.043366643,1.060579537
2016/9/6,1.050065299,1.066914017
2016/9/7,1.050835887,1.067149169
2016/9/8,1.048358126,1.065338108
2016/9/9,1.033862408,1.047817408
2016/9/12,1.034933241,1.054017006
2016/9/13,1.026665753,1.040882954
2016/9/14,1.026695054,1.041287399
