,SmartXray Onshore-Growth,Benchmark-Growth
2016/8/5,0.962286792,0.917285126
2016/8/8,0.967532406,0.922414169
2016/8/9,0.972800378,0.92666631
2016/8/10,0.971288926,0.92622459
2016/8/11,0.968933268,0.923862586
2016/8/12,0.975156127,0.932178882
2016/8/15,0.989552315,0.945942971
2016/8/16,0.988055488,0.943792673
2016/8/17,0.988670221,0.943087937
2016/8/18,0.986387689,0.942012116
2016/8/19,0.986264877,0.942204355
2016/8/22,0.982475991,0.938285189
2016/8/23,0.983477998,0.939003177
2016/8/24,0.982024291,0.937838141
2016/8/25,0.979178371,0.93496353
2016/8/26,0.979515653,0.935279663
2016/8/29,0.978585451,0.935275995
2016/8/30,0.978904247,0.935861222
2016/8/31,0.980209155,0.937531957
2016/9/1,0.976732569,0.933801622
2016/9/2,0.975604307,0.934682604
2016/9/5,0.977789334,0.935192664
2016/9/6,0.983016155,0.938252264
2016/9/7,0.982820645,0.938371653
2016/9/8,0.983019014,0.939345555
2016/9/9,0.979763425,0.936643811
2016/9/12,0.967803101,0.926823478
2016/9/13,0.969080662,0.927377393
2016/9/14,0.965555629,0.924113267
2016/9/19,0.971225237,0.928403214
2016/9/20,0.970550117,0.928096304
2016/9/21,0.971699308,0.928656136
2016/9/22,0.975439459,0.931628535
2016/9/23,0.974462149,0.930552785
2016/9/26,0.965404502,0.922085871
2016/9/27,0.968474938,0.925167251
2016/9/28,0.967926842,0.923443555
2016/9/29,0.970935096,0.925240959
2016/9/30,0.974429584,0.926393609
2016/10/10,0.982536429,0.934857177
2016/10/11,0.984316126,0.938052086
2016/10/12,0.982903608,0.936791156
2016/10/13,0.981993802,0.937204031
2016/10/14,0.98283956,0.938003648
2016/10/17,0.979103013,0.934573801
2016/10/18,0.986994042,0.941894125
2016/10/19,0.986159358,0.942355595
2016/10/20,0.986397846,0.943194867
2016/10/21,0.986551537,0.944649466
2016/10/24,0.991302094,0.950987244
2016/10/25,0.993686234,0.951278123
2016/10/26,0.992535754,0.948208694
2016/10/27,0.991114901,0.947410141
2016/10/28,0.98988916,0.946367643
2016/10/31,0.989964088,0.945573994
2016/11/1,0.994246127,0.949012452
2016/11/2,0.990342251,0.945789895
2016/11/3,0.994373286,0.950269012
2016/11/4,0.992393053,0.949615441
2016/11/7,0.992259738,0.950812312
2016/11/8,0.995087102,0.95290018
2016/11/9,0.991372663,0.949461031
2016/11/10,0.996692058,0.956371477
2016/11/11,0.996731959,0.960076381
2016/11/14,0.996316229,0.96197967
2016/11/15,0.998081076,0.96078568
2016/11/16,0.998087328,0.959725886
2016/11/17,0.998593772,0.959741543
2016/11/18,0.996179029,0.956572036
2016/11/21,0.998971416,0.960958217
2016/11/22,1.002884538,0.966473327
2016/11/23,1.004527445,0.965350503
2016/11/24,1.006310765,0.965899963
2016/11/25,1.010314076,0.969173589
2016/11/28,1.013339757,0.971999135
2016/11/29,1.018360867,0.972953506
2016/11/30,1.013153167,0.966483026
2016/12/1,1.016330744,0.96963916
2016/12/2,1.008363798,0.963661114
2016/12/5,0.999826996,0.956921295
2016/12/6,1.000872373,0.955119069
2016/12/7,1.003710297,0.957495171
2016/12/8,1.004802108,0.956617955
2016/12/9,1.00756418,0.959692064
2016/12/12,0.9905542,0.945351046
2016/12/13,0.990328164,0.944853403
2016/12/14,0.984982551,0.941464601
2016/12/15,0.976259287,0.934041352
2016/12/16,0.978993666,0.934551654
2016/12/19,0.976010329,0.932426144
2016/12/20,0.972444016,0.929031818
2016/12/21,0.97738335,0.936252535
2016/12/22,0.977518851,0.938074063
2016/12/23,0.972878513,0.934155359
2016/12/26,0.975168155,0.936983378
2016/12/27,0.975625466,0.935671458
2016/12/28,0.973542015,0.933585223
2016/12/29,0.972847037,0.933748086
2016/12/30,0.976570465,0.936361722
2017/1/3,0.981810848,0.941321008
2017/1/4,0.988687796,0.944396723
2017/1/5,0.988032399,0.944915487
2017/1/6,0.984728335,0.9430617
2017/1/9,0.988225343,0.946232777
2017/1/10,0.987653402,0.945091464
2017/1/11,0.98254084,0.940473492
