,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartXray Onshore-Growth,0.130384648,1.239611565,0.137415106,8.845545441,0.016024326
Benchmark-Growth,0.092588079,0.790618269,0.100073192,7.65957651,0.007146493
