,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2016/8/8,1.290982229,1.056668016
2016/8/9,1.294421146,1.061544995
2016/8/10,1.29860997,1.063478165
2016/8/11,1.303191532,1.065926044
2016/8/12,1.304918323,1.066866808
2016/8/15,1.307445396,1.067526844
2016/8/16,1.30880124,1.065226259
2016/8/17,1.303741351,1.065938167
2016/8/18,1.314602972,1.069466268
2016/8/19,1.308720769,1.066560116
2016/8/22,1.298083567,1.067447474
2016/8/23,1.299119139,1.070190953
2016/8/24,1.286103532,1.066170534
2016/8/25,1.279239297,1.064845377
2016/8/26,1.282683132,1.064117456
2016/8/29,1.278954756,1.062894913
2016/8/30,1.274907879,1.059924951
2016/8/31,1.260878402,1.05746149
2016/9/1,1.260690161,1.059630121
2016/9/2,1.272567365,1.0619407
2016/9/5,1.277057943,1.06368894
2016/9/6,1.287216529,1.070191613
2016/9/7,1.29248464,1.071741629
2016/9/8,1.293755335,1.069276024
2016/9/9,1.270436506,1.052497051
2016/9/12,1.267299373,1.055604883
2016/9/13,1.254927316,1.047008574
2016/9/14,1.249292719,1.046194747
2016/9/15,1.255752676,1.050734026
2016/9/19,1.255416574,1.049951119
2016/9/20,1.255421253,1.050422496
2016/9/21,1.268942188,1.05765048
2016/9/22,1.284005008,1.067433395
2016/9/23,1.276142106,1.063010476
2016/9/26,1.267583984,1.059062542
2016/9/27,1.265764039,1.06083441
2016/9/28,1.27581837,1.062695996
2016/9/29,1.281969822,1.060212809
2016/9/30,1.281401934,1.062086724
2016/10/3,1.28214524,1.06011065
2016/10/4,1.272786767,1.055782136
2016/10/5,1.270725457,1.055658977
2016/10/6,1.270661403,1.053384687
2016/10/7,1.269012574,1.05130008
2016/10/11,1.267159736,1.04445644
2016/10/12,1.265447868,1.041441887
2016/10/13,1.266273268,1.040664137
2016/10/14,1.266618529,1.040653806
2016/10/17,1.2632965,1.038786917
2016/10/18,1.273963619,1.044223126
2016/10/19,1.283851035,1.047004373
2016/10/20,1.285655489,1.045027238
2016/10/24,1.287544009,1.044752081
2016/10/25,1.28445538,1.042461193
2016/10/26,1.281645727,1.042003299
2016/10/27,1.275238893,1.038122526
2016/10/28,1.272774959,1.03630494
2016/10/31,1.272786727,1.037352091
2016/11/1,1.273039699,1.035892372
2016/11/2,1.269756338,1.034432394
2016/11/3,1.262815963,1.032132619
2016/11/4,1.258821792,1.030656744
2016/11/7,1.268299693,1.037125295
2016/11/8,1.269746004,1.038948949
2016/11/9,1.266808641,1.037736508
2016/11/10,1.250116744,1.035268126
2016/11/11,1.230406127,1.032826374
2016/11/14,1.220665577,1.026258736
2016/11/15,1.23337959,1.029898582
2016/11/16,1.238268392,1.02762291
2016/11/17,1.2374816,1.030505411
2016/11/18,1.232346934,1.023617788
2016/11/21,1.243774841,1.029200324
2016/11/22,1.2477538,1.029881771
2016/11/23,1.243383466,1.02606162
2016/11/24,1.240947129,1.027640057
2016/11/25,1.239755661,1.03090765
2016/11/28,1.239440148,1.029502159
2016/11/29,1.237310523,1.030780316
2016/11/30,1.248863851,1.028017647
2016/12/1,1.237427123,1.025493947
2016/12/2,1.239857089,1.027526241
2016/12/5,1.245060957,1.03103925
2016/12/6,1.248151606,1.034701042
2016/12/7,1.257312411,1.043752378
2016/12/8,1.259260426,1.042351538
2016/12/9,1.258470846,1.042763918
2016/12/12,1.253054347,1.042923011
2016/12/13,1.25876379,1.048835751
2016/12/14,1.249963627,1.045652602
2016/12/15,1.23695692,1.035630903
2016/12/16,1.233817667,1.03597219
2016/12/19,1.233194595,1.039621957
2016/12/20,1.233646828,1.039076407
2016/12/21,1.235813966,1.039999251
2016/12/22,1.235026676,1.039153085
2016/12/23,1.236323693,1.040028188
2016/12/28,1.241875987,1.036489516
2016/12/29,1.251979738,1.039897677
2016/12/30,1.254514835,1.040252601
2017/1/3,1.262236855,1.039371224
2017/1/4,1.27110392,1.046552953
2017/1/5,1.282071121,1.053217026
2017/1/6,1.282781006,1.051670392
2017/1/9,1.278556641,1.049409353
2017/1/10,1.28008418,1.051608434
2017/1/11,1.283407512,1.049043019
2017/1/12,1.288403487,1.055258743
2017/1/13,1.287159583,1.055487972
2017/1/16,1.287531724,1.05408446
2017/1/17,1.291121369,1.056851545
2017/1/18,1.290680385,1.056754863
2017/1/19,1.285018878,1.049701177
2017/1/20,1.289710659,1.052645442
2017/1/23,1.295684374,1.05566217
2017/1/24,1.302551008,1.058415698
2017/1/25,1.304978584,1.062575649
2017/1/26,1.301997526,1.060073387
2017/1/27,1.300995693,1.060541135
2017/2/1,1.296663907,1.058462513
2017/2/2,1.30182395,1.060708374
2017/2/3,1.307577745,1.064089539
2017/2/6,1.309203447,1.061408639
2017/2/7,1.308367873,1.060932909
2017/2/8,1.312420752,1.064382891
2017/2/9,1.316952745,1.064816977
2017/2/10,1.320363986,1.066205637
2017/2/13,1.324006595,1.068755414
2017/2/14,1.323789065,1.067605227
2017/2/15,1.3267866,1.070699558
2017/2/16,1.327354866,1.074625654
2017/2/17,1.324302326,1.074675385
2017/2/20,1.324822358,1.074563542
2017/2/21,1.329185056,1.075423074
