,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartXray Offshore-Growth,0.068574156,0.529837482,0.047686755,10.94722181,0.007601667
Benchmark Offshore-Growth,0.071663438,0.558411491,0.06731021,8.180207632,0.007611347
