,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown,Max Daily Drop,Calmar Ratio,99% VaR,Total Return_1095,Return p.a._1095,Volatility_1095,Sharpe Ratio_1095,Max Drawdown_1095,Max Daily Drop_1095,Calmar Ratio_1095,99% VaR_1095,Total Return_365,Return p.a._365,Volatility_365,Sharpe Ratio_365,Max Drawdown_365,Max Daily Drop_365,Calmar Ratio_365,99% VaR_365,Total Return_YTD,Return p.a._YTD,Volatility_YTD,Sharpe Ratio_YTD,Max Drawdown_YTD,Max Daily Drop_YTD,Calmar Ratio_YTD,99% VaR_YTD,Total Return_180,Return p.a._180,Volatility_180,Sharpe Ratio_180,Max Drawdown_180,Max Daily Drop_180,Calmar Ratio_180,99% VaR_180,Total Return_90,Return p.a._90,Volatility_90,Sharpe Ratio_90,Max Drawdown_90,Max Daily Drop_90,Calmar Ratio_90,99% VaR_90,Total Return_30,Return p.a._30,Volatility_30,Sharpe Ratio_30,Max Drawdown_30,Max Daily Drop_30,Calmar Ratio_30,99% VaR_30,Total Return2017,Return p.a.2017,Volatility2017,Sharpe Ratio2017,Max Drawdown2017,Max Daily Drop2017,Calmar Ratio2017,99% VaR2017,Total Return2018,Return p.a.2018,Volatility2018,Sharpe Ratio2018,Max Drawdown2018,Max Daily Drop2018,Calmar Ratio2018,99% VaR2018,Total Return2019,Return p.a.2019,Volatility2019,Sharpe Ratio2019,Max Drawdown2019,Max Daily Drop2019,Calmar Ratio2019,99% VaR2019
NET_MARGIN',0.912171325,0.198784758,0.244632783,0.812584299,-0.291512748,-0.122190283,0.681907599,-0.034912408,0.620153436,0.17449737,0.261942332,0.666167125,-0.291512748,-0.122190283,0.598592587,-0.037505915,0.216880697,0.216880697,0.362933173,0.597577497,-0.291512748,-0.122190283,0.743983576,-0.052000161,0.083537455,0.147384765,0.452112152,0.325991602,-0.291512748,-0.122190283,0.505586001,-0.065123197,0.111177156,0.238335626,0.482923175,0.493527,-0.289840694,-0.122190283,0.8222987,-0.069278302,0.188257689,1.012816737,0.24434074,4.145099739,-0.068732422,-0.122190283,14.73564741,-0.032850479,0.063477879,1.114444421,0.185296879,6.014372317,-0.020689102,-0.122190283,53.86625422,-0.024080657,0.331808813,0.334975117,0.123656855,2.70890858,-0.056967333,-0.122190283,5.880126401,-0.016894869,-0.06860804,-0.068789887,0.211660469,-0.325001109,-0.21080825,-0.122190283,-0.326314967,-0.031127582,0.422684186,0.424062768,0.187770302,2.258412348,-0.130163719,-0.122190283,3.257918347,-0.025972068
GROSS_PROFIT_MARGIN_SEMI',1.278527175,0.25902268,0.244613522,1.058905815,-0.296728395,-0.127884458,0.872928527,-0.034714545,0.981548101,0.256034417,0.261952387,0.977408223,-0.296728395,-0.127884458,0.862857823,-0.037240293,0.285268119,0.285268119,0.363501683,0.784777986,-0.296728395,-0.127884458,0.961377892,-0.051864636,0.217824232,0.401712918,0.452214079,0.888324659,-0.296728395,-0.127884458,1.353806799,-0.064341126,0.224711703,0.508388182,0.483215826,1.052093402,-0.296728395,-0.127884458,1.713311537,-0.068546008,0.261456385,1.565033082,0.238138169,6.571953955,-0.058760224,-0.127884458,26.63422587,-0.030997909,0.059430019,1.018580197,0.214505713,4.748499164,-0.032178785,-0.127884458,31.65378047,-0.028509291,0.272611357,0.275156354,0.123842758,2.221820311,-0.056724004,-0.127884458,4.850792159,-0.017104016,0.05496782,0.055122918,0.216576356,0.254519557,-0.170242387,-0.127884458,0.323790796,-0.031345591,0.39358863,0.394859833,0.182175951,2.167464099,-0.108217959,-0.127884458,3.648745889,-0.025240682
OPCF_MARGIN_SEMI',0.833138085,0.184715247,0.237656649,0.77723576,-0.30446749,-0.124091518,0.606682988,-0.03394634,0.552471059,0.157909199,0.254817367,0.619695593,-0.30446749,-0.124091518,0.518640592,-0.036528312,0.169182631,0.169182631,0.360066944,0.469864378,-0.30446749,-0.124091518,0.555667308,-0.051743498,0.06841403,0.120078806,0.449938836,0.266878066,-0.30446749,-0.124091518,0.394389583,-0.064903967,0.111884203,0.239933953,0.480940492,0.498884908,-0.30446749,-0.124091518,0.788044572,-0.06898587,0.196273665,1.06845505,0.250043943,4.273069113,-0.071623274,-0.124091518,14.91770756,-0.033571561,0.053973379,0.895660847,0.197211573,4.541624168,-0.027256231,-0.124091518,32.86077372,-0.026241898,0.285044425,0.287718035,0.112808035,2.550510117,-0.052896385,-0.124091518,5.439275914,-0.015457593,-0.022033492,-0.02209335,0.20076134,-0.110047829,-0.173549453,-0.124091518,-0.127302906,-0.029349338,0.365254052,0.366422296,0.177562839,2.06362039,-0.110604354,-0.124091518,3.312910237,-0.024651425
NET_MARGIN_SEMI',0.889372792,0.194769834,0.243868773,0.798666559,-0.291045131,-0.121188972,0.669208357,-0.034814879,0.604187941,0.170626674,0.260927554,0.653923555,-0.291045131,-0.121188972,0.586255036,-0.037371848,0.204825996,0.204825996,0.359677795,0.569470784,-0.291045131,-0.121188972,0.703760254,-0.051568734,0.089240831,0.157753478,0.447613597,0.352432276,-0.291045131,-0.121188972,0.542024111,-0.064438231,0.117715563,0.253155985,0.478174611,0.529421635,-0.28826229,-0.121188972,0.878214021,-0.068546968,0.193149789,1.046636458,0.244551764,4.279815619,-0.06782163,-0.121188972,15.43219259,-0.03281571,0.065609756,1.166596079,0.187604513,6.218379622,-0.021297113,-0.121188972,54.77719452,-0.024320576,0.31319629,0.316164824,0.124872907,2.531892873,-0.056982721,-0.121188972,5.548433286,-0.017128345,-0.050949093,-0.051085426,0.210311035,-0.242904163,-0.197603187,-0.121188972,-0.258525313,-0.030856716,0.39179281,0.393057441,0.191344099,2.054191606,-0.133296605,-0.121188972,2.948743071,-0.026578924
GROSS_PROFIT_MARGIN_TTM',1.281728856,0.259517242,0.245009044,1.059214948,-0.297998741,-0.128206751,0.870866906,-0.034770391,0.983926788,0.256536805,0.262401204,0.977651021,-0.297998741,-0.128206751,0.860865397,-0.037303813,0.28546334,0.28546334,0.363967591,0.784309775,-0.297998741,-0.128206751,0.957934716,-0.051931405,0.219585709,0.405188989,0.452621862,0.895204193,-0.297998741,-0.128206751,1.359700336,-0.06439006,0.224897746,0.508852854,0.483733897,1.051927221,-0.297998741,-0.128206751,1.707567126,-0.068619429,0.265130718,1.595468678,0.236466926,6.747111352,-0.057018056,-0.128206751,27.98181492,-0.030708912,0.058884389,1.005967859,0.213140186,4.719747483,-0.031998818,-0.128206751,31.43765709,-0.028335433,0.269544754,0.272058184,0.123401296,2.204662292,-0.05709651,-0.128206751,4.764882877,-0.017049377,0.055753633,0.055911006,0.216684004,0.258030151,-0.169826369,-0.128206751,0.329224528,-0.031358263,0.395857579,0.397137096,0.183646922,2.162503413,-0.109454411,-0.128206751,3.628333404,-0.025448132
OPCF_MARGIN_TTM',0.894550023,0.195684618,0.234607048,0.834095222,-0.293887706,-0.120069939,0.665848259,-0.033467029,0.601505132,0.169973733,0.251950464,0.674631553,-0.293887706,-0.120069939,0.578362856,-0.036071181,0.194969598,0.194969598,0.355662179,0.548187604,-0.293887706,-0.120069939,0.663415289,-0.051019909,0.0767966,0.135180047,0.443777594,0.30461215,-0.293887706,-0.120069939,0.459971766,-0.063962119,0.114136881,0.245033252,0.474605072,0.516288734,-0.293887706,-0.120069939,0.833764892,-0.068056914,0.180457787,0.959767942,0.252120175,3.806787545,-0.072824829,-0.120069939,13.17913072,-0.034084779,0.048438008,0.778020935,0.188879188,4.119145914,-0.026312094,-0.120069939,29.56894728,-0.025281553,0.291670146,0.294412708,0.107281175,2.744309118,-0.050603369,-0.120069939,5.818045598,-0.014631688,-0.011835441,-0.011867762,0.199211573,-0.059573657,-0.159972411,-0.120069939,-0.074186303,-0.029082734,0.378451548,0.379667548,0.177201395,2.142576517,-0.115175032,-0.120069939,3.29643971,-0.024560654
NET_MARGIN_TTM',0.920165287,0.200184365,0.243116483,0.823409267,-0.281531409,-0.119353179,0.711055175,-0.034687734,0.616727918,0.173669033,0.260297553,0.667194258,-0.281531409,-0.119353179,0.616872674,-0.037270162,0.227404666,0.227404666,0.357889158,0.635405295,-0.281531409,-0.119353179,0.807741727,-0.051236299,0.099547562,0.176589488,0.443697788,0.39799497,-0.281531409,-0.119353179,0.627246135,-0.063809013,0.126767534,0.273821258,0.474362629,0.577240366,-0.279920429,-0.119353179,0.978211054,-0.067933267,0.195811577,1.065216622,0.242113247,4.399662701,-0.067780686,-0.119353179,15.71563646,-0.032426218,0.058902392,1.006382856,0.183158599,5.494597907,-0.023242391,-0.119353179,43.29945444,-0.023975478,0.314474487,0.317456532,0.123653059,2.567316444,-0.057344302,-0.119353179,5.535973408,-0.016946785,-0.047741845,-0.047869814,0.212818534,-0.224932542,-0.196241809,-0.119353179,-0.2439328,-0.031207614,0.395139814,0.396416701,0.19124833,2.072785161,-0.132251255,-0.119353179,2.997451339,-0.026555467
EBITDAOA',0.917680939,0.199749848,0.250110952,0.79864495,-0.290629198,-0.121162254,0.687301377,-0.035704419,0.647146356,0.180984134,0.267719016,0.67602271,-0.290629198,-0.121162254,0.622732112,-0.038322155,0.206418313,0.206418313,0.368990522,0.559413591,-0.290629198,-0.121162254,0.710246301,-0.052910908,0.095497324,0.1691724,0.458714505,0.368796709,-0.290629198,-0.121162254,0.582090171,-0.066001453,0.122555828,0.264184797,0.489361888,0.539855686,-0.288999822,-0.121162254,0.914134812,-0.070125951,0.199676288,1.092419453,0.251047189,4.351450648,-0.067166291,-0.121162254,16.26440038,-0.033671733,0.078686008,1.513176853,0.189281828,7.994305988,-0.017901006,-0.121162254,84.53026882,-0.023981852,0.311055511,0.314001439,0.12374387,2.537511052,-0.058954209,-0.121162254,5.326191999,-0.016970419,-0.032619275,-0.032707406,0.218108395,-0.14995941,-0.200969595,-0.121162254,-0.162748032,-0.031913394,0.380214292,0.381436697,0.19697646,1.936458279,-0.136083594,-0.121162254,2.802958733,-0.027430908
EBITDAOE',0.868550898,0.1910724,0.249289144,0.766468996,-0.310068102,-0.126944009,0.616227206,-0.035613712,0.613256767,0.172828467,0.26671019,0.648000989,-0.310068102,-0.126944009,0.557388734,-0.038203015,0.202919042,0.202919042,0.371292558,0.546520628,-0.310068102,-0.126944009,0.654433787,-0.053254458,0.077320128,0.136125979,0.461328976,0.29507355,-0.310068102,-0.126944009,0.439019615,-0.066490947,0.111838537,0.23983069,0.49267038,0.48679746,-0.310068102,-0.126944009,0.773477467,-0.070677212,0.203532093,1.119827746,0.25882561,4.326572423,-0.074509367,-0.126944009,15.02935523,-0.034749684,0.076470269,1.451083732,0.188091012,7.714795722,-0.019849062,-0.126944009,73.10590798,-0.023906847,0.271106928,0.273636432,0.123456972,2.216451836,-0.064833413,-0.126944009,4.220608174,-0.017052542,-0.025768377,-0.025838247,0.216696039,-0.119237283,-0.211406479,-0.126944009,-0.122220695,-0.031680084,0.400605573,0.401902521,0.191383432,2.09998597,-0.125921345,-0.126944009,3.191694949,-0.026559573
EBITDAOA_SEMI',0.911319509,0.198635372,0.249072907,0.797498909,-0.288170291,-0.12124799,0.689298577,-0.035557415,0.629374629,0.176721395,0.266717767,0.662578265,-0.288170291,-0.12124799,0.613253346,-0.038191242,0.229584485,0.229584485,0.36752327,0.624680134,-0.288170291,-0.12124799,0.796697273,-0.05262294,0.109733192,0.19532838,0.457412139,0.427029288,-0.288170291,-0.12124799,0.677822753,-0.065725339,0.139329219,0.302782933,0.487910603,0.620570514,-0.288170291,-0.12124799,1.050708358,-0.069798529,0.207344097,1.147189738,0.250327988,4.582746607,-0.065844657,-0.12124799,17.42267008,-0.033465909,0.081658374,1.598741541,0.191040655,8.368593274,-0.018478414,-0.12124799,86.51941301,-0.024106101,0.322185434,0.325249209,0.123106454,2.642015915,-0.058363297,-0.12124799,5.572838172,-0.016843734,-0.055207547,-0.055354939,0.216674535,-0.255475055,-0.209066356,-0.12124799,-0.264772104,-0.031799201,0.378751294,0.379968383,0.195858725,1.940012539,-0.139800284,-0.12124799,2.717937133,-0.02727267
EBITDAOE_SEMI',0.839818464,0.185921207,0.249944706,0.74384935,-0.309895397,-0.126531517,0.599948269,-0.035726099,0.607820134,0.171509517,0.267424013,0.641339254,-0.309895397,-0.126531517,0.553443253,-0.038311055,0.204092481,0.204092481,0.372052656,0.548558055,-0.309895397,-0.126531517,0.658585068,-0.053360537,0.075986413,0.133716817,0.462288758,0.289249553,-0.309895397,-0.126531517,0.431490167,-0.066637872,0.112112484,0.240450221,0.493654185,0.48708231,-0.309895397,-0.126531517,0.775907687,-0.070817089,0.207410234,1.14766679,0.260307596,4.408887058,-0.074179501,-0.126531517,15.47148167,-0.034913519,0.079870353,1.546955478,0.18875662,8.195503169,-0.019450095,-0.126531517,79.5345958,-0.023852914,0.249762143,0.252073437,0.123384037,2.042998775,-0.060995908,-0.126531517,4.132628645,-0.017109716,-0.025804152,-0.025874117,0.216972626,-0.119250606,-0.213628753,-0.126531517,-0.121117203,-0.031720414,0.404412047,0.405723,0.192831958,2.104023651,-0.126799232,-0.126531517,3.199727586,-0.026759397
EBITDAOA_TTM',0.911179779,0.198610862,0.247330119,0.803019312,-0.286064532,-0.119180556,0.694286916,-0.035304506,0.644019946,0.180236462,0.265022944,0.68007871,-0.286064532,-0.119180556,0.630055254,-0.037933468,0.250353814,0.250353814,0.362625085,0.690392983,-0.286064532,-0.119180556,0.875165515,-0.051847646,0.108402847,0.192873897,0.449139147,0.429430162,-0.286064532,-0.119180556,0.674232122,-0.064539269,0.137818527,0.299282489,0.479375504,0.624317443,-0.286064532,-0.119180556,1.046206206,-0.068578005,0.207355273,1.147270344,0.245811118,4.667284186,-0.064888892,-0.119180556,17.68053534,-0.032810095,0.076883162,1.462546655,0.192846015,7.58401284,-0.019430794,-0.119180556,75.2695269,-0.024580087,0.31917869,0.322210551,0.12126514,2.657074835,-0.058645188,-0.119180556,5.494236824,-0.016584644,-0.067529203,-0.067708296,0.218762562,-0.309505864,-0.216383802,-0.119180556,-0.312908336,-0.032154823,0.401732176,0.403033266,0.197799814,2.037581627,-0.135153497,-0.119180556,2.982040976,-0.027489141
EBITDAOE_TTM',0.842844262,0.186466395,0.24918277,0.748311751,-0.306478566,-0.124617973,0.608415776,-0.035613684,0.598722959,0.169295838,0.2669271,0.634239979,-0.306478566,-0.124617973,0.552390467,-0.038246492,0.212184278,0.212184278,0.370940467,0.572017067,-0.306478566,-0.124617973,0.692329908,-0.053173074,0.073452128,0.129144869,0.459056282,0.281326874,-0.306478566,-0.124617973,0.421383036,-0.066187465,0.110929848,0.237776817,0.490363437,0.484899156,-0.306478566,-0.124617973,0.77583506,-0.070351081,0.207340122,1.147161067,0.258998897,4.429212165,-0.075279118,-0.124617973,15.23876878,-0.034724531,0.076430156,1.44997271,0.189279177,7.660497736,-0.019702415,-0.124617973,73.59365452,-0.0240814,0.24256334,0.244801725,0.120050902,2.039149402,-0.057572157,-0.124617973,4.252085366,-0.01664733,-0.03061073,-0.030693521,0.216610338,-0.141699245,-0.209770584,-0.124617973,-0.146319473,-0.031687465,0.425243959,0.426632066,0.196187268,2.174616476,-0.12547669,-0.124617973,3.400090216,-0.027188675
EBITOA',0.911187607,0.198612235,0.253248639,0.784257858,-0.299246116,-0.122702565,0.663708647,-0.036163559,0.642992453,0.179990533,0.271096935,0.663934221,-0.299246116,-0.122702565,0.601479928,-0.038815491,0.201759591,0.201759591,0.370173832,0.545040123,-0.299246116,-0.122702565,0.674226263,-0.053097318,0.084469315,0.149076227,0.459994871,0.324082368,-0.299246116,-0.122702565,0.498172638,-0.066254871,0.113449279,0.243475628,0.490820307,0.496058586,-0.295922276,-0.122702565,0.822768839,-0.070400686,0.198735964,1.085776016,0.251497106,4.317250536,-0.068985694,-0.122702565,15.73914766,-0.0337495,0.076983436,1.465337942,0.19398378,7.553919933,-0.019646319,-0.122702565,74.58587752,-0.024741109,0.314060405,0.317038072,0.126292652,2.510344573,-0.057279243,-0.122702565,5.534955704,-0.017332495,-0.03908422,-0.039189462,0.224523579,-0.174544975,-0.217437121,-0.122702565,-0.180233542,-0.032872001,0.39567853,0.396957391,0.200726961,1.977598769,-0.14015251,-0.122702565,2.832324532,-0.027931794
EBITOE',0.893395848,0.195480838,0.25448946,0.76812941,-0.31592704,-0.131401604,0.61875311,-0.036353787,0.625402999,0.175764524,0.272397886,0.645249222,-0.31592704,-0.131401604,0.556345301,-0.03901817,0.192753266,0.192753266,0.377298443,0.510877449,-0.31592704,-0.131401604,0.610119557,-0.054156876,0.065616529,0.115057851,0.468721461,0.245471694,-0.31592704,-0.131401604,0.36419121,-0.067631903,0.101366855,0.216266606,0.500215988,0.432346448,-0.31592704,-0.131401604,0.684546045,-0.071840142,0.202813813,1.114701606,0.257516223,4.328665555,-0.073875012,-0.131401604,15.08902101,-0.034569072,0.075905402,1.43548096,0.195683639,7.335722923,-0.019328553,-0.131401604,74.26737793,-0.02503613,0.303650385,0.306518343,0.125405988,2.444208193,-0.06128803,-0.131401604,5.001275799,-0.017235203,-0.032195282,-0.032282287,0.222545947,-0.145058977,-0.224100834,-0.131401604,-0.144052509,-0.032556299,0.408288392,0.409613639,0.197343771,2.075635004,-0.139149501,-0.131401604,2.943694632,-0.027404318
EBITOA_SEMI',0.880728833,0.19323847,0.253089985,0.763516858,-0.30037651,-0.122248606,0.643320844,-0.03615841,0.61470198,0.173178583,0.270941857,0.639172495,-0.30037651,-0.122248606,0.576538368,-0.038816031,0.206868492,0.206868492,0.368916362,0.56074632,-0.30037651,-0.122248606,0.688697304,-0.052898545,0.087059904,0.153783976,0.45788982,0.335853669,-0.30037651,-0.122248606,0.511970714,-0.065934808,0.117379472,0.252392001,0.488566431,0.516597099,-0.295665241,-0.122248606,0.853641097,-0.070047662,0.203438974,1.119162663,0.250711507,4.463946141,-0.068201879,-0.122248606,16.40955767,-0.033573141,0.080337986,1.56040718,0.196734062,7.931555762,-0.020383345,-0.122248606,76.55304761,-0.02499235,0.313820225,0.316795352,0.126409818,2.506097691,-0.057411592,-0.122248606,5.51796843,-0.017350297,-0.05209304,-0.052232348,0.222808438,-0.234427153,-0.226365632,-0.122248606,-0.230743278,-0.032677177,0.389220074,0.390475299,0.204548723,1.908959845,-0.149601521,-0.122248606,2.61010246,-0.028505702
EBITOE_SEMI',0.893994691,0.19558658,0.253884249,0.770376976,-0.315708847,-0.12906218,0.619515679,-0.036265629,0.6325877,0.177494372,0.271656634,0.653377646,-0.315708847,-0.12906218,0.562209054,-0.038904832,0.192769082,0.192769082,0.375028379,0.514011987,-0.315708847,-0.12906218,0.610591323,-0.053828537,0.063899097,0.111980058,0.465784734,0.24041161,-0.315708847,-0.12906218,0.354694076,-0.067219267,0.101089956,0.215646619,0.497088778,0.433819126,-0.315508217,-0.12906218,0.683489707,-0.071391445,0.208322473,1.154255076,0.260446473,4.431832233,-0.074811008,-0.12906218,15.42894697,-0.034921579,0.079213285,1.528164185,0.196751544,7.766974275,-0.019469968,-0.12906218,78.48827389,-0.025044652,0.302064277,0.30491558,0.125161142,2.436184056,-0.055307431,-0.12906218,5.513103281,-0.017204422,-0.033440337,-0.033530648,0.222648845,-0.150598796,-0.226989918,-0.12906218,-0.147718667,-0.032576377,0.414546492,0.415894875,0.198612592,2.094000537,-0.139659388,-0.12906218,2.977922802,-0.027571152
EBITOA_TTM',0.876860766,0.192551561,0.253288202,0.760207381,-0.301216736,-0.121909705,0.639245891,-0.036189438,0.61710295,0.173759778,0.271414222,0.640201448,-0.301216736,-0.121909705,0.57685964,-0.038882549,0.225809454,0.225809454,0.367858925,0.613847968,-0.301216736,-0.121909705,0.749657728,-0.052683616,0.084803432,0.149682951,0.454029246,0.329676894,-0.301216736,-0.121909705,0.496927739,-0.065391577,0.114819068,0.246579583,0.484635252,0.508794154,-0.296272063,-0.121909705,0.832274162,-0.069498765,0.206121819,1.138387605,0.250599745,4.542652695,-0.069284703,-0.121909705,16.4305765,-0.033521503,0.076576693,1.454033642,0.192269552,7.562474813,-0.020265126,-0.121909705,71.75053672,-0.024509828,0.313418892,0.316389778,0.124679335,2.53762806,-0.057652886,-0.121909705,5.487839421,-0.017099483,-0.06473534,-0.064907283,0.226680066,-0.286338735,-0.235071151,-0.121909705,-0.276117606,-0.033293007,0.408455798,0.409781662,0.207135514,1.978326434,-0.146946263,-0.121909705,2.788649772,-0.028826992
EBITOE_TTM',0.880525829,0.193202445,0.254893301,0.757973803,-0.313780147,-0.126798211,0.615725522,-0.036420052,0.599548227,0.169497002,0.273023869,0.620813861,-0.313780147,-0.126798211,0.540177586,-0.03913031,0.209129718,0.209129718,0.376573549,0.555348932,-0.313780147,-0.126798211,0.666484863,-0.053998082,0.063466406,0.111205194,0.465567511,0.238859439,-0.313780147,-0.126798211,0.354404813,-0.067190918,0.100921541,0.21526961,0.497214444,0.43295124,-0.311076789,-0.126798211,0.692014377,-0.071411038,0.209670028,1.164015107,0.263037335,4.425284744,-0.075869971,-0.126798211,15.34223741,-0.035279897,0.074247453,1.390209945,0.196045472,7.091262719,-0.020267274,-0.126798211,68.59383082,-0.02516237,0.298845246,0.301662797,0.124436056,2.424239457,-0.053103329,-0.126798211,5.680675845,-0.017108731,-0.047741163,-0.047869129,0.222407833,-0.21523131,-0.231448815,-0.126798211,-0.206823825,-0.032600745,0.42969404,0.431098738,0.204080326,2.112397344,-0.141154106,-0.126798211,3.054099869,-0.028323544
EBTDAOA',0.918320301,0.199861713,0.257753459,0.77539876,-0.300914318,-0.12567166,0.664181466,-0.036813151,0.640249751,0.179333568,0.27577405,0.650291672,-0.300914318,-0.12567166,0.59596223,-0.039496102,0.198782259,0.198782259,0.376830174,0.527511523,-0.300914318,-0.12567166,0.660594221,-0.054069926,0.084451517,0.149043912,0.467645758,0.318711138,-0.300914318,-0.12567166,0.495303491,-0.067358791,0.117104175,0.251766386,0.498883382,0.504659796,-0.299762452,-0.12567166,0.83988633,-0.07153691,0.209623915,1.163680568,0.258486983,4.501892331,-0.070926921,-0.12567166,16.40675429,-0.034620099,0.084415666,1.680497224,0.201208942,8.352000676,-0.021052816,-0.12567166,79.82291756,-0.025462986,0.32299424,0.32606661,0.130067513,2.506902789,-0.061653725,-0.12567166,5.28867656,-0.017855125,-0.038127553,-0.038230271,0.227345269,-0.168159518,-0.219238716,-0.12567166,-0.174377371,-0.033277906,0.390066394,0.391324712,0.205376697,1.905399771,-0.151042509,-0.12567166,2.590825031,-0.028623582
EBTDAOE',0.911584571,0.198681862,0.25648955,0.774619714,-0.309365902,-0.128981055,0.642222883,-0.036633524,0.634940256,0.17805969,0.274039493,0.649759229,-0.309365902,-0.128981055,0.575563397,-0.03924866,0.204724214,0.204724214,0.37625519,0.544110006,-0.309365902,-0.128981055,0.661754292,-0.053966661,0.072479053,0.127391449,0.466606459,0.273016899,-0.309365902,-0.128981055,0.411782448,-0.067283621,0.109555476,0.234673656,0.498000088,0.471232158,-0.309365902,-0.128981055,0.758563418,-0.071462517,0.208738486,1.157264615,0.263135894,4.397973217,-0.075014609,-0.128981055,15.42718985,-0.035306395,0.081229482,1.586232292,0.198565444,7.988460916,-0.019295225,-0.128981055,82.2085405,-0.025219289,0.311734538,0.314687633,0.131529818,2.39251934,-0.059358434,-0.128981055,5.301481401,-0.0181023,-0.041366537,-0.041477792,0.225694561,-0.183778428,-0.220295891,-0.128981055,-0.188282185,-0.033051587,0.417444814,0.418803938,0.20189131,2.074402992,-0.145619789,-0.128981055,2.876009772,-0.028039559
EBTOA_SEMI',0.93220159,0.202283821,0.255673851,0.791179154,-0.299029883,-0.12215593,0.67646691,-0.036503375,0.644947055,0.180458276,0.273524447,0.659751908,-0.299029883,-0.12215593,0.603479071,-0.039166051,0.211230599,0.211230599,0.371229356,0.569002951,-0.299029883,-0.12215593,0.706386253,-0.053218798,0.09340445,0.165347436,0.460021508,0.359434141,-0.299029883,-0.12215593,0.552946193,-0.066202768,0.125480294,0.270872093,0.490668884,0.552046608,-0.293604865,-0.12215593,0.922573585,-0.070293358,0.215684768,1.207985298,0.256075892,4.717294118,-0.068736073,-0.12215593,17.57425531,-0.034190632,0.087371914,1.770769224,0.202638691,8.738554387,-0.021475947,-0.12215593,82.45360291,-0.025540668,0.327999746,0.331125398,0.130022973,2.546668414,-0.06184519,-0.12215593,5.354101038,-0.017833523,-0.041782109,-0.041894457,0.226564189,-0.184912085,-0.223983505,-0.12215593,-0.187042598,-0.033179632,0.388702863,0.389956199,0.20693777,1.884412878,-0.156335483,-0.12215593,2.49435503,-0.028854359
EBTOE_SEMI',0.89114038,0.195082358,0.257364006,0.758001716,-0.312534245,-0.128062254,0.624195146,-0.036772382,0.612651686,0.172681818,0.275065729,0.627783834,-0.312534245,-0.128062254,0.552521271,-0.03941571,0.204521385,0.204521385,0.377416212,0.54189878,-0.312534245,-0.128062254,0.654396721,-0.054135228,0.075869387,0.133505527,0.468076268,0.285221739,-0.312534245,-0.128062254,0.427170876,-0.067474136,0.112593572,0.24153858,0.499534839,0.483526996,-0.312178104,-0.128062254,0.77372044,-0.071661962,0.218625727,1.229728289,0.262740863,4.680384607,-0.074365803,-0.128062254,16.53620678,-0.035119351,0.086070503,1.73069102,0.199517636,8.674376139,-0.019981524,-0.128062254,86.61456696,-0.025144137,0.321039143,0.324090745,0.131170388,2.4707615,-0.057102157,-0.128062254,5.675630512,-0.018021665,-0.046744814,-0.046870176,0.226469374,-0.206960328,-0.229182766,-0.128062254,-0.204510037,-0.033186549,0.395851942,0.397131438,0.20326899,1.95372368,-0.151801867,-0.128062254,2.616116952,-0.028300812
EBTOA_TTM',0.908679998,0.198172164,0.255897136,0.774421188,-0.298811797,-0.122383745,0.663200604,-0.036549358,0.631652896,0.177269588,0.273972698,0.647033773,-0.298811797,-0.122383745,0.593248294,-0.039241777,0.220728955,0.220728955,0.369986003,0.596587311,-0.298811797,-0.122383745,0.738688892,-0.053007778,0.085960537,0.151785172,0.456116774,0.332777001,-0.298811797,-0.122383745,0.50796245,-0.065685508,0.117057076,0.25165937,0.486709273,0.517063026,-0.293705057,-0.122383745,0.856843841,-0.069781799,0.215290008,1.205078978,0.254953219,4.726667053,-0.069279237,-0.122383745,17.39451856,-0.034032906,0.082857782,1.63401938,0.19923601,8.201425926,-0.021856185,-0.122383745,74.76233365,-0.025244785,0.318060171,0.321080174,0.128512373,2.498437824,-0.062947557,-0.122383745,5.100756753,-0.017643616,-0.055010831,-0.055157713,0.229627936,-0.240204714,-0.234645171,-0.122383745,-0.235068604,-0.033679957,0.411097464,0.412433086,0.210407211,1.960166118,-0.157750012,-0.122383745,2.614472606,-0.029294954
EBTOE_TTM',0.871645029,0.191623709,0.256487071,0.74710865,-0.308705989,-0.12371442,0.620732076,-0.036656693,0.586536056,0.166317115,0.274427169,0.60605193,-0.308705989,-0.12371442,0.538755713,-0.039344784,0.222356013,0.222356013,0.374409982,0.593883773,-0.308705989,-0.12371442,0.720284091,-0.053642195,0.076291324,0.134267406,0.462537839,0.290284155,-0.308705989,-0.12371442,0.434936186,-0.06667261,0.113146759,0.242790645,0.493806533,0.491671594,-0.303369946,-0.12371442,0.800312122,-0.070832513,0.217859791,1.224050135,0.264764574,4.623164332,-0.075274101,-0.12371442,16.26123877,-0.035423107,0.08007225,1.55275517,0.200444302,7.746566788,-0.020558719,-0.12371442,75.52781784,-0.025543576,0.31062307,0.313564435,0.129279393,2.42547886,-0.058403736,-0.12371442,5.3689106,-0.017777982,-0.067971706,-0.068151929,0.227395154,-0.299707042,-0.23606845,-0.12371442,-0.288695625,-0.033410694,0.42359594,0.424977914,0.20666186,2.056392567,-0.148453546,-0.12371442,2.862699644,-0.028715691
