,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown,Max Daily Drop,Calmar Ratio,99% VaR,Total Return_1095,Return p.a._1095,Volatility_1095,Sharpe Ratio_1095,Max Drawdown_1095,Max Daily Drop_1095,Calmar Ratio_1095,99% VaR_1095,Total Return_365,Return p.a._365,Volatility_365,Sharpe Ratio_365,Max Drawdown_365,Max Daily Drop_365,Calmar Ratio_365,99% VaR_365,Total Return_YTD,Return p.a._YTD,Volatility_YTD,Sharpe Ratio_YTD,Max Drawdown_YTD,Max Daily Drop_YTD,Calmar Ratio_YTD,99% VaR_YTD,Total Return_180,Return p.a._180,Volatility_180,Sharpe Ratio_180,Max Drawdown_180,Max Daily Drop_180,Calmar Ratio_180,99% VaR_180,Total Return_90,Return p.a._90,Volatility_90,Sharpe Ratio_90,Max Drawdown_90,Max Daily Drop_90,Calmar Ratio_90,99% VaR_90,Total Return_30,Return p.a._30,Volatility_30,Sharpe Ratio_30,Max Drawdown_30,Max Daily Drop_30,Calmar Ratio_30,99% VaR_30,Total Return2017,Return p.a.2017,Volatility2017,Sharpe Ratio2017,Max Drawdown2017,Max Daily Drop2017,Calmar Ratio2017,99% VaR2017,Total Return2018,Return p.a.2018,Volatility2018,Sharpe Ratio2018,Max Drawdown2018,Max Daily Drop2018,Calmar Ratio2018,99% VaR2018,Total Return2019,Return p.a.2019,Volatility2019,Sharpe Ratio2019,Max Drawdown2019,Max Daily Drop2019,Calmar Ratio2019,99% VaR2019
GPOA_TTM',1.405733776,0.278299034,0.259823296,1.071108862,-0.300019939,-0.125064164,0.927601797,-0.03686165,1.052495115,0.270849271,0.277332489,0.976622939,-0.300019939,-0.125064164,0.902770902,-0.039424834,0.334041376,0.334041376,0.373334456,0.894750995,-0.300019939,-0.125064164,1.113397253,-0.053139307,0.179412674,0.326806453,0.461625544,0.707947075,-0.300019939,-0.125064164,1.089282448,-0.065917946,0.190721004,0.424708,0.492776377,0.861867614,-0.300019939,-0.125064164,1.415599249,-0.07014863,0.253451955,1.499661466,0.24509096,6.118795518,-0.061372404,-0.125064164,24.43543611,-0.032108854,0.076566163,1.453741618,0.211011646,6.889390437,-0.025353696,-0.125064164,57.33844895,-0.027235084,0.290045286,0.292770912,0.137277901,2.132687853,-0.061256684,-0.125064164,4.77941173,-0.019006055,0.074718772,0.074931549,0.237474167,0.31553558,-0.221771221,-0.125064164,0.337877695,-0.034306818,0.471234785,0.472796181,0.206767269,2.286610361,-0.137028083,-0.125064164,3.450359728,-0.028600131
GPOE_TTM',1.196093649,0.246113265,0.252745422,0.973759534,-0.31688303,-0.126973581,0.776669123,-0.035935675,0.913989972,0.241594803,0.270019846,0.894729801,-0.31688303,-0.126973581,0.762410038,-0.038456477,0.298504108,0.298504108,0.370937023,0.804729886,-0.31688303,-0.126973581,0.942000928,-0.052898955,0.154959973,0.280016703,0.459996986,0.608735951,-0.31688303,-0.126973581,0.883659509,-0.065824256,0.168427007,0.371137457,0.491375432,0.755303244,-0.31688303,-0.126973581,1.17121279,-0.070095272,0.262981724,1.577635086,0.249164317,6.331705534,-0.067714767,-0.126973581,23.29824278,-0.032579426,0.079192472,1.527571045,0.21173834,7.214428161,-0.022351739,-0.126973581,68.34238172,-0.027224209,0.234357004,0.236512703,0.130312785,1.814961616,-0.062944801,-0.126973581,3.757462062,-0.018168493,0.066468464,0.066657025,0.225402252,0.295724752,-0.211829379,-0.126973581,0.314673183,-0.032584417,0.444425408,0.445885299,0.1950984,2.285438008,-0.123116442,-0.126973581,3.621655171,-0.026977202
OPCFOA',0.966008869,0.208130767,0.240749276,0.864512535,-0.306805658,-0.12210367,0.678379821,-0.034317506,0.700117895,0.193510781,0.25785334,0.750468387,-0.306805658,-0.12210367,0.630727549,-0.036848431,0.242789011,0.242789011,0.358390722,0.677442234,-0.306805658,-0.12210367,0.791344636,-0.051258251,0.121422099,0.216984634,0.446278319,0.486209221,-0.306805658,-0.12210367,0.707238046,-0.064045482,0.164780331,0.362473827,0.476185184,0.761203496,-0.306805658,-0.12210367,1.181444403,-0.067930185,0.258834156,1.543477375,0.240025581,6.430470315,-0.065914214,-0.12210367,23.41645712,-0.031305161,0.077790843,1.487919291,0.19808564,7.511494977,-0.020567699,-0.12210367,72.34252453,-0.025301658,0.231538731,0.233666138,0.118843584,1.966165364,-0.055800911,-0.12210367,4.187496873,-0.016507166,0.014930339,0.014971662,0.208035131,0.071966989,-0.179167752,-0.12210367,0.083562259,-0.030258639,0.402594246,0.403898508,0.18549377,2.177423573,-0.124106375,-0.12210367,3.254454149,-0.025697567
OPCFOA_SEMI',0.832208034,0.1845471,0.242990273,0.759483489,-0.311222807,-0.120927474,0.592974217,-0.034721264,0.558154463,0.159320466,0.260427069,0.611766151,-0.311222807,-0.120927474,0.511917706,-0.037337523,0.161959326,0.161959326,0.364109405,0.44480951,-0.311222807,-0.120927474,0.520396713,-0.052353028,0.057721857,0.100939192,0.454458335,0.222108792,-0.311222807,-0.120927474,0.32433096,-0.065624752,0.101369774,0.216273142,0.485404733,0.445552192,-0.311166547,-0.120927474,0.695039826,-0.069705149,0.203598713,1.120303669,0.262309744,4.270918991,-0.076055058,-0.120927474,14.73016657,-0.035254705,0.060917329,1.053330105,0.201852257,5.21832215,-0.027672869,-0.120927474,38.0636397,-0.026603089,0.274974153,0.277543514,0.117385869,2.364369033,-0.052332275,-0.120927474,5.303486525,-0.016156038,-0.005377543,-0.005392277,0.208063758,-0.025916464,-0.185242373,-0.120927474,-0.029109306,-0.030343331,0.365977869,0.367148723,0.185321509,1.981144684,-0.123170389,-0.120927474,2.980819703,-0.025777621
OPCFOA_TTM',0.89984786,0.196618849,0.240333929,0.818106916,-0.301040384,-0.119601962,0.65313114,-0.034295369,0.60235395,0.170180397,0.257975881,0.659675611,-0.301040384,-0.119601962,0.565307532,-0.036944834,0.194042405,0.194042405,0.360125533,0.538818793,-0.301040384,-0.119601962,0.644572672,-0.051668617,0.069623725,0.122252877,0.447807517,0.273003181,-0.301040384,-0.119601962,0.406101251,-0.064588907,0.106670804,0.228173266,0.478437493,0.47691343,-0.301040384,-0.119601962,0.757949026,-0.06866256,0.194841984,1.058433892,0.258951959,4.087375496,-0.075439954,-0.119601962,14.03015024,-0.034883548,0.05760377,0.976649726,0.195335467,4.999858658,-0.025879188,-0.119601962,37.73880815,-0.025804895,0.29283621,0.295590936,0.110701706,2.670157017,-0.052498097,-0.119601962,5.630507675,-0.015126491,-0.003890395,-0.003901062,0.205969387,-0.018940007,-0.170200635,-0.119601962,-0.022920371,-0.030033002,0.379231481,0.380450314,0.188672118,2.016462841,-0.132452743,-0.119601962,2.872347564,-0.026226466
OPCFOE',0.970639317,0.208925948,0.243937429,0.856473516,-0.31742965,-0.127143087,0.658180317,-0.034777685,0.691300978,0.191443997,0.260726476,0.73427141,-0.31742965,-0.127143087,0.603106852,-0.037272184,0.257646926,0.257646926,0.365925701,0.704096283,-0.31742965,-0.127143087,0.811666226,-0.052301204,0.133206834,0.23898211,0.455465136,0.524699019,-0.31742965,-0.127143087,0.752866376,-0.065300142,0.176277109,0.389881879,0.486499996,0.801401607,-0.31742965,-0.127143087,1.22824657,-0.069339506,0.269054872,1.628273243,0.245203025,6.640510421,-0.06868032,-0.127143087,23.70800328,-0.031928092,0.077520075,1.480325452,0.197035556,7.512986388,-0.022342701,-0.127143087,66.25543715,-0.025161009,0.219465175,0.221471993,0.122450985,1.808658328,-0.061329695,-0.127143087,3.61117063,-0.017072071,0.005574129,0.005589486,0.207143797,0.026983601,-0.182727863,-0.127143087,0.030589126,-0.030165988,0.41812484,0.419486486,0.185990976,2.255413112,-0.117066383,-0.127143087,3.583321486,-0.025726116
OPCFOE_SEMI',0.880737624,0.19324003,0.246533531,0.783828588,-0.32645678,-0.129125852,0.591931433,-0.035206458,0.595084144,0.168408029,0.263751973,0.638509077,-0.32645678,-0.129125852,0.515866231,-0.037788791,0.201832938,0.201832938,0.373014115,0.541086596,-0.32645678,-0.129125852,0.618253166,-0.053506965,0.083839594,0.147933078,0.46449779,0.318479616,-0.32645678,-0.129125852,0.453147513,-0.06690692,0.12970016,0.280553066,0.496355926,0.565225581,-0.32645678,-0.129125852,0.859388082,-0.071081681,0.234466849,1.34963237,0.259954142,5.191809449,-0.073483172,-0.129125852,18.3665502,-0.034509576,0.066069628,1.177999495,0.198608417,5.931266737,-0.02725743,-0.129125852,43.21755519,-0.02590013,0.250306719,0.252623542,0.121672092,2.076265288,-0.057882039,-0.129125852,4.364454763,-0.01685863,0.011052552,0.011083084,0.207206703,0.053488058,-0.183212216,-0.129125852,0.06049315,-0.030153496,0.372691377,0.373886491,0.185870216,2.01154601,-0.122581726,-0.129125852,3.050099737,-0.025837942
OPCFOE_TTM',0.837409199,0.185486644,0.244896083,0.757409601,-0.318914453,-0.127399839,0.581618809,-0.034994678,0.553611757,0.158192726,0.262439011,0.602779005,-0.318914453,-0.127399839,0.496034985,-0.037633206,0.168993436,0.168993436,0.370977432,0.455535624,-0.318914453,-0.127399839,0.529902092,-0.053322389,0.041791792,0.072678735,0.462106176,0.157277134,-0.318914453,-0.127399839,0.22789414,-0.066831211,0.086641355,0.183517963,0.493778598,0.371660424,-0.318914453,-0.127399839,0.57544574,-0.071018922,0.195062359,1.059974034,0.26283564,4.032839812,-0.07778527,-0.127399839,13.62692488,-0.035444245,0.055115443,0.920804152,0.189915814,4.848485923,-0.027465459,-0.127399839,33.52589681,-0.025129254,0.268712359,0.271217232,0.115805103,2.342014507,-0.057406652,-0.127399839,4.724491357,-0.015945455,0.007902881,0.007924678,0.207164914,0.038252991,-0.172411947,-0.127399839,0.045963623,-0.030159836,0.379250335,0.380469237,0.185319641,2.053043249,-0.127960036,-0.127399839,2.973344246,-0.025738959
GROSS_PROFIT_MARGIN',1.278314182,0.258989762,0.244475613,1.059368494,-0.29651295,-0.126841969,0.873451772,-0.034694634,0.974742106,0.254594739,0.261727576,0.972747094,-0.29651295,-0.126841969,0.85862941,-0.037212239,0.282030864,0.282030864,0.362986783,0.776972818,-0.29651295,-0.126841969,0.951158672,-0.051800171,0.215173845,0.396489442,0.451615058,0.877936719,-0.29651295,-0.126841969,1.337174117,-0.064269539,0.217798709,0.491173289,0.482828185,1.017283798,-0.29651295,-0.126841969,1.656498609,-0.068535159,0.25857266,1.541335286,0.237047984,6.502207947,-0.058967865,-0.126841969,26.13856338,-0.030876053,0.057076485,0.964692909,0.209281893,4.609538333,-0.031081438,-0.126841969,31.03758981,-0.027856231,0.274777066,0.277344393,0.124340789,2.230518208,-0.057838308,-0.126841969,4.795167792,-0.017169751,0.054350498,0.05450381,0.216551293,0.251690067,-0.172457247,-0.126841969,0.316042442,-0.031344276,0.39494136,0.396217519,0.182075615,2.17611523,-0.108044278,-0.126841969,3.667177237,-0.025222234
OPCF_MARGIN',0.971214345,0.209024602,0.236261368,0.88471765,-0.304594128,-0.123552501,0.686239763,-0.033662975,0.713162195,0.196555445,0.253216702,0.776234125,-0.304594128,-0.123552501,0.645302804,-0.036165433,0.240297862,0.240297862,0.35573219,0.675502158,-0.304594128,-0.123552501,0.788911669,-0.050881557,0.125722484,0.224992747,0.444214504,0.506495725,-0.304594128,-0.123552501,0.738664098,-0.063721596,0.165493136,0.364165094,0.474891369,0.766838729,-0.304594128,-0.123552501,1.195574898,-0.067738846,0.250992386,1.479828817,0.232232658,6.372182222,-0.062307101,-0.123552501,23.75056425,-0.03027305,0.075772633,1.431826867,0.193417942,7.402761345,-0.019513349,-0.123552501,73.37678913,-0.024712525,0.225795403,0.227865322,0.114704931,1.986534675,-0.054025115,-0.123552501,4.217766509,-0.015922954,0.008754227,0.008778382,0.202317565,0.043389125,-0.16769419,-0.123552501,0.052347563,-0.029452029,0.416117061,0.417471261,0.176304142,2.367903871,-0.110418011,-0.123552501,3.780825768,-0.024323034
