Date,Price,Position,PortfolioValue
2016-08-22,1.5994626769999998,132.90007834298257,212.56871507997658
2016-08-23,1.60215475,132.90007834298257,212.92649179258166
2016-08-24,1.6003687580000001,132.90007834298257,212.68913331586174
2016-08-25,1.594100951,132.90007834298257,211.856141274523
2016-08-26,1.594931105,132.90007834298257,211.96646880615975
2016-08-29,1.593472044,132.90007834298257,211.77255948495258
2016-08-30,1.5934688780000001,132.90007834298257,211.77213872330455
2016-08-31,1.5961189059999998,132.90007834298257,212.1243276521156
2016-09-01,1.58858805,132.90007834298257,211.12347629972592
2016-09-02,1.5851359059999999,132.90007834298257,210.66468609167464
2016-09-05,1.590467099,132.90007834298257,211.37320205903623
2016-09-06,1.6030648580000002,132.90007834298257,213.04744521708224
2016-09-07,1.602261225,132.90007834298257,212.9406423284232
2016-09-08,1.603318197,132.90007834298257,213.08111399002954
2016-09-09,1.5957750990000001,132.90007834298257,212.0786356748808
2016-09-12,1.570293235,132.90007834298257,208.69209395295553
2016-09-13,1.57365746,132.90007834298257,209.13919971901896
2016-09-14,1.566314466,132.90007834298257,208.1633152411469
2016-09-19,1.578675373,132.90007834298257,209.80608074983724
2016-09-20,1.577207021,132.90007834298257,209.61093665400216
2016-09-21,1.5799174180000002,132.90007834298257,209.97114862764275
2016-09-22,1.587260481,132.90007834298257,210.9470422756202
2016-09-23,1.584434075,132.90007834298257,210.57141269679113
2016-09-26,1.564775859,132.90007834298257,207.95883425030786
2016-09-27,1.5715896280000001,132.90007834298257,208.86438468421883
2016-09-28,1.570804962,132.90007834298257,208.76010251134576
2016-09-29,1.57741524,132.90007834298257,209.63860897541466
2016-09-30,1.5846177209999999,132.90007834298257,210.59581926457847
2016-10-10,1.602807418,132.90007834298257,213.0132314209136
2016-10-11,1.6068160269999998,132.90007834298257,213.54597587105997
2016-10-12,1.604025164,132.90007834298257,213.17506995971547
2016-10-13,1.6025003480000002,132.90007834298257,212.97242179385685
2016-10-14,1.603134447,132.90007834298257,213.05669360063402
2016-10-17,1.594994606,132.90007834298257,211.97490809403462
2016-10-18,1.611435515,132.90007834298257,214.15990618816446
2016-10-19,1.609374885,132.90007834298257,213.88604829972857
2016-10-20,1.609534803,132.90007834298257,213.907301414457
2016-10-21,1.608697576,132.90007834298257,213.79603388056614
2016-10-24,1.6185345619999998,132.90007834298257,215.10337009062494
2016-10-25,1.622916113,132.90007834298257,215.68567856178876
2016-10-26,1.620915665,132.90007834298257,215.41981886586768
2016-10-27,1.6193757969999998,132.90007834298257,215.2151702880298
2016-10-28,1.615525469,132.90007834298257,214.70346139518367
2016-10-31,1.6151264790000002,132.90007834298257,214.65043559292562
2016-11-01,1.625009031,132.90007834298257,215.96382752795418
2016-11-02,1.616905801,132.90007834298257,214.88690762612296
2016-11-03,1.6244662490000001,132.90007834298257,215.89169175763104
2016-11-04,1.6194187919999998,132.90007834298257,215.22088432689816
2016-11-07,1.6188224469999999,132.90007834298257,215.14163002967874
2016-11-08,1.6257425280000002,132.90007834298257,216.06130933671855
2016-11-09,1.618195742,132.90007834298257,215.0583408860808
