Date,Price,Position,PortfolioValue
2013/7/26,1.040258697,100,104.0258697
2013/7/29,1.026731793,100,102.6731793
2013/7/30,1.023801179,100,102.3801179
2013/7/31,1.025646207,100,102.5646207
2013/8/1,1.044404064,100,104.4404064
2013/8/2,1.04659328,100,104.659328
2013/8/5,1.058513259,100,105.8513259
2013/8/6,1.063734189,100,106.3734189
2013/8/7,1.057691995,100,105.7691995
2013/8/8,1.057855283,100,105.7855283
2013/8/9,1.059811005,100,105.9811005
2013/8/12,1.071091361,100,107.1091361
2013/8/13,1.069918598,100,106.9918598
2013/8/14,1.066530014,100,106.6530014
2013/8/15,1.054202062,100,105.4202062
2013/8/16,1.043444899,100,104.3444899
2013/8/19,1.05627403,100,105.627403
2013/8/20,1.052338678,100,105.2338678
2013/8/21,1.050283251,100,105.0283251
2013/8/22,1.051610983,100,105.1610983
2013/8/23,1.049889859,100,104.9889859
2013/8/26,1.062452454,100,106.2452454
2013/8/27,1.06335704,100,106.335704
2013/8/28,1.052869434,100,105.2869434
2013/8/29,1.050633745,100,105.0633745
2013/8/30,1.044277851,100,104.4277851
2013/9/2,1.047765292,100,104.7765292
2013/9/3,1.060138081,100,106.0138081
2013/9/4,1.058705937,100,105.8705937
2013/9/5,1.058523179,100,105.8523179
2013/9/6,1.062124757,100,106.2124757
2013/9/9,1.076558424,100,107.6558424
2013/9/10,1.08113514,100,108.113514
2013/9/11,1.07923253,100,107.923253
2013/9/12,1.083224261,100,108.3224261
2013/9/13,1.085173765,100,108.5173765
2013/9/16,1.086339097,100,108.6339097
2013/9/17,1.075153164,100,107.5153164
2013/9/18,1.078914262,100,107.8914262
2013/9/23,1.093623192,100,109.3623192
2013/9/24,1.09072389,100,109.072389
2013/9/25,1.084346367,100,108.4346367
2013/9/26,1.078742833,100,107.8742833
2013/9/27,1.085021392,100,108.5021392
2013/9/30,1.0896035,100,108.96035
2013/10/8,1.099193859,100,109.9193859
2013/10/9,1.103952521,100,110.3952521
2013/10/10,1.09776835,100,109.776835
2013/10/11,1.106932996,100,110.6932996
2013/10/14,1.106539951,100,110.6539951
2013/10/15,1.108708381,100,110.8708381
2013/10/16,1.095143506,100,109.5143506
2013/10/17,1.089918829,100,108.9918829
2013/10/18,1.094834924,100,109.4834924
2013/10/21,1.115385816,100,111.5385816
2013/10/22,1.104142243,100,110.4142243
2013/10/23,1.090419038,100,109.0419038
2013/10/24,1.085979193,100,108.5979193
2013/10/25,1.072421614,100,107.2421614
2013/10/28,1.069679353,100,106.9679353
2013/10/29,1.069966942,100,106.9966942
2013/10/30,1.081887439,100,108.1887439
2013/10/31,1.06673279,100,106.673279
2013/11/1,1.068195147,100,106.8195147
2013/11/4,1.06571155,100,106.571155
2013/11/5,1.067086007,100,106.7086007
2013/11/6,1.055838179,100,105.5838179
2013/11/7,1.04818114,100,104.818114
2013/11/8,1.037745286,100,103.7745286
2013/11/11,1.045556668,100,104.5556668
2013/11/12,1.054510376,100,105.4510376
2013/11/13,1.039397774,100,103.9397774
2013/11/14,1.046606946,100,104.6606946
2013/11/15,1.058987668,100,105.8987668
2013/11/18,1.076460129,100,107.6460129
2013/11/19,1.069080371,100,106.9080371
2013/11/20,1.071510478,100,107.1510478
2013/11/21,1.066487245,100,106.6487245
2013/11/22,1.063644015,100,106.3644015
2013/11/25,1.06172743,100,106.172743
2013/11/26,1.061401755,100,106.1401755
2013/11/27,1.068748738,100,106.8748738
2013/11/28,1.078453042,100,107.8453042
2013/11/29,1.080913286,100,108.0913286
2013/12/2,1.064769274,100,106.4769274
2013/12/3,1.074949311,100,107.4949311
2013/12/4,1.083592729,100,108.3592729
2013/12/5,1.078241812,100,107.8241812
2013/12/6,1.072580649,100,107.2580649
2013/12/9,1.074455112,100,107.4455112
2013/12/10,1.074264633,100,107.4264633
2013/12/11,1.065275961,100,106.5275961
2013/12/12,1.067968407,100,106.7968407
2013/12/13,1.06954867,100,106.954867
2013/12/16,1.059778845,100,105.9778845
2013/12/17,1.058069275,100,105.8069275
2013/12/18,1.058419031,100,105.8419031
2013/12/19,1.050662012,100,105.0662012
