Date,Price,Position,PortfolioValue
2013/7/26,0.898365154,100,89.8365154
2013/7/29,0.879844518,100,87.9844518
2013/7/30,0.884989139,100,88.4989139
2013/7/31,0.886818338,100,88.6818338
2013/8/1,0.907396822,100,90.7396822
2013/8/2,0.908082771,100,90.8082771
2013/8/5,0.920086887,100,92.0086887
2013/8/6,0.926031782,100,92.6031782
2013/8/7,0.921001486,100,92.1001486
2013/8/8,0.919743912,100,91.9743912
2013/8/9,0.923402309,100,92.3402309
2013/8/12,0.94901109,100,94.901109
2013/8/13,0.951411913,100,95.1411913
2013/8/14,0.947410541,100,94.7410541
2013/8/15,0.936778324,100,93.6778324
2013/8/16,0.930261804,100,93.0261804
2013/8/19,0.940665371,100,94.0665371
2013/8/20,0.933462902,100,93.3462902
2013/8/21,0.931862353,100,93.1862353
2013/8/22,0.930261804,100,93.0261804
2013/8/23,0.923745284,100,92.3745284
2013/8/26,0.942380245,100,94.2380245
2013/8/27,0.944438093,100,94.4438093
2013/8/28,0.939522122,100,93.9522122
2013/8/29,0.935635075,100,93.5635075
2013/8/30,0.933805876,100,93.3805876
2013/9/2,0.936321024,100,93.6321024
2013/9/3,0.949354064,100,94.9354064
2013/9/4,0.94786784,100,94.786784
2013/9/5,0.944438093,100,94.4438093
2013/9/6,0.950611638,100,95.0611638
2013/9/9,0.982393964,100,98.2393964
2013/9/10,0.996227278,100,99.6227278
2013/9/11,0.999428375,100,99.9428375
2013/9/12,1.009374643,100,100.9374643
2013/9/13,1.002286498,100,100.2286498
2013/9/16,0.998513776,100,99.8513776
2013/9/17,0.978849891,100,97.8849891
2013/9/18,0.981365039,100,98.1365039
2013/9/23,0.996455928,100,99.6455928
2013/9/24,0.985480736,100,98.5480736
2013/9/25,0.979878816,100,97.9878816
2013/9/26,0.962730079,100,96.2730079
2013/9/27,0.966845776,100,96.6845776
2013/9/30,0.972104722,100,97.2104722
2013/10/8,0.984566137,100,98.4566137
2013/10/9,0.989024809,100,98.9024809
2013/10/10,0.979993141,100,97.9993141
2013/10/11,0.994969704,100,99.4969704
2013/10/14,0.996341603,100,99.6341603
2013/10/15,0.994512404,100,99.4512404
2013/10/16,0.976792043,100,97.6792043
2013/10/17,0.97370527,100,97.370527
2013/10/18,0.978621242,100,97.8621242
2013/10/21,0.995884303,100,99.5884303
2013/10/22,0.986166686,100,98.6166686
2013/10/23,0.975648794,100,97.5648794
2013/10/24,0.968674974,100,96.8674974
2013/10/25,0.956442209,100,95.6442209
2013/10/28,0.955413285,100,95.5413285
2013/10/29,0.957928433,100,95.7928433
2013/10/30,0.971533097,100,97.1533097
2013/10/31,0.958385732,100,95.8385732
2013/11/1,0.962615754,100,96.2615754
2013/11/4,0.96090088,100,96.090088
2013/11/5,0.962158454,100,96.2158454
2013/11/6,0.950497313,100,95.0497313
2013/11/7,0.945581342,100,94.5581342
2013/11/8,0.932891277,100,93.2891277
2013/11/11,0.93597805,100,93.597805
2013/11/12,0.945124043,100,94.5124043
2013/11/13,0.925231508,100,92.5231508
2013/11/14,0.931405053,100,93.1405053
2013/11/15,0.949125414,100,94.9125414
2013/11/18,0.978964216,100,97.8964216
2013/11/19,0.972333371,100,97.2333371
2013/11/20,0.977249343,100,97.7249343
2013/11/21,0.971533097,100,97.1533097
2013/11/22,0.967074426,100,96.7074426
2013/11/25,0.963416028,100,96.3416028
2013/11/26,0.962844404,100,96.2844404
2013/11/27,0.973133646,100,97.3133646
2013/11/28,0.982736938,100,98.2736938
2013/11/29,0.982393964,100,98.2393964
2013/12/2,0.974848519,100,97.4848519
2013/12/3,0.983994512,100,98.3994512
2013/12/4,0.996112953,100,99.6112953
2013/12/5,0.993369155,100,99.3369155
2013/12/6,0.986395336,100,98.6395336
