,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
00698.HK,通达集团,工业,Industrials,信息技术,45,Information Technology,10000
00699.HK,神州租车,非必需性消费,Consumer Discretionary,工业,20,Industrials,1000
00700.HK,腾讯控股,资讯科技业,Information Technology,信息技术,45,Information Technology,100
00701.HK,CNT GROUP,地产建筑业,Properties & Construction,原材料,15,Materials,2000
00702.HK,中国油气控股,能源业,Energy,能源,10,Energy,10000
00703.HK,FUTURE BRIGHT,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,6000
00704.HK,和嘉控股,能源业,Energy,能源,10,Energy,10000
00706.HK,美丽中国控股,原材料业,Materials,原材料,15,Materials,10000
00707.HK,亚洲电视控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00708.HK,恒大汽车,医疗保健业,Healthcare,医疗保健,35,Health Care,500
00709.HK,佐丹奴国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00710.HK,京东方精电,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,1000
00711.HK,亚洲联合基建控股,地产建筑业,Properties & Construction,工业,20,Industrials,2000
00712.HK,卡姆丹克太阳能,工业,Industrials,公用事业,55,Utilities,10000
00713.HK,世界(集团),非必需性消费,Consumer Discretionary,日常消费品,30,Consumer Staples,2000
00715.HK,中泛控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00716.HK,胜狮货柜,工业,Industrials,工业,20,Industrials,2000
00717.HK,英皇证券,金融业,Financials,金融,40,Financials,6000
00718.HK,太和控股,医疗保健业,Healthcare,工业,20,Industrials,5000
00719.HK,山东新华制药股份,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
00720.HK,意达利控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,25000
00721.HK,中国金融国际,金融业,Financials,金融,40,Financials,10000
00722.HK,联合医务,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
00723.HK,信保环球控股,原材料业,Materials,原材料,15,Materials,60000
00724.HK,瑞鑫国际集团,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
00725.HK,恒都集团,工业,Industrials,信息技术,45,Information Technology,2000
00726.HK,筑友智造科技,地产建筑业,Properties & Construction,房地产,60,Real Estate,20000
00727.HK,皇冠环球集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00728.HK,中国电信,电讯业,Telecommunications,通讯服务,50,Communication Services,2000
00729.HK,五龙电动车,工业,Industrials,信息技术,45,Information Technology,5000
00730.HK,SHOUGANG GRAND,地产建筑业,Properties & Construction,金融,40,Financials,1000
00731.HK,森信纸业集团,原材料业,Materials,原材料,15,Materials,2000
00732.HK,信利国际,工业,Industrials,信息技术,45,Information Technology,2000
00733.HK,合富辉煌,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00736.HK,中国置业投资,金融业,Financials,房地产,60,Real Estate,3000
00737.HK,湾区发展,工业,Industrials,工业,20,Industrials,500
00738.HK,莱尔斯丹,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00743.HK,亚洲水泥(中国),地产建筑业,Properties & Construction,原材料,15,Materials,500
00745.HK,中国国家文化产业,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
00746.HK,理文化工,原材料业,Materials,原材料,15,Materials,2000
00747.HK,沈阳公用发展股份,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00750.HK,水发兴业能源,地产建筑业,Properties & Construction,工业,20,Industrials,1000
00751.HK,创维集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00752.HK,PICO FAR EAST,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
00753.HK,中国国航,非必需性消费,Consumer Discretionary,工业,20,Industrials,2000
00754.HK,合生创展集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00755.HK,上海证大,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
00756.HK,森美控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,4000
00757.HK,阳光能源,工业,Industrials,工业,20,Industrials,1000
00758.HK,新华联资本,原材料业,Materials,原材料,15,Materials,2000
00759.HK,CEC INT'L HOLD,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00760.HK,新天地产集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,15000
00762.HK,中国联通,电讯业,Telecommunications,通讯服务,50,Communication Services,2000
00763.HK,中兴通讯,资讯科技业,Information Technology,信息技术,45,Information Technology,200
00764.HK,永恒策略,金融业,Financials,工业,20,Industrials,10000
00765.HK,PERFECTECH INTL,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00766.HK,中盈集团控股,金融业,Financials,金融,40,Financials,5000
00767.HK,亚太丝路投资,金融业,Financials,金融,40,Financials,40000
00768.HK,开明投资,金融业,Financials,金融,40,Financials,2000
00769.HK,中国稀土,原材料业,Materials,原材料,15,Materials,2000
00770.HK,SHANGHAI GROWTH,金融业,Financials,金融,40,Financials,1000
00771.HK,自动系统,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00772.HK,阅文集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,200
00775.HK,长江生命科技,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
00776.HK,帝国集团环球控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00777.HK,网龙,资讯科技业,Information Technology,信息技术,45,Information Technology,500
00780.HK,同程艺龙,非必需性消费,Consumer Discretionary,工业,20,Industrials,400
00784.HK,凌锐控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
00787.HK,利标品牌,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00788.HK,中国铁塔,电讯业,Telecommunications,工业,20,Industrials,2000
00789.HK,雅天妮集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,20000
00794.HK,锦胜集团(控股),工业,Industrials,原材料,15,Materials,2000
00797.HK,第七大道,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00798.HK,中电光谷,地产建筑业,Properties & Construction,房地产,60,Real Estate,4000
00799.HK,IGG,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
00800.HK,A8新媒体,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00801.HK,金卫医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,800000
00802.HK,中国钱包,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
00803.HK,昌兴国际,原材料业,Materials,原材料,15,Materials,10000
00804.HK,鼎石资本,金融业,Financials,金融,40,Financials,5000
00806.HK,惠理集团,金融业,Financials,金融,40,Financials,1000
00807.HK,上海实业环境,公用事业,Utilities,公用事业,55,Utilities,1000
00809.HK,大成生化科技,原材料业,Materials,日常消费品,30,Consumer Staples,2000
00810.HK,中国互联网投资,金融业,Financials,金融,40,Financials,6000
00811.HK,新华文轩,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
00812.HK,西证国际证券,金融业,Financials,金融,40,Financials,2000
00813.HK,世茂集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00814.HK,北京京客隆,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
00815.HK,中国白银集团,原材料业,Materials,原材料,15,Materials,2000
00816.HK,华电福新,公用事业,Utilities,公用事业,55,Utilities,2000
00817.HK,中国金茂,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00818.HK,高阳科技,资讯科技业,Information Technology,信息技术,45,Information Technology,3000
00819.HK,天能动力,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,2000
00821.HK,汇盈控股,金融业,Financials,金融,40,Financials,4000
00822.HK,嘉瑞国际,工业,Industrials,工业,20,Industrials,2000
00825.HK,新世界百货中国,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00826.HK,天工国际,原材料业,Materials,原材料,15,Materials,2000
00827.HK,玖源集团,原材料业,Materials,原材料,15,Materials,4000
00828.HK,王朝酒业,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00829.HK,神冠控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00830.HK,中国建筑兴业,地产建筑业,Properties & Construction,工业,20,Industrials,2000
00831.HK,利亚零售,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00832.HK,建业地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00833.HK,华讯,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00834.HK,康大食品,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,4000
00836.HK,华润电力,公用事业,Utilities,公用事业,55,Utilities,2000
00837.HK,谭木匠,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
00838.HK,亿和控股,工业,Industrials,工业,20,Industrials,2000
00839.HK,中教控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00840.HK,天业节水,工业,Industrials,工业,20,Industrials,2000
00841.HK,木薯资源,工业,Industrials,日常消费品,30,Consumer Staples,2000
00842.HK,理士国际,工业,Industrials,信息技术,45,Information Technology,1000
00844.HK,广泰国际控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
00845.HK,恒盛地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00846.HK,明发集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00848.HK,茂业国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00850.HK,久康国际,工业,Industrials,能源,10,Energy,4000
00851.HK,盛源控股,金融业,Financials,金融,40,Financials,10000
00852.HK,海峡石油化工,能源业,Energy,能源,10,Energy,2000
00853.HK,微创医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
00854.HK,威雅利,工业,Industrials,信息技术,45,Information Technology,1000
00855.HK,中国水务,公用事业,Utilities,公用事业,55,Utilities,2000
00856.HK,伟仕佳杰,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00857.HK,中国石油股份,能源业,Energy,能源,10,Energy,2000
00858.HK,精优药业,医疗保健业,Healthcare,医疗保健,35,Health Care,10000
00859.HK,中昌国际控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00860.HK,力世纪,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
00861.HK,神州控股,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
00862.HK,远见控股,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
00863.HK,BC科技集团,金融业,Financials,通讯服务,50,Communication Services,500
00864.HK,永利地产发展,地产建筑业,Properties & Construction,房地产,60,Real Estate,4000
00865.HK,建德国际控股,地产建筑业,Properties & Construction,信息技术,45,Information Technology,4000
00866.HK,中国秦发,能源业,Energy,能源,10,Energy,2000
00867.HK,康哲药业,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
00868.HK,信义玻璃,工业,Industrials,工业,20,Industrials,2000
00869.HK,彩星玩具,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
00871.HK,中国疏浚环保,地产建筑业,Properties & Construction,工业,20,Industrials,1000
00872.HK,启迪国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00874.HK,白云山,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
00875.HK,中国金控,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00876.HK,佳兆业健康,医疗保健业,Healthcare,医疗保健,35,Health Care,10000
00877.HK,昂纳科技集团,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
00878.HK,金朝阳集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00880.HK,澳博控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00881.HK,中升控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
00882.HK,天津发展,综合企业,Conglomerates,工业,20,Industrials,2000
00883.HK,中国海洋石油,能源业,Energy,能源,10,Energy,1000
00884.HK,旭辉控股集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00885.HK,仁天科技控股,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
00886.HK,银基集团,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,3000
00887.HK,英皇钟表珠宝,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
00888.HK,贝森金融,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
00889.HK,连达科技控股,工业,Industrials,信息技术,45,Information Technology,2000
00891.HK,利邦,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00893.HK,中国铁钛,原材料业,Materials,原材料,15,Materials,1000
00894.HK,万裕科技,工业,Industrials,信息技术,45,Information Technology,2000
00895.HK,东江环保,工业,Industrials,工业,20,Industrials,200
00896.HK,兴胜创建,地产建筑业,Properties & Construction,工业,20,Industrials,2000
00897.HK,位元堂,医疗保健业,Healthcare,医疗保健,35,Health Care,5000
00898.HK,万事昌国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00899.HK,亚洲资源,地产建筑业,Properties & Construction,房地产,60,Real Estate,10000
00900.HK,AEON CREDIT,金融业,Financials,金融,40,Financials,2000
00901.HK,鹰力投资,金融业,Financials,金融,40,Financials,20000
00902.HK,华能国际电力股份,公用事业,Utilities,公用事业,55,Utilities,2000
00904.HK,中绿,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,8000
00905.HK,环球大通投资,金融业,Financials,金融,40,Financials,16000
00906.HK,中粮包装,工业,Industrials,原材料,15,Materials,1000
00907.HK,高雅光学,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00908.HK,珠海控股投资,综合企业,Conglomerates,工业,20,Industrials,2000
00910.HK,中国三迪,地产建筑业,Properties & Construction,房地产,60,Real Estate,6000
00911.HK,前海健康,医疗保健业,Healthcare,非日常生活消费品,25,Consumer Discretionary,5000
00912.HK,信佳国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00913.HK,合一投资,金融业,Financials,金融,40,Financials,10000
00914.HK,海螺水泥,地产建筑业,Properties & Construction,原材料,15,Materials,500
00915.HK,道和环球,工业,Industrials,工业,20,Industrials,1000
00916.HK,龙源电力,公用事业,Utilities,公用事业,55,Utilities,1000
00918.HK,国能国际资产,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00919.HK,现代健康科技,医疗保健业,Healthcare,医疗保健,35,Health Care,4000
00921.HK,海信家电,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00922.HK,安贤园中国,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
00923.HK,综合环保集团,原材料业,Materials,原材料,15,Materials,2000
00924.HK,坤集团,地产建筑业,Properties & Construction,工业,20,Industrials,8000
00925.HK,北京建设,工业,Industrials,工业,20,Industrials,2000
00926.HK,碧生源,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
00927.HK,富士高实业,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00928.HK,莲和医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,20000
00929.HK,国际精密,工业,Industrials,工业,20,Industrials,5000
00931.HK,中国天然气,公用事业,Utilities,工业,20,Industrials,2000
00932.HK,顺腾国际控股,医疗保健业,Healthcare,日常消费品,30,Consumer Staples,4000
00933.HK,光汇石油,能源业,Energy,能源,10,Energy,1000
00934.HK,中石化冠德,能源业,Energy,能源,10,Energy,2000
00935.HK,龙翔集团,工业,Industrials,工业,20,Industrials,2000
00936.HK,鹏程亚洲,工业,Industrials,工业,20,Industrials,10000
00938.HK,民生国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00939.HK,建设银行,金融业,Financials,金融,40,Financials,1000
00941.HK,中国移动,电讯业,Telecommunications,通讯服务,50,Communication Services,500
00943.HK,中证国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,8000
00945.HK,宏利金融-S,金融业,Financials,金融,40,Financials,100
00947.HK,摩比发展,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
00948.HK,阿尔法企业,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00950.HK,李氏大药厂,医疗保健业,Healthcare,医疗保健,35,Health Care,500
00951.HK,超威动力,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,1000
00952.HK,中国通海金融,金融业,Financials,金融,40,Financials,10000
00953.HK,邵氏兄弟控股,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
00954.HK,常茂生物,必需性消费,Consumer Staples,原材料,15,Materials,4000
00956.HK,新天绿色能源,公用事业,Utilities,公用事业,55,Utilities,1000
00959.HK,世纪娱乐国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00960.HK,龙湖集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00966.HK,中国太平,金融业,Financials,金融,40,Financials,200
00967.HK,桑德国际,公用事业,Utilities,公用事业,55,Utilities,1000
00968.HK,信义光能,工业,Industrials,公用事业,55,Utilities,2000
00969.HK,华联国际,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00970.HK,耀莱集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,8000
00973.HK,L'OCCITANE,非必需性消费,Consumer Discretionary,日常消费品,30,Consumer Staples,250
00974.HK,中国顺客隆,非必需性消费,Consumer Discretionary,日常消费品,30,Consumer Staples,1000
00975.HK,MONGOL MIN-NEW,能源业,Energy,能源,10,Energy,3000
00976.HK,齐合环保,原材料业,Materials,原材料,15,Materials,2000
00978.HK,招商局置地,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00979.HK,绿色能源科技集团,工业,Industrials,公用事业,55,Utilities,2000
00980.HK,联华超市,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
00981.HK,中芯国际,资讯科技业,Information Technology,信息技术,45,Information Technology,500
00982.HK,华金国际资本,金融业,Financials,金融,40,Financials,20000
00983.HK,瑞安建业,地产建筑业,Properties & Construction,工业,20,Industrials,2000
00984.HK,永旺,必需性消费,Consumer Staples,非日常生活消费品,25,Consumer Discretionary,500
00985.HK,中誉集团,原材料业,Materials,原材料,15,Materials,8000
00986.HK,中国环保能源,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00987.HK,中国再生能源投资,公用事业,Utilities,公用事业,55,Utilities,2000
00988.HK,丝路物流控股,工业,Industrials,工业,20,Industrials,3000
00989.HK,广泽国际发展,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
00990.HK,荣晖国际,原材料业,Materials,非日常生活消费品,25,Consumer Discretionary,10000
00991.HK,大唐发电,公用事业,Utilities,公用事业,55,Utilities,2000
00992.HK,联想集团,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00993.HK,华融金控,金融业,Financials,金融,40,Financials,1000
00994.HK,中天宏信,地产建筑业,Properties & Construction,工业,20,Industrials,4000
00995.HK,安徽皖通高速公路,工业,Industrials,工业,20,Industrials,2000
00996.HK,嘉年华国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,10000
00997.HK,普汇中金国际,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,5000
00998.HK,中信银行,金融业,Financials,金融,40,Financials,1000
00999.HK,I.T,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01000.HK,北青传媒,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,500
01001.HK,沪港联合,原材料业,Materials,工业,20,Industrials,2000
01002.HK,威铖国际,工业,Industrials,工业,20,Industrials,4000
01003.HK,欢喜传媒,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
01004.HK,中国智慧能源,公用事业,Utilities,金融,40,Financials,2000
01005.HK,MATRIX HOLDINGS,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01006.HK,长寿花食品,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01007.HK,龙辉国际控股,非必需性消费,Consumer Discretionary,日常消费品,30,Consumer Staples,20000
01008.HK,贵联控股,工业,Industrials,工业,20,Industrials,2000
01009.HK,国际娱乐,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01010.HK,太睿国际控股,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01011.HK,泰凌医药,医疗保健业,Healthcare,医疗保健,35,Health Care,500
01013.HK,伟俊集团控股,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01019.HK,康宏环球,金融业,Financials,金融,40,Financials,6000
01020.HK,赛伯乐国际控股,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
01022.HK,飞鱼科技,资讯科技业,Information Technology,信息技术,45,Information Technology,1500
01023.HK,时代集团控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01025.HK,嘉艺控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01026.HK,环球实业科技,公用事业,Utilities,公用事业,55,Utilities,10000
01027.HK,中国集成控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
01028.HK,千百度,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01029.HK,铁货,原材料业,Materials,原材料,15,Materials,2000
01030.HK,新城发展,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01031.HK,金利丰金融,金融业,Financials,金融,40,Financials,2000
01033.HK,中石化油服,能源业,Energy,能源,10,Energy,2000
01034.HK,富汇建筑控股,地产建筑业,Properties & Construction,工业,20,Industrials,8000
01036.HK,万科海外,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01037.HK,云智汇科技,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01038.HK,长江基建集团,公用事业,Utilities,公用事业,55,Utilities,500
01039.HK,畅由联盟,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,1000
01041.HK,林达控股,金融业,Financials,金融,40,Financials,10000
01043.HK,光宇国际集团科技,工业,Industrials,公用事业,55,Utilities,2000
01044.HK,恒安国际,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,500
01045.HK,亚太卫星,电讯业,Telecommunications,通讯服务,50,Communication Services,2000
01046.HK,寰宇娱乐文化,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,5000
01047.HK,毅兴行,原材料业,Materials,原材料,15,Materials,2000
01049.HK,时富投资(新),非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,6000
01050.HK,嘉利国际,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01051.HK,国际资源,金融业,Financials,金融,40,Financials,3000
01052.HK,越秀交通基建,工业,Industrials,工业,20,Industrials,2000
01053.HK,重庆钢铁股份,原材料业,Materials,原材料,15,Materials,2000
01055.HK,中国南方航空股份,非必需性消费,Consumer Discretionary,工业,20,Industrials,2000
01057.HK,浙江世宝,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01058.HK,粤海制革,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01059.HK,看通集团,资讯科技业,Information Technology,信息技术,45,Information Technology,3000
01060.HK,阿里影业,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
01061.HK,亿胜生物科技,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
01062.HK,国开国际投资,金融业,Financials,金融,40,Financials,10000
01063.HK,新确科技,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
01064.HK,中华国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
01065.HK,天津创业环保股份,公用事业,Utilities,公用事业,55,Utilities,2000
01066.HK,威高股份,医疗保健业,Healthcare,医疗保健,35,Health Care,4000
01068.HK,雨润食品,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01069.HK,宝沙发展,原材料业,Materials,公用事业,55,Utilities,40000
01070.HK,TCL电子,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01071.HK,华电国际电力股份,公用事业,Utilities,公用事业,55,Utilities,2000
01072.HK,东方电气,工业,Industrials,工业,20,Industrials,200
01073.HK,大禹金融,原材料业,Materials,原材料,15,Materials,5000
01075.HK,首都信息,资讯科技业,Information Technology,信息技术,45,Information Technology,6000
01076.HK,博华太平洋,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,20000
01079.HK,松景科技,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
01080.HK,胜利管道,能源业,Energy,能源,10,Energy,1500
01082.HK,香港教育国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
01083.HK,港华燃气,公用事业,Utilities,公用事业,55,Utilities,1000
01084.HK,绿新亲水胶体,必需性消费,Consumer Staples,原材料,15,Materials,2000
01085.HK,亨鑫科技,资讯科技业,Information Technology,工业,20,Industrials,2000
01086.HK,好孩子国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
01087.HK,威讯控股,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
01088.HK,中国神华,能源业,Energy,能源,10,Energy,500
01089.HK,乐游科技控股,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
01090.HK,大明国际,原材料业,Materials,原材料,15,Materials,2000
01091.HK,中信大锰,原材料业,Materials,原材料,15,Materials,1000
01093.HK,石药集团,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
01094.HK,中国公共采购,资讯科技业,Information Technology,信息技术,45,Information Technology,8000
01096.HK,中能国际控股,公用事业,Utilities,公用事业,55,Utilities,2000
01097.HK,有线宽频,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,20000
01098.HK,路劲,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
01099.HK,国药控股,医疗保健业,Healthcare,医疗保健,35,Health Care,400
01100.HK,飞达控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01101.HK,华荣能源,能源业,Energy,工业,20,Industrials,2000
01102.HK,环能国际,地产建筑业,Properties & Construction,原材料,15,Materials,2000
01103.HK,大生农业金融,原材料业,Materials,原材料,15,Materials,8000
01104.HK,亚太资源,原材料业,Materials,工业,20,Industrials,20000
01105.HK,星岛,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
01106.HK,铭霖控股,工业,Industrials,原材料,15,Materials,20000
01107.HK,当代置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01108.HK,洛阳玻璃股份,工业,Industrials,原材料,15,Materials,2000
01109.HK,华润置地,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
01110.HK,金活医药集团,医疗保健业,Healthcare,医疗保健,35,Health Care,4000
01111.HK,创兴银行,金融业,Financials,金融,40,Financials,1000
01112.HK,H&H国际控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,500
01113.HK,长实集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
01114.HK,BRILLIANCE CHI,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
01115.HK,西藏水资源,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01116.HK,MAYER HOLDINGS,原材料业,Materials,原材料,15,Materials,10000
01117.HK,现代牧业,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
01118.HK,高力集团,地产建筑业,Properties & Construction,原材料,15,Materials,10000
01119.HK,创梦天地,资讯科技业,Information Technology,通讯服务,50,Communication Services,400
