,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
00082.HK,第一视频,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00083.HK,信和置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00084.HK,宝光实业,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00085.HK,中电华大科技,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00086.HK,新鸿基公司,金融业,Financials,金融,40,Financials,1000
00087.HK,太古股份公司B,综合企业,Conglomerates,金融,40,Financials,2500
00088.HK,TAI CHEUNG HOLD,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00089.HK,大生地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00090.HK,普星能量,公用事业,Utilities,公用事业,55,Utilities,2000
00091.HK,金禧国际控股,能源业,Energy,信息技术,45,Information Technology,10000
00092.HK,冠军科技集团,资讯科技业,Information Technology,信息技术,45,Information Technology,6000
00093.HK,TERMBRAY IND,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00094.HK,绿心集团,原材料业,Materials,原材料,15,Materials,2000
00095.HK,绿景中国地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00096.HK,YUSEI,工业,Industrials,工业,20,Industrials,2000
00097.HK,恒基发展,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00098.HK,兴发铝业,原材料业,Materials,原材料,15,Materials,1000
00099.HK,王氏国际,工业,Industrials,信息技术,45,Information Technology,1000
00100.HK,白马户外媒体,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
00101.HK,恒隆地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00102.HK,凯升控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00103.HK,首长宝佳,工业,Industrials,原材料,15,Materials,2000
00104.HK,ASIA COMM HOLD,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
00105.HK,凯联国际酒店,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00106.HK,朗诗地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,4000
00107.HK,四川成渝高速公路,工业,Industrials,工业,20,Industrials,2000
00108.HK,国锐地产,地产建筑业,Properties & Construction,工业,20,Industrials,2000
00109.HK,天成国际,金融业,Financials,金融,40,Financials,10000
00110.HK,中国长远,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00111.HK,信达国际控股,金融业,Financials,金融,40,Financials,2000
00112.HK,勒泰集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00113.HK,迪生创建,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
00114.HK,HERALD HOLD,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
00115.HK,钧濠集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,10000
