field
cfo_to_sales
libi_to_asset
asset_to_equity
ca_to_asset
cl_to_liab
current_ratio
cash_to_cl
margin_rate
asset_rate
liab_rate
profit_rate
ldtoa
btop
etop
pebv
mlev
blev
payo
shares_change
ld_change
pe_cahnge
vcap
agro_1Y
agro_3Y
agro_5Y
egro_1Y
egro_3Y
egro_5Y
dele
TO_1M
market_cap
volume_1M
p_close_factor
adj_close
lpri
p_high
p_low
hilo
barra_size
barra_nonlinearsize
total_return_1M
simple_return_factor_1M
realizedvol_3M
PPReversal
RET_2_3
RET_4_6
RET_7_12
tvma_20
tvma_5
tvstd_20
tvstd_5
var_20
var_60
var_120
moneyflow_1M
klinger_oscillator
obv
stom
stoa
stoq
sto_5
rstr_252
beta_252
halpha_252
stderr_252
btsg_252
dastd_252
rstr_504
beta_504
halpha_504
stderr_504
btsg_504
dastd_504
rstr_1260
beta_1260
stderr_1260
btsg_1260
halpha_1260
dastd_1260
vlvr_1Y
vlvr_5Y
vema_26
vern
vflo
