,Benchmark,AQUMON-BOCHKAM
2018/7/30,0.999703914,1.013796898
2018/7/31,1.001185759,1.016111533
2018/8/1,0.99949425,1.01389745
2018/8/2,0.997939024,1.01283679
2018/8/3,1.000402863,1.01639913
2018/8/6,1.001342352,1.015950411
2018/8/7,1.003722427,1.018129213
2018/8/8,1.00357995,1.01749657
2018/8/9,1.003506032,1.016039842
2018/8/10,0.998604294,1.007953233
2018/8/13,0.99448268,1.004138512
2018/8/14,0.996326518,1.008086923
2018/8/15,0.991196159,1.000213392
2018/8/16,0.994037393,1.004539171
2018/8/17,0.995949051,1.007632641
2018/8/20,0.998618966,1.009636717
2018/8/21,1.00056295,1.011986763
2018/8/22,1.001920158,1.013657984
2018/8/23,1.000461924,1.009262541
2018/8/24,1.00303716,1.014661377
2018/8/27,1.00812824,1.02070316
2018/8/28,1.008119173,1.019130373
2018/8/29,1.009578369,1.021906943
2018/8/30,1.00725398,1.015901402
2018/8/31,1.006017098,1.016531893
2018/9/4,1.001483053,1.011419772
2018/9/5,0.997760703,1.009035998
2018/9/6,0.996300284,1.008863018
2018/9/7,0.994803296,1.006216704
2018/9/10,0.99481043,1.006535133
2018/9/11,0.995030502,1.006622637
2018/9/12,0.996306553,1.008302174
2018/9/13,0.999305908,1.011865238
2018/9/14,1.000875401,1.012555195
2018/9/17,0.998774009,1.010793905
2018/9/18,1.001094582,1.014522493
2018/9/19,1.002118853,1.016337521
2018/9/20,1.00642309,1.021869264
2018/9/21,1.00880581,1.022806536
2018/9/24,1.006515672,1.018685473
2018/9/25,1.006367751,1.019723846
2018/9/26,1.006317956,1.019601288
2018/9/27,1.007052251,1.021204436
2018/9/28,1.006239086,1.01897575
2018/10/1,1.006361419,1.020366821
2018/10/2,1.004855514,1.019798279
2018/10/3,1.004250202,1.019202909
2018/10/4,0.997026525,1.012140265
2018/10/5,0.992898953,1.008788431
2018/10/8,0.990937589,1.009782874
2018/10/9,0.989526102,1.008911751
2018/10/10,0.978838534,0.992512997
2018/10/11,0.968597998,0.98395654
2018/10/12,0.974083521,0.991024245
2018/10/15,0.971791132,0.98866934
2018/10/16,0.980081288,1.000067505
2018/10/17,0.979799281,0.99790662
2018/10/18,0.97349295,0.987854882
2018/10/19,0.972867579,0.989202191
2018/10/22,0.971576465,0.988465994
2018/10/23,0.966649333,0.984308289
2018/10/24,0.957120427,0.968506704
2018/10/25,0.960537721,0.976957504
2018/10/26,0.955884497,0.971293682
2018/10/29,0.953821795,0.966280881
2018/10/30,0.957579202,0.975091391
2018/10/31,0.963446792,0.979608221
2018/11/1,0.968178663,0.987797803
2018/11/2,0.96858103,0.987396686
2018/11/5,0.968944576,0.989612215
2018/11/6,0.971202788,0.992120615
2018/11/7,0.978552728,1.001817769
2018/11/8,0.977824614,0.996296861
2018/11/9,0.973270876,0.99517125
