,Benchmark,AQUMON-BOCHKAM
2017/12/29,1,1
2018/1/2,1.003079716,1.002396955
2018/1/3,1.005662173,1.005757395
2018/1/4,1.009804218,1.008641999
2018/1/5,1.013284954,1.011720987
2018/1/8,1.01411702,1.012359489
2018/1/9,1.014115721,1.011572366
2018/1/10,1.012991931,1.00961809
2018/1/11,1.015235984,1.013526426
2018/1/12,1.01868973,1.017289151
2018/1/16,1.020337415,1.015742848
2018/1/17,1.022624204,1.020213892
2018/1/18,1.021776849,1.018731661
2018/1/19,1.023825633,1.021592904
2018/1/22,1.026700287,1.025229731
2018/1/23,1.029841235,1.02827656
2018/1/24,1.030244349,1.028795729
2018/1/25,1.03102598,1.028419304
2018/1/26,1.034362321,1.033463678
2018/1/29,1.029795331,1.027238775
2018/1/30,1.024311494,1.021161818
2018/1/31,1.024520997,1.023056491
2018/2/1,1.023688391,1.020711454
2018/2/2,1.012730328,1.007922867
2018/2/5,0.996892466,0.987669734
2018/2/6,0.995348213,0.997018796
2018/2/7,0.994807375,0.990032838
2018/2/8,0.981435527,0.972255818
2018/2/9,0.980727735,0.978226824
2018/2/12,0.985598504,0.985551419
2018/2/13,0.987686364,0.98625136
2018/2/14,0.993522407,0.993732706
2018/2/15,0.999147083,1.000951774
2018/2/16,1.001113728,1.002724478
2018/2/20,0.998356669,0.997332068
2018/2/21,0.997371091,0.993449025
2018/2/22,0.996532502,0.995050289
2018/2/23,1.002926781,1.003847057
2018/2/26,1.00768094,1.009248317
2018/2/27,1.002986499,0.99966919
2018/2/28,0.997488272,0.993789902
2018/3/1,0.992232763,0.987804511
2018/3/2,0.9915847,0.990754113
2018/3/5,0.994434231,0.994747447
2018/3/6,0.997256856,0.997689024
2018/3/7,0.996739337,0.997226257
2018/3/8,0.999218398,0.998873984
2018/3/9,1.004507431,1.006058793
2018/3/12,1.006528297,1.006558229
2018/3/13,1.004801807,1.002852981
2018/3/14,1.002837658,1.002394728
2018/3/15,1.002885924,1.00127828
2018/3/16,1.002885648,1.001575963
2018/3/19,0.996997146,0.995079217
2018/3/20,0.99690188,0.996295043
2018/3/21,0.995905895,0.997881246
2018/3/22,0.989008199,0.985297506
2018/3/23,0.979885812,0.976722125
2018/3/26,0.987070259,0.989429725
2018/3/27,0.985137394,0.98319997
2018/3/28,0.983241793,0.982888674
2018/3/29,0.987706323,0.990869685
2018/4/2,0.982241661,0.980785074
2018/4/3,0.984218807,0.986439833
2018/4/4,0.986218309,0.990067941
2018/4/5,0.990104092,0.99325801
2018/4/6,0.984594384,0.985088905
2018/4/9,0.98674312,0.987641229
2018/4/10,0.993361723,0.995559552
2018/4/11,0.992151651,0.9947419
2018/4/12,0.993566507,0.996472643
2018/4/13,0.99268687,0.99553556
2018/4/16,0.994184039,0.998387912
2018/4/17,0.99806214,1.00228924
2018/4/18,0.999858479,1.003822869
2018/4/19,0.997461205,1.000326717
2018/4/20,0.992714386,0.995451928
2018/4/23,0.990496213,0.994150789
2018/4/24,0.986926322,0.989734863
2018/4/25,0.984055935,0.988976074
2018/4/26,0.988202086,0.993974021
2018/4/27,0.990327309,0.995243262
2018/4/30,0.988929067,0.991876331
2018/5/1,0.988034574,0.991169835
2018/5/2,0.985640157,0.988873522
2018/5/3,0.984105948,0.98847912
2018/5/4,0.987309364,0.993165317
2018/5/7,0.988622081,0.994115526
2018/5/8,0.987465958,0.994136216
2018/5/9,0.989905254,0.997153416
2018/5/10,0.994207516,1.003515099
2018/5/11,0.99688777,1.004326519
2018/5/14,0.99771209,1.004779052
2018/5/15,0.99226517,0.998386475
2018/5/16,0.992524539,1.00108291
2018/5/17,0.992054068,1.000055202
2018/5/18,0.990886593,0.998320677
2018/5/21,0.99304168,1.001995463
2018/5/22,0.992965171,1.001569738
2018/5/23,0.992408549,1.001315706
2018/5/24,0.992219515,1.000849686
2018/5/25,0.991505018,1.00013374
2018/5/29,0.986759908,0.993213979
2018/5/30,0.988766502,0.999734579
2018/5/31,0.988286308,0.996470922
2018/6/1,0.991393809,1.000078832
2018/6/4,0.994492212,1.002491152
2018/6/5,0.993766392,1.002038459
2018/6/6,0.996295614,1.005960228
2018/6/7,0.996420826,1.00412851
2018/6/8,0.996103257,1.005217212
2018/6/11,0.997419773,1.006537245
2018/6/12,0.99777828,1.006086252
2018/6/13,0.996374753,1.00443992
2018/6/14,0.996932328,1.005353252
2018/6/15,0.995312982,1.00391232
2018/6/18,0.993331847,1.000719857
2018/6/19,0.989408694,0.998626614
2018/6/20,0.990877298,0.999644726
2018/6/21,0.98742181,0.995409051
2018/6/22,0.989672948,0.999077287
2018/6/25,0.982937565,0.993023983
2018/6/26,0.98288433,0.993369106
2018/6/27,0.980201911,0.987472635
2018/6/28,0.980409752,0.990416739
2018/6/29,0.983957139,0.993079496
2018/7/2,0.982058987,0.991115372
2018/7/3,0.98181024,0.992252808
2018/7/5,0.984500844,0.996515303
2018/7/6,0.988758969,1.001935575
2018/7/9,0.993518942,1.006240348
2018/7/10,0.99484567,1.007544622
2018/7/11,0.990668592,1.00093742
2018/7/12,0.993967317,1.006099943
2018/7/13,0.995907426,1.007789753
2018/7/16,0.99525888,1.006855941
2018/7/17,0.996535156,1.009303267
2018/7/18,0.9973616,1.010125623
2018/7/19,0.995655318,1.007494374
2018/7/20,0.996912615,1.009894052
2018/7/23,0.996292258,1.008658315
2018/7/24,0.999299815,1.012862301
2018/7/25,1.002595107,1.019468973
2018/7/26,1.002847807,1.016500244
2018/7/27,1.001808459,1.015966408
