,Region Rotation,Region Equal Weight,Sector Rotation,Sector Equal Weight
2018/12/31,1,1,1,1
2019/1/1,0.999499796,0.999499999,0.999499899,0.999500166
2019/1/2,1.007539253,1.000635922,1.011976681,0.998155074
2019/1/3,1.001551729,0.991501663,0.991677292,0.979925157
2019/1/4,1.031441535,1.023340924,1.027325239,1.009274448
