,Benchmark,AQUMON-BOCHKAM,Fund NAV
2018/12/31,0,0,0
2019/1/1,2.19462E-05,-0.0005,0
2019/1/2,-0.000326597,-7.62951E-05,-0.00310559
2019/1/3,-0.006524854,-0.008797488,-0.010351967
2019/1/4,0.005937769,0.009453465,-0.002070393
