factor_metric,pr_mean_w_annreport,pr_std_w_annreport,pr_tstat_w_annreport,pr_num_w_annreport,industry
RNDOE,0.10675153607060643,0.1091876369109144,2.9330665748642715,9,橡胶
RNDOE_gr_3yr,0.09970449981371862,0.07197868572889388,4.155584342950638,9,橡胶
RNDOA_gr_3yr,0.1432279649490487,0.1039110022986776,4.135114524370383,9,橡胶
UNLOCKAMTTMKTCAP,0.0769627886009412,0.04981738347588238,4.634694752979176,9,橡胶
S_Semi_gr_1yr,0.07466569810877813,0.10744632852881916,2.0847347451826064,9,装修装饰
CFOOE_TTM_gr_3yr,0.10389158691335876,0.13047690223988412,2.388735135411604,9,家具
CFOOA_TTM_gr_3yr,0.0954111154121892,0.14035089412987425,2.0394123458287376,9,家具
CFOOE_TTM_Abnormal,0.10489551484561488,0.1314833823352733,2.393356019199569,9,家具
RNDOE,0.1477132673269153,0.14661170619284455,3.0225403788553247,9,家具
RNDOA,0.21041614786363852,0.13381849461805193,4.717198810169257,9,家具
RNDOA_gr_1yr,0.13625624281735474,0.1958284029443604,2.0873822300854155,9,家具
RNDOE_gr_2yr,0.1337452555114554,0.14567807561148327,2.754263226296616,9,家具
RNDOA_gr_2yr,0.16662071561584146,0.15447537574417608,3.235869435108785,9,家具
RNDOE_gr_3yr,0.08553113786338429,0.1236807642652817,2.0746428526249088,9,家具
RNDOE,0.11908084452357713,0.1610898902998868,2.2176595496196847,9,其它电源设备
RNDOA,0.12533080653548054,0.15030355276747095,2.501553773569981,9,其它电源设备
RNDOE_gr_1yr,0.1065373185425688,0.15816935538929355,2.0206945576851028,9,其它电源设备
RNDOA_gr_1yr,0.16648769995689355,0.1590298884333416,3.140686978976495,9,其它电源设备
RNDOE_gr_2yr,0.12827975004831002,0.15846473561554433,2.4285482107426044,9,其它电源设备
RNDOA_gr_2yr,0.13617301039292734,0.1471772201359511,2.7756947087424493,9,其它电源设备
RNDOA_gr_3yr,0.10653004433201588,0.15707743113374378,2.0346024931101163,9,其它电源设备
WRATINGNUMOFHOLD,0.2024546838213458,0.26154934544867275,2.3221776771115197,9,电子零部件制造
CFOOA_TTM_gr_3yr,0.1167810017042338,0.16666901098652726,2.1020284637137587,9,电子零部件制造
CFOOE_TTM_Abnormal,0.1587751477836758,0.2033818007375834,2.3420258923049557,9,电子零部件制造
CFOOA_TTM_Abnormal,0.15003896253966745,0.21686694925748587,2.0755439644451266,9,电子零部件制造
RNDOE,0.10146408805176456,0.1496019845528823,2.0346806565770863,9,电子零部件制造
UNLOCKAMTTMKTCAP,0.11731940388052498,0.13810502277800496,2.5484823401921117,9,电子零部件制造
CFOOA_Semi_gr_2yr,0.12552663332582786,0.17467284039125722,2.155915591307532,9,重型机械
RNDOE,0.1198473286667416,0.11241588831815587,3.198320018453802,9,重型机械
RNDOA,0.2674243519175481,0.2057081227396095,3.900055306849413,9,重型机械
RNDOE_gr_1yr,0.0920425074215155,0.09271463400226844,2.9782517639857207,9,重型机械
RNDOA_gr_1yr,0.07982382513714703,0.10018604917113813,2.3902676809061028,9,重型机械
RNDOA_gr_2yr,0.18517898219610124,0.18308222973959,3.0343575527700355,9,重型机械
RNDOE_gr_3yr,0.14269325489767365,0.12630728638930794,3.3891929510193197,9,重型机械
RNDOA_gr_3yr,0.2903788066779637,0.1951118971314062,4.4648042115401525,9,重型机械
DivYield,0.028332088935667757,0.038892718741179,2.185403066641637,9,高速公路
SH_gr_2yr,0.07457151332423599,0.10639427041130783,2.102693491931978,9,服装家纺
RNDOE,0.12725329882570632,0.11156208624280224,3.421950138564654,9,其他饮料
RNDOE_gr_3yr,0.18049648104799404,0.11242692611436676,4.816367945461301,9,其他饮料
RNDOA_gr_3yr,0.12744773249026298,0.1023265726427529,3.736499597280978,9,其他饮料
UNLOCKAMTTTTUNLOCKAMT,0.2988795578758935,0.15749742223294055,5.693037136198592,9,水泥制造
GPOE_gr_1yr,0.09067931581024707,0.1293195361263974,2.1036106034655915,9,白酒
CFOOE_TTM_Abnormal,0.08139940007188698,0.11545928242561687,2.1150157448188054,9,白酒
CFOOA_TTM_Abnormal,0.09495856240918626,0.1230944618420782,2.3142851673784874,9,白酒
WRATINGNUMOFSELL,0.20007727185004884,0.10952712605082296,5.480211498214843,9,有线电视网络
UNLOCKAMTTMKTCAP,0.13342254880316398,0.15165684219801442,2.639298304041388,9,有线电视网络
Positive_PROP,0.1400065324146371,0.061997101631210534,6.77482634176023,9,有线电视网络
ESTMEDIANROA,0.12638516412738646,0.13509197287938104,2.8066470886519226,9,工控自动化
SOE_gr_2yr,0.15460740546709445,0.21827810647613444,2.1249140552352905,9,工控自动化
GPOE_Semi_gr_1yr,0.17266057514728889,0.2462481194563405,2.103495151903908,9,工控自动化
GPOA_Semi_gr_1yr,0.1646085643658603,0.2393720214201981,2.0630050670404376,9,工控自动化
SOE_Semi_gr_1yr,0.16071555851394456,0.21903578992513675,2.2012232599367643,9,工控自动化
SOE_Semi_gr_2yr,0.14382894883617978,0.21235598876740389,2.0319033572495675,9,工控自动化
SOA_Semi_gr_2yr,0.12246702908423986,0.1798806331298205,2.042471614982391,9,工控自动化
S_TTM_gr_1yr,0.1355247274170656,0.19820879839705216,2.0512418497020843,9,工控自动化
RNDOE_gr_1yr,0.1446564943214761,0.18681895518197408,2.3229413875145224,9,工控自动化
CFOOE,0.16437849962595644,0.09092772775897663,5.423378666021769,9,光学元件
GPOE_gr_1yr,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
SOE_gr_2yr,0.12569931945364587,0.062035887530304576,6.078706590225296,9,光学元件
CFOOE_gr_2yr,0.12408895561568856,0.051078910816789766,7.288073705845361,9,光学元件
ROE_Semi,0.15664814583002273,0.1972060342785564,2.3830124631291194,9,光学元件
GPOE_Semi,0.16437849962595644,0.09092772775897663,5.423378666021769,9,光学元件
