symbol,weight,currency
AGG,0.060003,USD
ASHR,0.025523,USD
GLD,0.032,USD
IHYA,0.030002,USD
INDA,0.025121,USD
JPEA,0.023335,USD
MINT,0.07066,USD
QQQ,0.046336,USD
SCHF,0.15589,USD
TIP5,0.016001,USD
VB,0.051757,USD
VTI,0.376298,USD
VWO,0.062268,USD
XLE,0.024808,USD
