symbol,weight,currency
AGG,0.05700285,USD
ASHR,0.060728907,USD
EMB,0.022167775,USD
GLD,0.0304,USD
HYG,0.028501425,USD
INDA,0.023865119,USD
JPST,0.06712719,USD
QQQ,0.025850207,USD
SCHF,0.197974155,USD
VB,0.046172369,USD
VTI,0.305692125,USD
VTIP,0.01520076,USD
VWO,0.045751831,USD
XLE,0.023565286,USD
SHV,0.05,USD
