,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartDeposit,0.096703511,0.466490347,0.080963916,5.46828848,-0.013547653
Benchmark,0.083543272,0.394866944,0.062945802,5.895717159,-0.012991038
