,SmartDeposit,Benchmark
2016/10/27,1.010126836,1.00142075
2016/10/28,1.010336426,1.001448518
2016/10/31,1.010497342,1.001448518
2016/11/1,1.010102003,1.001425378
2016/11/2,1.010707925,1.001430006
2016/11/3,1.010846989,1.001434634
2016/11/4,1.010351325,1.001457773
2016/11/7,1.010818183,1.00142075
2016/11/8,1.010712892,1.00142075
2016/11/9,1.010653293,1.001416122
2016/11/10,1.010525155,1.001425378
2016/11/11,1.010735738,1.001425378
2016/11/14,1.010627467,1.001411494
2016/11/15,1.01045463,1.001434634
2016/11/16,1.010835069,1.001467029
2016/11/17,1.010639386,1.001494795
2016/11/18,1.010757591,1.001522563
2016/11/21,1.010580781,1.001536446
2016/11/22,1.010748651,1.001536446
2016/11/23,1.010557935,1.001554958
2016/11/24,1.010656273,1.001554958
2016/11/25,1.01076653,1.001587353
2016/11/28,1.010977113,1.001601237
2016/11/29,1.010760571,1.001624376
2016/11/30,1.010695012,1.001629003
2016/12/1,1.011047638,1.001661398
2016/12/2,1.010907581,1.001670654
2016/12/5,1.011040685,1.00167991
2016/12/6,1.011192662,1.001670654
2016/12/7,1.010655279,1.00167991
2016/12/8,1.010895661,1.001675282
2016/12/9,1.011047638,1.001684537
2016/12/12,1.011230408,1.001698421
2016/12/13,1.011153923,1.001684537
2016/12/14,1.011092337,1.001689165
2016/12/15,1.011124124,1.001730816
2016/12/16,1.011049625,1.001763211
2016/12/19,1.011295967,1.001772467
2016/12/20,1.011128097,1.001777095
2016/12/21,1.011315833,1.001809489
2016/12/22,1.011364506,1.001832629
2016/12/23,1.011453904,1.001869652
2016/12/28,1.011530389,1.001888163
2016/12/29,1.011657533,1.001925186
2016/12/30,1.011793617,1.00195758
2017/1/3,1.01180951,1.001952953
2017/1/4,1.0119744,1.001962208
2017/1/5,1.012143264,1.001976092
2017/1/6,1.012193923,1.002013115
2017/1/9,1.012236635,1.002031627
2017/1/10,1.012283321,1.002040882
2017/1/11,1.012457151,1.002054766
2017/1/12,1.012464104,1.002064022
2017/1/13,1.012137304,1.002105672
2017/1/16,1.012595222,1.002105672
2017/1/17,1.012571382,1.002114927
2017/1/18,1.012667733,1.002147323
2017/1/19,1.013128631,1.00217509
2017/1/20,1.013165384,1.002221369
2017/1/23,1.013343187,1.002230624
2017/1/24,1.013065059,1.002244507
2017/1/25,1.013277628,1.002267646
2017/1/26,1.013037246,1.00228153
2017/1/27,1.013083932,1.002313925
2017/1/30,1.013255775,1.002327809
2017/1/31,1.01355377,1.00234632
2017/2/1,1.013378946,1.002350948
2017/2/2,1.01372164,1.002378716
2017/2/3,1.013965995,1.00241111
2017/2/6,1.014082213,1.002406482
2017/2/7,1.014082213,1.002401854
2017/2/8,1.01406632,1.002424993
2017/2/9,1.014184524,1.002434249
2017/2/10,1.014131878,1.0024759
2017/2/13,1.014154725,1.002494412
2017/2/14,1.014516291,1.00249904
2017/2/15,1.01456993,1.002512923
2017/2/16,1.014686148,1.00254069
2017/2/17,1.014800379,1.002586968
2017/2/20,1.014903683,1.002586968
2017/2/21,1.015017914,1.00260548
2017/2/22,1.014958316,1.002647131
2017/2/23,1.015143072,1.002674898
2017/2/24,1.015106319,1.002702665
2017/2/27,1.015046721,1.00271192
2017/2/28,1.015450006,1.002725804
2017/3/1,1.015399347,1.002647131
2017/3/2,1.015152012,1.002628619
2017/3/3,1.015216577,1.002614736
2017/3/6,1.015479805,1.002610108
2017/3/7,1.015692375,1.002600852
2017/3/8,1.015719194,1.002637875
2017/3/9,1.015567217,1.002647131
2017/3/10,1.015486759,1.00267027
2017/3/13,1.015377494,1.002610108
2017/3/14,1.015384447,1.002623991
2017/3/15,1.015567217,1.002721176
2017/3/16,1.01576588,1.002753571
2017/3/17,1.015623836,1.00279985
2017/3/20,1.016084734,1.002785966
2017/3/21,1.016048974,1.002804478
2017/3/22,1.016294323,1.002827617
2017/3/23,1.016253597,1.002846129
2017/3/24,1.016135393,1.002897034
2017/3/27,1.016217838,1.002901662
2017/3/28,1.016280417,1.002920174
2017/3/29,1.016319156,1.002952569
2017/3/30,1.016273463,1.002980336
2017/3/31,1.016356902,1.003040498
2017/4/3,1.016372795,1.003054381
2017/4/4,1.016555564,1.003077521
2017/4/5,1.01625757,1.003072893
2017/4/6,1.016441333,1.003086776
2017/4/7,1.016483053,1.003142311
2017/4/10,1.016665822,1.003179333
2017/4/11,1.016795946,1.003197845
2017/4/12,1.016728401,1.003211728
2017/4/13,1.016904218,1.00329503
2017/4/18,1.017038315,1.003345936
2017/4/19,1.017103874,1.003373703
2017/4/20,1.017270751,1.003406098
2017/4/21,1.017275717,1.003461633
