,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartXray Offshore-Growth,0.292953069,0.089588003,0.075147615,0.92601745,-0.109222637
Benchmark Offshore-Growth,0.181744963,0.057350127,0.06763635,0.552219734,-0.138376728
